Journal name,JCR Abbreviation,ISSN,eISSN,Category,2022 JIF,2022 JCI,5 Year JIF,JIF Rank,JCI Rank
"Molecular Therapy-Methods & Clinical Development","MOL THER-METH CLIN D","N/A","2329-0501","MEDICINE, RESEARCH & EXPERIMENTAL - SCIE","4.7","1.14","5.1"," 54/136 "," 39/189 "
"JOURNAL OF MOLECULAR MEDICINE-JMM","J MOL MED","0946-2716","1432-1440","MEDICINE, RESEARCH & EXPERIMENTAL - SCIE","4.7","0.93","5.1"," 54/136 "," 53/189 "
"Biomedicines","BIOMEDICINES","N/A","2227-9059","MEDICINE, RESEARCH & EXPERIMENTAL - SCIE","4.7","0.88","4.9"," 54/136 "," 61/189 "
"MEDICAL HYPOTHESES","MED HYPOTHESES","0306-9877","1532-2777","MEDICINE, RESEARCH & EXPERIMENTAL - SCIE","4.7","0.85","3"," 54/136 "," 64/189 "
"MINERVA MEDICA","MINERVA MED","0026-4806","1827-1669","MEDICINE, GENERAL & INTERNAL - SCIE","4.7","0.76","3.8"," 45/167 "," 76/322 "
"ARCHIVES OF PATHOLOGY & LABORATORY MEDICINE","ARCH PATHOL LAB MED","0003-9985","1543-2165","MEDICINE, RESEARCH & EXPERIMENTAL - SCIE","4.6","1.47","4.9"," 58/136 "," 23/189 "
"CLINICAL AND EXPERIMENTAL MEDICINE","CLIN EXP MED","1591-8890","1591-9528","MEDICINE, RESEARCH & EXPERIMENTAL - SCIE","4.6","0.84","4"," 58/136 "," 65/189 "
"Internal and Emergency Medicine","INTERN EMERG MED","1828-0447","1970-9366","MEDICINE, GENERAL & INTERNAL - SCIE","4.6","0.81","3.8"," 47/167 "," 66/322 "
"EXPERT OPINION ON BIOLOGICAL THERAPY","EXPERT OPIN BIOL TH","1471-2598","1744-7682","MEDICINE, RESEARCH & EXPERIMENTAL - SCIE","4.6","0.64","4.1"," 58/136 "," 93/189 "
"JOURNAL OF KOREAN MEDICAL SCIENCE","J KOREAN MED SCI","1011-8934","1598-6357","MEDICINE, GENERAL & INTERNAL - SCIE","4.5","0.94","3.4"," 48/167 "," 55/322 "
"CYTOTHERAPY","CYTOTHERAPY","1465-3249","1477-2566","MEDICINE, RESEARCH & EXPERIMENTAL - SCIE","4.5","0.9","5"," 61/136 "," 59/189 "
"ANNALS OF FAMILY MEDICINE","ANN FAM MED","1544-1709","1544-1717","MEDICINE, GENERAL & INTERNAL - SCIE","4.4","2.34","5.5"," 49/167 "," 12/322 "
"PALLIATIVE MEDICINE","PALLIATIVE MED","0269-2163","1477-030X","MEDICINE, GENERAL & INTERNAL - SCIE","4.4","1.18","5.5"," 49/167 "," 38/322 "
"ANNALS OF MEDICINE","ANN MED","0785-3890","1365-2060","MEDICINE, GENERAL & INTERNAL - SCIE","4.4","0.98","4.9"," 49/167 "," 49/322 "
"CLINICAL MEDICINE","CLIN MED","1470-2118","1473-4893","MEDICINE, GENERAL & INTERNAL - SCIE","4.4","0.96","4.7"," 49/167 "," 52/322 "
"Journal of Diabetes Research","J DIABETES RES","2314-6745","2314-6753","MEDICINE, RESEARCH & EXPERIMENTAL - SCIE","4.3","0.76","4.7"," 62/136 "," 74/189 "
"PANMINERVA MEDICA","PANMINERVA MED","0031-0808","1827-1898","MEDICINE, GENERAL & INTERNAL - SCIE","4.3","0.55","3.6"," 53/167 "," 96/322 "
"JOURNAL OF INHERITED METABOLIC DISEASE","J INHERIT METAB DIS","0141-8955","1573-2665","MEDICINE, RESEARCH & EXPERIMENTAL - SCIE","4.2","1.03","4.6"," 63/136 "," 45/189 "
"HUMAN GENE THERAPY","HUM GENE THER","1043-0342","1557-7422","MEDICINE, RESEARCH & EXPERIMENTAL - SCIE","4.2","0.96","4.7"," 63/136 "," 48/189 "
"EUROPEAN JOURNAL OF MEDICAL RESEARCH","EUR J MED RES","0949-2321","2047-783X","MEDICINE, RESEARCH & EXPERIMENTAL - SCIE","4.2","0.77","3.6"," 63/136 "," 73/189 "
"POSTGRADUATE MEDICINE","POSTGRAD MED","0032-5481","1941-9260","MEDICINE, GENERAL & INTERNAL - SCIE","4.2","0.77","3.6"," 54/167 "," 74/322 "
"INDIAN JOURNAL OF MEDICAL RESEARCH","INDIAN J MED RES","0971-5916","0971-5916","MEDICINE, GENERAL & INTERNAL - SCIE","4.2","0.58","3.5"," 54/167 "," 88/322 "
"INDIAN JOURNAL OF MEDICAL RESEARCH","INDIAN J MED RES","0971-5916","0971-5916","MEDICINE, RESEARCH & EXPERIMENTAL - SCIE","4.2","0.58","3.5"," 63/136 "," 105/189 "
"Current Research in Translational Medicine","CURR RES TRANSL MED","2452-3186","2452-3186","MEDICINE, RESEARCH & EXPERIMENTAL - SCIE","4.1","0.67","3.2"," 67/136 "," 87/189 "
"AMERICAN FAMILY PHYSICIAN","AM FAM PHYSICIAN","0002-838X","1532-0650","MEDICINE, GENERAL & INTERNAL - SCIE","4","1.8","7.4"," 56/167 "," 21/322 "
"DM DISEASE-A-MONTH","DM-DIS MON","0011-5029","1557-8194","MEDICINE, GENERAL & INTERNAL - SCIE","4","0.98","4"," 56/167 "," 49/322 "
"STEM CELLS AND DEVELOPMENT","STEM CELLS DEV","1547-3287","1557-8534","MEDICINE, RESEARCH & EXPERIMENTAL - SCIE","4","0.96","3.8"," 68/136 "," 48/189 "
"Nucleic Acid Therapeutics","NUCLEIC ACID THER","2159-3337","2159-3345","MEDICINE, RESEARCH & EXPERIMENTAL - SCIE","4","0.92","5.4"," 68/136 "," 54/189 "
"Journal of Clinical Medicine","J CLIN MED","N/A","2077-0383","MEDICINE, GENERAL & INTERNAL - SCIE","3.9","0.95","4.1"," 58/167 "," 53/322 "
"CTS-Clinical and Translational Science","CTS-CLIN TRANSL SCI","1752-8054","1752-8062","MEDICINE, RESEARCH & EXPERIMENTAL - SCIE","3.9","0.84","4"," 70/136 "," 65/189 "
"Frontiers in Medicine","FRONT MED-LAUSANNE","N/A","2296-858X","MEDICINE, GENERAL & INTERNAL - SCIE","3.9","0.84","4.2"," 58/167 "," 65/322 "
"JOURNAL OF IMMUNOTHERAPY","J IMMUNOTHER","1524-9557","1537-4513","MEDICINE, RESEARCH & EXPERIMENTAL - SCIE","3.9","0.84","4.5"," 70/136 "," 65/189 "
"XENOTRANSPLANTATION","XENOTRANSPLANTATION","0908-665X","1399-3089","MEDICINE, RESEARCH & EXPERIMENTAL - SCIE","3.9","0.78","3.7"," 70/136 "," 71/189 "
"MEDICINA CLINICA","MED CLIN-BARCELONA","0025-7753","1578-8989","MEDICINE, GENERAL & INTERNAL - SCIE","3.9","0.48","2.7"," 58/167 "," 110/322 "
"ADVANCES IN THERAPY","ADV THER","0741-238X","1865-8652","MEDICINE, RESEARCH & EXPERIMENTAL - SCIE","3.8","0.74","4.2"," 73/136 "," 76/189 "
"MOLECULAR GENETICS AND METABOLISM","MOL GENET METAB","1096-7192","1096-7206","MEDICINE, RESEARCH & EXPERIMENTAL - SCIE","3.8","0.74","4.2"," 73/136 "," 76/189 "
"Archives of Medical Science","ARCH MED SCI","1734-1922","1896-9151","MEDICINE, GENERAL & INTERNAL - SCIE","3.8","0.7","3.7"," 61/167 "," 79/322 "
"Orphanet Journal of Rare Diseases","ORPHANET J RARE DIS","N/A","1750-1172","MEDICINE, RESEARCH & EXPERIMENTAL - SCIE","3.7","0.83","4.4"," 75/136 "," 69/189 "
"Systematic Reviews","SYST REV-LONDON","N/A","2046-4053","MEDICINE, GENERAL & INTERNAL - SCIE","3.7","0.54","3.8"," 62/167 "," 97/322 "
"Diagnostics","DIAGNOSTICS","N/A","2075-4418","MEDICINE, GENERAL & INTERNAL - SCIE","3.6","0.86","3.7"," 63/167 "," 64/322 "
"International Journal of Medical Sciences","INT J MED SCI","1449-1907","1449-1907","MEDICINE, GENERAL & INTERNAL - SCIE","3.6","0.77","3.6"," 63/167 "," 74/322 "
"JOURNAL OF WOMENS HEALTH","J WOMENS HEALTH","1540-9996","1931-843X","MEDICINE, GENERAL & INTERNAL - SCIE","3.5","1.11","3.4"," 65/167 "," 41/322 "
"JOURNAL OF GENE MEDICINE","J GENE MED","1099-498X","1521-2254","MEDICINE, RESEARCH & EXPERIMENTAL - SCIE","3.5","0.78","3.4"," 76/136 "," 71/189 "
"European Journal of General Practice","EUR J GEN PRACT","1381-4788","1751-1402","MEDICINE, GENERAL & INTERNAL - SCIE","3.4","1.22","6.5"," 66/167 "," 37/322 "
"CANCER BIOTHERAPY AND RADIOPHARMACEUTICALS","CANCER BIOTHER RADIO","1084-9785","1557-8852","MEDICINE, RESEARCH & EXPERIMENTAL - SCIE","3.4","0.76","3.1"," 77/136 "," 74/189 "
"Bosnian Journal of Basic Medical Sciences","BOSNIAN J BASIC MED","1512-8601","1840-4812","MEDICINE, RESEARCH & EXPERIMENTAL - SCIE","3.4","0.71","3.6"," 77/136 "," 82/189 "
