Journal name,JCR Abbreviation,ISSN,eISSN,Category,2022 JIF,2022 JCI,5 Year JIF,JIF Rank,JCI Rank
"Kuwait Journal of Science","KUWAIT J SCI","2307-4108","2307-4116","MULTIDISCIPLINARY SCIENCES - SCIE","1.4","0.29","1.1"," 51/73 "," 70/133 "
"ANAIS DA ACADEMIA BRASILEIRA DE CIENCIAS","AN ACAD BRAS CIENC","0001-3765","1678-2690","MULTIDISCIPLINARY SCIENCES - SCIE","1.3","0.38","1.7"," 53/73 "," 64/133 "
"Jove-Journal of Visualized Experiments","JOVE-J VIS EXP","1940-087X","1940-087X","MULTIDISCIPLINARY SCIENCES - SCIE","1.2","0.27","1.6"," 54/73 "," 72/133 "
"All Life","ALL LIFE","2689-5293","2689-5307","MULTIDISCIPLINARY SCIENCES - SCIE","1.2","0.26","1.2"," 54/73 "," 74/133 "
"SCIENCEASIA","SCIENCEASIA","1513-1874","N/A","MULTIDISCIPLINARY SCIENCES - SCIE","1.2","0.23","1"," 54/73 "," 80/133 "
"INTERDISCIPLINARY SCIENCE REVIEWS","INTERDISCIPL SCI REV","0308-0188","1743-2790","MULTIDISCIPLINARY SCIENCES - SCIE","1.1","0.62","1"," 57/73 "," 47/133 "
"NATIONAL ACADEMY SCIENCE LETTERS-INDIA","NATL ACAD SCI LETT","0250-541X","2250-1754","MULTIDISCIPLINARY SCIENCES - SCIE","1.1","0.21","1"," 57/73 "," 84/133 "
"CURRENT SCIENCE","CURR SCI INDIA","0011-3891","0011-3891","MULTIDISCIPLINARY SCIENCES - SCIE","1","0.22","1.1"," 59/73 "," 83/133 "
"PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES INDIA SECTION A-PHYSICAL SCIENCES","P NATL A SCI INDIA A","0369-8203","2250-1762","MULTIDISCIPLINARY SCIENCES - SCIE","0.9","0.32","1.1"," 60/73 "," 68/133 "
"Proceedings of the Estonian Academy of Sciences","P EST ACAD SCI","1736-6046","1736-7530","MULTIDISCIPLINARY SCIENCES - SCIE","0.9","0.24","0.8"," 60/73 "," 77/133 "
"DEFENCE SCIENCE JOURNAL","DEFENCE SCI J","0011-748X","0976-464X","MULTIDISCIPLINARY SCIENCES - SCIE","0.9","0.18","0.8"," 60/73 "," 92/133 "
"TRANSACTIONS OF THE ROYAL SOCIETY OF SOUTH AUSTRALIA","T ROY SOC SOUTH AUST","0372-1426","2204-0293","MULTIDISCIPLINARY SCIENCES - SCIE","0.8","0.32","0.6"," 63/73 "," 68/133 "
"Sains Malaysiana","SAINS MALAYS","0126-6039","N/A","MULTIDISCIPLINARY SCIENCES - SCIE","0.8","0.21","1"," 63/73 "," 84/133 "
"ACTA SCIENTIARUM-TECHNOLOGY","ACTA SCI-TECHNOL","1806-2563","1807-8664","MULTIDISCIPLINARY SCIENCES - SCIE","0.8","0.17","0.8"," 63/73 "," 93/133 "
"Maejo International Journal of Science and Technology","MAEJO INT J SCI TECH","1905-7873","N/A","MULTIDISCIPLINARY SCIENCES - SCIE","0.7","0.44","0.7"," 66/73 "," 56/133 "
"ENDEAVOUR","ENDEAVOUR","0160-9327","1873-1929","MULTIDISCIPLINARY SCIENCES - SCIE","0.6","0.45","0.5"," 67/73 "," 55/133 "
"HERALD OF THE RUSSIAN ACADEMY OF SCIENCES","HER RUSS ACAD SCI+","1019-3316","1555-6492","MULTIDISCIPLINARY SCIENCES - SCIE","0.5","0.34","0.6"," 68/73 "," 67/133 "
"JOURNAL OF THE NATIONAL SCIENCE FOUNDATION OF SRI LANKA","J NATL SCI FOUND SRI","1391-4588","2362-0161","MULTIDISCIPLINARY SCIENCES - SCIE","0.5","0.15","0.6"," 68/73 "," 97/133 "
"ADVANCES IN COMPLEX SYSTEMS","ADV COMPLEX SYST","0219-5259","1793-6802","MULTIDISCIPLINARY SCIENCES - SCIE","0.4","0.2","1.1"," 70/73 "," 88/133 "
"Chiang Mai Journal of Science","CHIANG MAI J SCI","0125-2526","0125-2526","MULTIDISCIPLINARY SCIENCES - SCIE","0.4","0.1","0.6"," 70/73 "," 106/133 "
"Proceedings of the Romanian Academy Series A-Mathematics Physics Technical Sciences Information Science","P ROMANIAN ACAD A","1454-9069","N/A","MULTIDISCIPLINARY SCIENCES - SCIE","0.3","0.17","0.6"," 72/73 "," 93/133 "
"COMPTES RENDUS DE L ACADEMIE BULGARE DES SCIENCES","CR ACAD BULG SCI","1310-1331","N/A","MULTIDISCIPLINARY SCIENCES - SCIE","0.3","0.1","0.3"," 72/73 "," 106/133 "
