Journal name,JCR Abbreviation,ISSN,eISSN,Category,2022 JIF,2022 JCI,5 Year JIF,JIF Rank,JCI Rank
"SEMINARS IN IMMUNOLOGY","SEMIN IMMUNOL","1044-5323","1096-3618","IMMUNOLOGY - SCIE","7.8","0.77","11.2"," 32/161 "," 67/177 ",
"JOURNAL OF MICROBIOLOGY IMMUNOLOGY AND INFECTION","J MICROBIOL IMMUNOL","1684-1182","1995-9133","IMMUNOLOGY - SCIE","7.4","1.49","5.3"," 34/161 "," 23/177 ",
"Frontiers in Immunology","FRONT IMMUNOL","1664-3224","1664-3224","IMMUNOLOGY - SCIE","7.3","0.97","8"," 35/161 "," 44/177 ",
"EXERCISE IMMUNOLOGY REVIEW","EXERC IMMUNOL REV","1077-5552","1077-5552","IMMUNOLOGY - SCIE","7.3","0.82","6.7"," 35/161 "," 60/177 ",
"OncoImmunology","ONCOIMMUNOLOGY","2162-402X","2162-402X","IMMUNOLOGY - SCIE","7.2","1.23","7.6"," 37/161 "," 33/177 ",
"JOURNAL OF INVESTIGATIONAL ALLERGOLOGY AND CLINICAL IMMUNOLOGY","J INVEST ALLERG CLIN","1018-9068","1698-0808","IMMUNOLOGY - SCIE","7.2","0.73","6.5"," 37/161 "," 75/177 ",
"CURRENT OPINION IN IMMUNOLOGY","CURR OPIN IMMUNOL","0952-7915","1879-0372","IMMUNOLOGY - SCIE","7","0.71","7"," 39/161 "," 80/177 ",
"BIODRUGS","BIODRUGS","1173-8804","1179-190X","IMMUNOLOGY - SCIE","6.8","1.05","6.4"," 40/161 "," 40/177 ",
"ALLERGOLOGY INTERNATIONAL","ALLERGOL INT","1323-8930","1440-1592","IMMUNOLOGY - SCIE","6.8","0.88","6.3"," 40/161 "," 49/177 ",
"INFLAMMATION RESEARCH","INFLAMM RES","1023-3830","1420-908X","IMMUNOLOGY - SCIE","6.7","0.78","5.8"," 42/161 "," 65/177 ",
"JOURNAL OF INFECTIOUS DISEASES","J INFECT DIS","0022-1899","1537-6613","IMMUNOLOGY - SCIE","6.4","1.35","5.4"," 43/161 "," 29/177 ",
"IMMUNOLOGY","IMMUNOLOGY","0019-2805","1365-2567","IMMUNOLOGY - SCIE","6.4","0.75","7"," 43/161 "," 72/177 ",
"TRANSPLANTATION","TRANSPLANTATION","0041-1337","1534-6080","IMMUNOLOGY - SCIE","6.2","1.52","5.1"," 45/161 "," 22/177 ",
"Expert Review of Vaccines","EXPERT REV VACCINES","1476-0584","1744-8395","IMMUNOLOGY - SCIE","6.2","0.68","5.6"," 45/161 "," 88/177 ",
"CLINICAL AND EXPERIMENTAL ALLERGY","CLIN EXP ALLERGY","0954-7894","1365-2222","IMMUNOLOGY - SCIE","6.1","0.88","5"," 47/161 "," 49/177 ",
"Journal of the International AIDS Society","J INT AIDS SOC","N/A","1758-2652","IMMUNOLOGY - SCIE","6","0.91","5.8"," 48/161 "," 46/177 ",
"Immune Network","IMMUNE NETW","1598-2629","2092-6685","IMMUNOLOGY - SCIE","6","0.71","5.7"," 48/161 "," 80/177 ",
"ANNALS OF ALLERGY ASTHMA & IMMUNOLOGY","ANN ALLERG ASTHMA IM","1081-1206","1534-4436","IMMUNOLOGY - SCIE","5.9","0.84","5.4"," 50/161 "," 56/177 ",
"MICROBES AND INFECTION","MICROBES INFECT","1286-4579","1769-714X","IMMUNOLOGY - SCIE","5.8","1.18","3.7"," 51/161 "," 36/177 ",
"CANCER IMMUNOLOGY IMMUNOTHERAPY","CANCER IMMUNOL IMMUN","0340-7004","1432-0851","IMMUNOLOGY - SCIE","5.8","1.04","6.1"," 51/161 "," 41/177 ",
"INFLAMMOPHARMACOLOGY","INFLAMMOPHARMACOLOGY","0925-4692","1568-5608","IMMUNOLOGY - SCIE","5.8","1.04","5.4"," 51/161 "," 41/177 ",
"Clinical & Translational Immunology","CLIN TRANSL IMMUNOL","N/A","2050-0068","IMMUNOLOGY - SCIE","5.8","0.9","5.9"," 51/161 "," 48/177 ",
"Frontiers in Cellular and Infection Microbiology","FRONT CELL INFECT MI","2235-2988","2235-2988","IMMUNOLOGY - SCIE","5.7","0.83","5.9"," 55/161 "," 59/177 ",
"International Immunopharmacology","INT IMMUNOPHARMACOL","1567-5769","1878-1705","IMMUNOLOGY - SCIE","5.6","1.25","5.6"," 56/161 "," 31/177 ",
"Vaccine","VACCINE","0264-410X","1873-2518","IMMUNOLOGY - SCIE","5.5","0.96","4.3"," 57/161 "," 45/177 ",
"JOURNAL OF LEUKOCYTE BIOLOGY","J LEUKOCYTE BIOL","0741-5400","1938-3673","IMMUNOLOGY - SCIE","5.5","0.75","5.4"," 57/161 "," 72/177 ",
"Journal of Virus Eradication","J VIRUS ERAD","2055-6640","2055-6659","IMMUNOLOGY - SCIE","5.5","0.61","3.2"," 57/161 "," 101/177 ",
"CURRENT ALLERGY AND ASTHMA REPORTS","CURR ALLERGY ASTHM R","1529-7322","1534-6315","IMMUNOLOGY - SCIE","5.5","0.6","4.9"," 57/161 "," 106/177 ",
"EUROPEAN JOURNAL OF IMMUNOLOGY","EUR J IMMUNOL","0014-2980","1521-4141","IMMUNOLOGY - SCIE","5.4","0.84","5.5"," 61/161 "," 56/177 ",
"MEDICAL MICROBIOLOGY AND IMMUNOLOGY","MED MICROBIOL IMMUN","0300-8584","1432-1831","IMMUNOLOGY - SCIE","5.4","0.62","3.7"," 61/161 "," 99/177 ",
"Journal of Innate Immunity","J INNATE IMMUN","1662-811X","1662-8128","IMMUNOLOGY - SCIE","5.3","0.8","6.5"," 63/161 "," 63/177 ",
"Virulence","VIRULENCE","2150-5594","2150-5608","IMMUNOLOGY - SCIE","5.2","0.81","5.9"," 64/161 "," 62/177 ",
"Journal of Inflammation-London","J INFLAMM-LOND","1476-9255","1476-9255","IMMUNOLOGY - SCIE","5.1","0.88","5.1"," 65/161 "," 49/177 ",
"World Allergy Organization Journal","WORLD ALLERGY ORGAN","1939-4551","1939-4551","IMMUNOLOGY - SCIE","5.1","0.85","4.8"," 65/161 "," 54/177 ",
"INFLAMMATION","INFLAMMATION","0360-3997","1573-2576","IMMUNOLOGY - SCIE","5.1","0.71","4.8"," 65/161 "," 80/177 ",
"ASIAN PACIFIC JOURNAL OF ALLERGY AND IMMUNOLOGY","ASIAN PAC J ALLERGY","0125-877X","2228-8694","IMMUNOLOGY - SCIE","5","0.77","3.1"," 68/161 "," 67/177 ",
"GENES AND IMMUNITY","GENES IMMUN","1466-4879","1476-5470","IMMUNOLOGY - SCIE","5","0.68","3.6"," 68/161 "," 88/177 ",
"INTERNATIONAL REVIEWS OF IMMUNOLOGY","INT REV IMMUNOL","0883-0185","1563-5244","IMMUNOLOGY - SCIE","5","0.51","5.2"," 68/161 "," 125/177 ",
"BONE MARROW TRANSPLANTATION","BONE MARROW TRANSPL","0268-3369","1476-5365","IMMUNOLOGY - SCIE","4.8","0.88","4.7"," 71/161 "," 49/177 ",
"Human Vaccines & Immunotherapeutics","HUM VACC IMMUNOTHER","2164-5515","2164-554X","IMMUNOLOGY - SCIE","4.8","0.77","4.4"," 71/161 "," 67/177 ",
"FISH & SHELLFISH IMMUNOLOGY","FISH SHELLFISH IMMUN","1050-4648","1095-9947","IMMUNOLOGY - SCIE","4.7","1.55","4.7"," 73/161 "," 20/177 ",
"CLINICAL AND EXPERIMENTAL IMMUNOLOGY","CLIN EXP IMMUNOL","0009-9104","1365-2249","IMMUNOLOGY - SCIE","4.6","0.67","4.5"," 74/161 "," 92/177 ",
"MEDIATORS OF INFLAMMATION","MEDIAT INFLAMM","0962-9351","1466-1861","IMMUNOLOGY - SCIE","4.6","0.57","5.1"," 74/161 "," 112/177 ",
"Journal of Inflammation Research","J INFLAMM RES","N/A","1178-7031","IMMUNOLOGY - SCIE","4.5","0.66","4.9"," 76/161 "," 93/177 ",
"INFECTIOUS DISEASE CLINICS OF NORTH AMERICA","INFECT DIS CLIN N AM","0891-5520","1557-9824","IMMUNOLOGY - SCIE","4.4","1.2","6.1"," 77/161 "," 35/177 ",
"PEDIATRIC ALLERGY AND IMMUNOLOGY","PEDIAT ALLERG IMM-UK","0905-6157","1399-3038","IMMUNOLOGY - SCIE","4.4","1.08","4.5"," 77/161 "," 38/177 ",
"Allergy Asthma & Immunology Research","ALLERGY ASTHMA IMMUN","2092-7355","2092-7363","IMMUNOLOGY - SCIE","4.4","0.82","4.6"," 77/161 "," 60/177 ",
"JOURNAL OF IMMUNOLOGY","J IMMUNOL","0022-1767","1550-6606","IMMUNOLOGY - SCIE","4.4","0.79","5.2"," 77/161 "," 64/177 ",
"INTERNATIONAL IMMUNOLOGY","INT IMMUNOL","0953-8178","1460-2377","IMMUNOLOGY - SCIE","4.4","0.65","5.4"," 77/161 "," 94/177 ",
"IMMUNOLOGY LETTERS","IMMUNOL LETT","0165-2478","1879-0542","IMMUNOLOGY - SCIE","4.4","0.56","4"," 77/161 "," 113/177 ",
"IMMUNOLOGIC RESEARCH","IMMUNOL RES","0257-277X","1559-0755","IMMUNOLOGY - SCIE","4.4","0.55","3.6"," 77/161 "," 115/177 ",
"Expert Review of Clinical Immunology","EXPERT REV CLIN IMMU","1744-666X","1744-8409","IMMUNOLOGY - SCIE","4.4","0.51","4.8"," 77/161 "," 125/177 ",
"BIOLOGY OF BLOOD AND MARROW TRANSPLANTATION","BIOL BLOOD MARROW TR","1083-8791","1523-6536","IMMUNOLOGY - SCIE","4.3","1.08","4.4"," 85/161 "," 38/177 ",
"CELLULAR IMMUNOLOGY","CELL IMMUNOL","0008-8749","1090-2163","IMMUNOLOGY - SCIE","4.3","0.6","4.8"," 85/161 "," 106/177 ",
"Open Forum Infectious Diseases","OPEN FORUM INFECT DI","2328-8957","2328-8957","IMMUNOLOGY - SCIE","4.2","0.69","4"," 87/161 "," 85/177 ",
"INDIAN JOURNAL OF MEDICAL RESEARCH","INDIAN J MED RES","0971-5916","0971-5916","IMMUNOLOGY - SCIE","4.2","0.58","3.5"," 87/161 "," 110/177 ",
"Journal of Immunology Research","J IMMUNOL RES","2314-8861","2314-7156","IMMUNOLOGY - SCIE","4.1","0.56","4.9"," 89/161 "," 113/177 ",
"Current Opinion in HIV and AIDS","CURR OPIN HIV AIDS","1746-630X","1746-6318","IMMUNOLOGY - SCIE","4.1","0.43","3.7"," 89/161 "," 140/177 ",
"Transplantation Reviews","TRANSPLANT REV-ORLAN","0955-470X","N/A","IMMUNOLOGY - SCIE","4","0.73","3.8"," 91/161 "," 75/177 ",
"IMMUNOLOGY AND CELL BIOLOGY","IMMUNOL CELL BIOL","0818-9641","1440-1711","IMMUNOLOGY - SCIE","4","0.61","4.5"," 91/161 "," 101/177 ",
"JOURNAL OF IMMUNOTHERAPY","J IMMUNOTHER","1524-9557","1537-4513","IMMUNOLOGY - SCIE","3.9","0.84","4.5"," 93/161 "," 56/177 ",
"MICROBIAL PATHOGENESIS","MICROB PATHOGENESIS","0882-4010","1096-1208","IMMUNOLOGY - SCIE","3.8","0.72","4"," 94/161 "," 78/177 ",
"AIDS","AIDS","0269-9370","1473-5571","IMMUNOLOGY - SCIE","3.8","0.71","4"," 94/161 "," 80/177 ",
"CYTOKINE","CYTOKINE","1043-4666","1096-0023","IMMUNOLOGY - SCIE","3.8","0.65","3.7"," 94/161 "," 94/177 ",
"Infectious Agents and Cancer","INFECT AGENTS CANCER","1750-9378","1750-9378","IMMUNOLOGY - SCIE","3.7","0.61","3.8"," 97/161 "," 101/177 ",
"SCANDINAVIAN JOURNAL OF IMMUNOLOGY","SCAND J IMMUNOL","0300-9475","1365-3083","IMMUNOLOGY - SCIE","3.7","0.42","3.4"," 97/161 "," 142/177 ",
"PEDIATRIC INFECTIOUS DISEASE JOURNAL","PEDIATR INFECT DIS J","0891-3668","1532-0987","IMMUNOLOGY - SCIE","3.6","0.87","2.7"," 99/161 "," 53/177 ",
"AMERICAN JOURNAL OF REPRODUCTIVE IMMUNOLOGY","AM J REPROD IMMUNOL","1046-7408","1600-0897","IMMUNOLOGY - SCIE","3.6","0.78","3.6"," 99/161 "," 65/177 ",
"JAIDS-JOURNAL OF ACQUIRED IMMUNE DEFICIENCY SYNDROMES","JAIDS-J ACQ IMM DEF","1525-4135","1077-9450","IMMUNOLOGY - SCIE","3.6","0.69","3.5"," 99/161 "," 85/177 ",
"MOLECULAR IMMUNOLOGY","MOL IMMUNOL","0161-5890","1872-9142","IMMUNOLOGY - SCIE","3.6","0.68","4"," 99/161 "," 88/177 ",
"INTERNATIONAL JOURNAL OF IMMUNOPATHOLOGY AND PHARMACOLOGY","INT J IMMUNOPATH PH","0394-6320","2058-7384","IMMUNOLOGY - SCIE","3.5","0.77","3.8"," 103/161 "," 67/177 ",
"AUTOIMMUNITY","AUTOIMMUNITY","0891-6934","1607-842X","IMMUNOLOGY - SCIE","3.5","0.52","3.1"," 103/161 "," 123/177 ",
"JOURNAL OF REPRODUCTIVE IMMUNOLOGY","J REPROD IMMUNOL","0165-0378","1872-7603","IMMUNOLOGY - SCIE","3.4","0.76","3.9"," 105/161 "," 71/177 ",
"IMMUNOPHARMACOLOGY AND IMMUNOTOXICOLOGY","IMMUNOPHARM IMMUNOT","0892-3973","1532-2513","IMMUNOLOGY - SCIE","3.3","0.69","3.1"," 106/161 "," 85/177 ",
"JOURNAL OF NEUROIMMUNOLOGY","J NEUROIMMUNOL","0165-5728","1872-8421","IMMUNOLOGY - SCIE","3.3","0.63","3.5"," 106/161 "," 96/177 ",
"JOURNAL OF ANTIBIOTICS","J ANTIBIOT","0021-8820","1881-1469","IMMUNOLOGY - SCIE","3.3","0.59","3"," 106/161 "," 108/177 ",
"Pathogens and Disease","PATHOG DIS","2049-632X","2049-632X","IMMUNOLOGY - SCIE","3.3","0.54","3.3"," 106/161 "," 117/177 ",
"Transplantation and Cellular Therapy","TRANSPL CELL THER","2666-6375","2666-6367","IMMUNOLOGY - SCIE","3.2","0.73","3.2"," 110/161 "," 75/177 ",
"Journal of Asthma and Allergy","J ASTHMA ALLERGY","1178-6965","1178-6965","IMMUNOLOGY - SCIE","3.2","0.61","3.7"," 110/161 "," 101/177 ",
"IMMUNOGENETICS","IMMUNOGENETICS","0093-7711","1432-1211","IMMUNOLOGY - SCIE","3.2","0.53","2.6"," 110/161 "," 120/177 ",
"Innate Immunity","INNATE IMMUN-LONDON","1753-4259","1753-4267","IMMUNOLOGY - SCIE","3.2","0.5","3.1"," 110/161 "," 127/177 ",
"Tuberculosis","TUBERCULOSIS","1472-9792","1873-281X","IMMUNOLOGY - SCIE","3.2","0.49","2.9"," 110/161 "," 128/177 ",
"Immunity Inflammation and Disease","IMMUN INFLAMM DIS","N/A","2050-4527","IMMUNOLOGY - SCIE","3.2","0.45","3"," 110/161 "," 137/177 ",
"ARCHIVUM IMMUNOLOGIAE ET THERAPIAE EXPERIMENTALIS","ARCH IMMUNOL THER EX","0004-069X","1661-4917","IMMUNOLOGY - SCIE","3.2","0.44","3.9"," 110/161 "," 138/177 ",
"JOURNAL OF BIOLOGICAL REGULATORS AND HOMEOSTATIC AGENTS","J BIOL REG HOMEOS AG","0393-974X","1724-6083","IMMUNOLOGY - SCIE","3.2","0.24","2.2"," 110/161 "," 159/177 ",
"INFECTION AND IMMUNITY","INFECT IMMUN","0019-9567","1098-5522","IMMUNOLOGY - SCIE","3.1","0.62","3.2"," 118/161 "," 99/177 ",
"FOOD AND AGRICULTURAL IMMUNOLOGY","FOOD AGR IMMUNOL","0954-0105","1465-3443","IMMUNOLOGY - SCIE","3","0.61","2.5"," 119/161 "," 101/177 ",
"BMC IMMUNOLOGY","BMC IMMUNOL","N/A","1471-2172","IMMUNOLOGY - SCIE","3","0.54","3.6"," 119/161 "," 117/177 ",
"DEVELOPMENTAL AND COMPARATIVE IMMUNOLOGY","DEV COMP IMMUNOL","0145-305X","1879-0089","IMMUNOLOGY - SCIE","2.9","1.24","3.1"," 121/161 "," 32/177 ",
"APMIS","APMIS","0903-4641","1600-0463","IMMUNOLOGY - SCIE","2.8","0.58","3.2"," 122/161 "," 110/177 ",
"INTERNATIONAL ARCHIVES OF ALLERGY AND IMMUNOLOGY","INT ARCH ALLERGY IMM","1018-2438","1423-0097","IMMUNOLOGY - SCIE","2.8","0.55","2.7"," 122/161 "," 115/177 ",
"IMMUNOLOGICAL INVESTIGATIONS","IMMUNOL INVEST","0882-0139","1532-4311","IMMUNOLOGY - SCIE","2.8","0.53","2.6"," 122/161 "," 120/177 ",
"IMMUNOBIOLOGY","IMMUNOBIOLOGY","0171-2985","1878-3279","IMMUNOLOGY - SCIE","2.8","0.47","3.2"," 122/161 "," 131/177 ",
"Immunotherapy","IMMUNOTHERAPY-UK","1750-743X","1750-7448","IMMUNOLOGY - SCIE","2.8","0.44","3.2"," 122/161 "," 138/177 ",
"Current Opinion in Allergy and Clinical Immunology","CURR OPIN ALLERGY CL","1528-4050","1473-6322","IMMUNOLOGY - SCIE","2.8","0.39","3.1"," 122/161 "," 148/177 ",
"EUROPEAN CYTOKINE NETWORK","EUR CYTOKINE NETW","N/A","1952-4005","IMMUNOLOGY - SCIE","2.8","0.36","3.5"," 122/161 "," 151/177 ",
"HUMAN IMMUNOLOGY","HUM IMMUNOL","0198-8859","1879-1166","IMMUNOLOGY - SCIE","2.7","0.46","2.3"," 129/161 "," 135/177 ",
"Allergy Asthma and Clinical Immunology","ALLERGY ASTHMA CL IM","1710-1492","1710-1492","IMMUNOLOGY - SCIE","2.7","0.43","3.4"," 129/161 "," 140/177 ",
"Transplant Infectious Disease","TRANSPL INFECT DIS","1398-2273","1399-3062","IMMUNOLOGY - SCIE","2.6","0.54","2.1"," 131/161 "," 117/177 ",
"IMMUNOLOGY AND ALLERGY CLINICS OF NORTH AMERICA","IMMUNOL ALLERGY CLIN","0889-8561","1557-8607","IMMUNOLOGY - SCIE","2.6","0.52","3"," 131/161 "," 123/177 ",
"MICROBIOLOGY AND IMMUNOLOGY","MICROBIOL IMMUNOL","0385-5600","1348-0421","IMMUNOLOGY - SCIE","2.6","0.41","2.1"," 131/161 "," 143/177 ",
"LYMPHOLOGY","LYMPHOLOGY","0024-7766","N/A","IMMUNOLOGY - SCIE","2.5","0.48","1.5"," 134/161 "," 129/177 ",
"NEUROIMMUNOMODULATION","NEUROIMMUNOMODULAT","1021-7401","1423-0216","IMMUNOLOGY - SCIE","2.4","0.46","2.7"," 135/161 "," 135/177 ",
"JOURNAL OF INTERFERON AND CYTOKINE RESEARCH","J INTERF CYTOK RES","1079-9907","1557-7465","IMMUNOLOGY - SCIE","2.3","0.47","2.9"," 136/161 "," 131/177 ",
"JOURNAL OF IMMUNOLOGICAL METHODS","J IMMUNOL METHODS","0022-1759","1872-7905","IMMUNOLOGY - SCIE","2.2","0.48","2.3"," 137/161 "," 129/177 ",
"TRANSFUSION MEDICINE AND HEMOTHERAPY","TRANSFUS MED HEMOTH","1660-3796","1660-3818","IMMUNOLOGY - SCIE","2.2","0.47","2.8"," 137/161 "," 131/177 ",
"International Journal of Immunogenetics","INT J IMMUNOGENET","1744-3121","1744-313X","IMMUNOLOGY - SCIE","2.2","0.41","1.7"," 137/161 "," 143/177 ",
"PARASITE IMMUNOLOGY","PARASITE IMMUNOL","0141-9838","1365-3024","IMMUNOLOGY - SCIE","2.2","0.38","2"," 137/161 "," 149/177 ",
"VIRAL IMMUNOLOGY","VIRAL IMMUNOL","0882-8245","1557-8976","IMMUNOLOGY - SCIE","2.2","0.37","2.2"," 137/161 "," 150/177 ",
"AIDS REVIEWS","AIDS REV","1139-6121","1698-6997","IMMUNOLOGY - SCIE","2.2","0.36","2.1"," 137/161 "," 151/177 ",
"COMPARATIVE IMMUNOLOGY MICROBIOLOGY AND INFECTIOUS DISEASES","COMP IMMUNOL MICROB","0147-9571","1878-1667","IMMUNOLOGY - SCIE","2","0.68","2.3"," 143/161 "," 88/177 ",
"Endocrine Metabolic & Immune Disorders-Drug Targets","ENDOCR METAB IMMUNE","1871-5303","2212-3873","IMMUNOLOGY - SCIE","1.9","0.41","2"," 144/161 "," 143/177 ",
"VETERINARY IMMUNOLOGY AND IMMUNOPATHOLOGY","VET IMMUNOL IMMUNOP","0165-2427","1873-2534","IMMUNOLOGY - SCIE","1.8","0.63","2"," 145/161 "," 96/177 ",
"ALLERGOLOGIA ET IMMUNOPATHOLOGIA","ALLERGOL IMMUNOPATH","0301-0546","1578-1267","IMMUNOLOGY - SCIE","1.8","0.33","1.9"," 145/161 "," 155/177 ",
"TRANSFUSION CLINIQUE ET BIOLOGIQUE","TRANSFUS CLIN BIOL","1246-7820","N/A","IMMUNOLOGY - SCIE","1.7","0.29","1.4"," 147/161 "," 157/177 ",
"Indian Journal of Medical Microbiology","INDIAN J MED MICROBI","0255-0857","1998-3646","IMMUNOLOGY - SCIE","1.6","0.24","1.5"," 148/161 "," 159/177 ",
"Transplant Immunology","TRANSPL IMMUNOL","0966-3274","1878-5492","IMMUNOLOGY - SCIE","1.5","0.35","1.4"," 149/161 "," 153/177 ",
"ACTA MICROBIOLOGICA ET IMMUNOLOGICA HUNGARICA","ACTA MICROBIOL IMM H","1217-8950","1588-2640","IMMUNOLOGY - SCIE","1.5","0.34","1.7"," 149/161 "," 154/177 ",
"AIDS RESEARCH AND HUMAN RETROVIRUSES","AIDS RES HUM RETROV","0889-2229","1931-8405","IMMUNOLOGY - SCIE","1.5","0.31","1.6"," 149/161 "," 156/177 ",
"Iranian Journal of Allergy Asthma and Immunology","IRAN J ALLERGY ASTHM","1735-1502","1735-5249","IMMUNOLOGY - SCIE","1.5","0.24","1.5"," 149/161 "," 159/177 ",
"INTERNATIONAL JOURNAL OF STD & AIDS","INT J STD AIDS","0956-4624","1758-1052","IMMUNOLOGY - SCIE","1.4","0.24","1.4"," 153/161 "," 159/177 ",
"CRITICAL REVIEWS IN IMMUNOLOGY","CRIT REV IMMUNOL","1040-8401","2162-6472","IMMUNOLOGY - SCIE","1.3","0.24","2.6"," 154/161 "," 159/177 ",
"Central European Journal of Immunology","CENT EUR J IMMUNOL","1426-3912","1644-4124","IMMUNOLOGY - SCIE","1.3","0.2","1.8"," 154/161 "," 167/177 ",
"CURRENT HIV RESEARCH","CURR HIV RES","1570-162X","1873-4251","IMMUNOLOGY - SCIE","1","0.18","1.1"," 156/161 "," 169/177 ",
