Journal name,JCR Abbreviation,ISSN,eISSN,Category,2022 JIF,2022 JCI,5 Year JIF,JIF Rank,JCI Rank
"Microbial Genomics","MICROB GENOMICS","2057-5858","2057-5858","GENETICS & HEREDITY - SCIE","3.9","0.97","5.2"," 51/171 "," 44/189 "
"JOURNAL OF MOLECULAR EVOLUTION","J MOL EVOL","0022-2844","1432-1432","GENETICS & HEREDITY - SCIE","3.9","0.57","2.8"," 51/171 "," 119/189 "
"HEREDITY","HEREDITY","0018-067X","1365-2540","GENETICS & HEREDITY - SCIE","3.8","0.86","3.7"," 55/171 "," 60/189 "
"DNA REPAIR","DNA REPAIR","1568-7864","1568-7856","GENETICS & HEREDITY - SCIE","3.8","0.85","3.9"," 55/171 "," 62/189 "
"Epigenomics","EPIGENOMICS-UK","1750-1911","1750-192X","GENETICS & HEREDITY - SCIE","3.8","0.83","4.1"," 55/171 "," 66/189 "
"MOLECULAR GENETICS AND METABOLISM","MOL GENET METAB","1096-7192","1096-7206","GENETICS & HEREDITY - SCIE","3.8","0.74","4.2"," 55/171 "," 86/189 "
"CRISPR Journal","CRISPR J","2573-1599","2573-1602","GENETICS & HEREDITY - SCIE","3.7","0.92","4.3"," 59/171 "," 52/189 "
"Frontiers in Genetics","FRONT GENET","N/A","1664-8021","GENETICS & HEREDITY - SCIE","3.7","0.89","4.3"," 59/171 "," 54/189 "
"Orphanet Journal of Rare Diseases","ORPHANET J RARE DIS","N/A","1750-1172","GENETICS & HEREDITY - SCIE","3.7","0.83","4.4"," 59/171 "," 66/189 "
"GENES CHROMOSOMES & CANCER","GENE CHROMOSOME CANC","1045-2257","1098-2264","GENETICS & HEREDITY - SCIE","3.7","0.78","3.9"," 59/171 "," 74/189 "
"Epigenetics","EPIGENETICS-US","1559-2294","1559-2308","GENETICS & HEREDITY - SCIE","3.7","0.77","4.6"," 59/171 "," 79/189 "
"CURRENT GENE THERAPY","CURR GENE THER","1566-5232","1875-5631","GENETICS & HEREDITY - SCIE","3.6","0.68","3.7"," 64/171 "," 92/189 "
"HUMAN MOLECULAR GENETICS","HUM MOL GENET","0964-6906","1460-2083","GENETICS & HEREDITY - SCIE","3.5","0.92","5.1"," 65/171 "," 52/189 "
"GENE","GENE","0378-1119","1879-0038","GENETICS & HEREDITY - SCIE","3.5","0.87","3.3"," 65/171 "," 58/189 "
"JOURNAL OF HUMAN GENETICS","J HUM GENET","1434-5161","1435-232X","GENETICS & HEREDITY - SCIE","3.5","0.81","3"," 65/171 "," 70/189 "
"CLINICAL GENETICS","CLIN GENET","0009-9163","1399-0004","GENETICS & HEREDITY - SCIE","3.5","0.78","3.9"," 65/171 "," 74/189 "
"Genes","GENES-BASEL","N/A","2073-4425","GENETICS & HEREDITY - SCIE","3.5","0.78","3.9"," 65/171 "," 74/189 "
"JOURNAL OF GENE MEDICINE","J GENE MED","1099-498X","1521-2254","GENETICS & HEREDITY - SCIE","3.5","0.78","3.4"," 65/171 "," 74/189 "
"Genes and Nutrition","GENES NUTR","1555-8932","1865-3499","GENETICS & HEREDITY - SCIE","3.5","0.75","4.7"," 65/171 "," 82/189 "
"BMC EVOLUTIONARY BIOLOGY","BMC EVOL BIOL","1471-2148","1471-2148","GENETICS & HEREDITY - SCIE","3.4","0.79","3.6"," 72/171 "," 72/189 "
"EVOLUTION","EVOLUTION","0014-3820","1558-5646","GENETICS & HEREDITY - SCIE","3.3","0.95","3.6"," 73/171 "," 48/189 "
"GENETICS","GENETICS","0016-6731","1943-2631","GENETICS & HEREDITY - SCIE","3.3","0.89","4.2"," 73/171 "," 54/189 "
"Genome Biology and Evolution","GENOME BIOL EVOL","1759-6653","1759-6653","GENETICS & HEREDITY - SCIE","3.3","0.87","3.5"," 73/171 "," 58/189 "
"OMICS-A JOURNAL OF INTEGRATIVE BIOLOGY","OMICS","1536-2310","1557-8100","GENETICS & HEREDITY - SCIE","3.3","0.58","3"," 73/171 "," 110/189 "
"IMMUNOGENETICS","IMMUNOGENETICS","0093-7711","1432-1211","GENETICS & HEREDITY - SCIE","3.2","0.53","2.6"," 77/171 "," 125/189 "
"Biotechnology and Genetic Engineering Reviews","BIOTECHNOL GENET","0264-8725","2046-5556","GENETICS & HEREDITY - SCIE","3.2","0.36","4.7"," 77/171 "," 160/189 "
"Forensic Science International-Genetics","FORENSIC SCI INT-GEN","1872-4973","1878-0326","GENETICS & HEREDITY - SCIE","3.1","1.43","3.8"," 79/171 "," 19/189 "
"JOURNAL OF ASSISTED REPRODUCTION AND GENETICS","J ASSIST REPROD GEN","1058-0468","1573-7330","GENETICS & HEREDITY - SCIE","3.1","0.93","3.5"," 79/171 "," 50/189 "
"MOLECULAR BREEDING","MOL BREEDING","1380-3743","1572-9788","GENETICS & HEREDITY - SCIE","3.1","0.88","3.1"," 79/171 "," 57/189 "
"Neurology-Genetics","NEUROL-GENET","2376-7839","2376-7839","GENETICS & HEREDITY - SCIE","3.1","0.85","3.5"," 79/171 "," 62/189 "
"JOURNAL OF HEREDITY","J HERED","0022-1503","1465-7333","GENETICS & HEREDITY - SCIE","3.1","0.76","3"," 79/171 "," 80/189 "
"MOLECULAR GENETICS AND GENOMICS","MOL GENET GENOMICS","1617-4615","1617-4623","GENETICS & HEREDITY - SCIE","3.1","0.67","3.1"," 79/171 "," 95/189 "
"GENOME","GENOME","0831-2796","1480-3321","GENETICS & HEREDITY - SCIE","3.1","0.65","2.6"," 79/171 "," 99/189 "
"DNA AND CELL BIOLOGY","DNA CELL BIOL","1044-5498","1557-7430","GENETICS & HEREDITY - SCIE","3.1","0.59","3.1"," 79/171 "," 109/189 "
"AMERICAN JOURNAL OF MEDICAL GENETICS PART C-SEMINARS IN MEDICAL GENETICS","AM J MED GENET C","1552-4868","1552-4876","GENETICS & HEREDITY - SCIE","3.1","0.58","5.2"," 79/171 "," 110/189 "
"FUNGAL GENETICS AND BIOLOGY","FUNGAL GENET BIOL","1087-1845","1096-0937","GENETICS & HEREDITY - SCIE","3","0.85","3.3"," 88/171 "," 62/189 "
"PRENATAL DIAGNOSIS","PRENATAL DIAG","0197-3851","1097-0223","GENETICS & HEREDITY - SCIE","3","0.76","3"," 88/171 "," 80/189 "
"Comparative Biochemistry and Physiology D-Genomics & Proteomics","COMP BIOCHEM PHYS D","1744-117X","1878-0407","GENETICS & HEREDITY - SCIE","3","0.68","3.2"," 88/171 "," 92/189 "
"FUNCTIONAL & INTEGRATIVE GENOMICS","FUNCT INTEGR GENOMIC","1438-793X","1438-7948","GENETICS & HEREDITY - SCIE","2.9","0.78","3.3"," 91/171 "," 74/189 "
"BMC GENETICS","BMC GENET","1471-2156","1471-2156","GENETICS & HEREDITY - SCIE","2.9","0.7","3.2"," 91/171 "," 90/189 "
"EVOLUTION & DEVELOPMENT","EVOL DEV","1520-541X","1525-142X","GENETICS & HEREDITY - SCIE","2.9","0.66","2.2"," 91/171 "," 96/189 "
"International Journal of Genomics","INT J GENOMICS","2314-436X","2314-4378","GENETICS & HEREDITY - SCIE","2.9","0.57","2.7"," 91/171 "," 119/189 "
"PHARMACOGENOMICS JOURNAL","PHARMACOGENOMICS J","1470-269X","1473-1150","GENETICS & HEREDITY - SCIE","2.8","0.74","3"," 95/171 "," 86/189 "
"AMERICAN JOURNAL OF MEDICAL GENETICS PART B-NEUROPSYCHIATRIC GENETICS","AM J MED GENET B","1552-4841","1552-485X","GENETICS & HEREDITY - SCIE","2.8","0.65","3.5"," 95/171 "," 99/189 "
"ENVIRONMENTAL AND MOLECULAR MUTAGENESIS","ENVIRON MOL MUTAGEN","0893-6692","1098-2280","GENETICS & HEREDITY - SCIE","2.8","0.58","3.7"," 95/171 "," 110/189 "
"BMC Medical Genomics","BMC MED GENOMICS","N/A","1755-8794","GENETICS & HEREDITY - SCIE","2.7","0.75","3.2"," 98/171 "," 82/189 "
"HEREDITAS","HEREDITAS","1601-5223","1601-5223","GENETICS & HEREDITY - SCIE","2.7","0.58","3.3"," 98/171 "," 110/189 "
"MUTAGENESIS","MUTAGENESIS","0267-8357","1464-3804","GENETICS & HEREDITY - SCIE","2.7","0.58","2.8"," 98/171 "," 110/189 "
"BEHAVIOR GENETICS","BEHAV GENET","0001-8244","1573-3297","GENETICS & HEREDITY - SCIE","2.6","0.86","2.6"," 101/171 "," 60/189 "
"G3-Genes Genomes Genetics","G3-GENES GENOM GENET","2160-1836","2160-1836","GENETICS & HEREDITY - SCIE","2.6","0.72","3"," 101/171 "," 89/189 "
"CHROMOSOME RESEARCH","CHROMOSOME RES","0967-3849","1573-6849","GENETICS & HEREDITY - SCIE","2.6","0.64","3.6"," 101/171 "," 101/189 "
"PLASMID","PLASMID","0147-619X","1095-9890","GENETICS & HEREDITY - SCIE","2.6","0.6","3"," 101/171 "," 108/189 "
"Pharmacogenetics and Genomics","PHARMACOGENET GENOM","1744-6872","1744-6880","GENETICS & HEREDITY - SCIE","2.6","0.57","2.6"," 101/171 "," 119/189 "
"CURRENT GENOMICS","CURR GENOMICS","1389-2029","1875-5488","GENETICS & HEREDITY - SCIE","2.6","0.4","3"," 101/171 "," 153/189 "
"Lifestyle Genomics","LIFESTYLE GENOM","2504-3161","2504-3188","GENETICS & HEREDITY - SCIE","2.6","0.38","2.4"," 101/171 "," 156/189 "
"Cancer Genomics & Proteomics","CANCER GENOM PROTEOM","1109-6535","1790-6245","GENETICS & HEREDITY - SCIE","2.5","0.63","3.4"," 108/171 "," 102/189 "
"MAMMALIAN GENOME","MAMM GENOME","0938-8990","1432-1777","GENETICS & HEREDITY - SCIE","2.5","0.58","2.6"," 108/171 "," 110/189 "
"CURRENT GENETICS","CURR GENET","0172-8083","1432-0983","GENETICS & HEREDITY - SCIE","2.5","0.48","2.4"," 108/171 "," 139/189 "
"ANIMAL GENETICS","ANIM GENET","0268-9146","1365-2052","GENETICS & HEREDITY - SCIE","2.4","0.81","2.8"," 111/171 "," 70/189 "
"Tree Genetics & Genomes","TREE GENET GENOMES","1614-2942","1614-2950","GENETICS & HEREDITY - SCIE","2.4","0.75","2.4"," 111/171 "," 82/189 "
"JOURNAL OF APPLIED GENETICS","J APPL GENET","1234-1983","2190-3883","GENETICS & HEREDITY - SCIE","2.4","0.55","3"," 111/171 "," 122/189 "
"BIOCHEMICAL GENETICS","BIOCHEM GENET","0006-2928","1573-4927","GENETICS & HEREDITY - SCIE","2.4","0.48","2.2"," 111/171 "," 139/189 "
"MUTATION RESEARCH-FUNDAMENTAL AND MOLECULAR MECHANISMS OF MUTAGENESIS","MUTAT RES-FUND MOL M","0027-5107","1873-135X","GENETICS & HEREDITY - SCIE","2.3","0.49","2.1"," 115/171 "," 135/189 "
"BMC Ecology and Evolution","BMC ECOL EVOL","N/A","2730-7182","GENETICS & HEREDITY - SCIE","2.2","0.66","2.2"," 116/171 "," 96/189 "
"CONSERVATION GENETICS","CONSERV GENET","1566-0621","1572-9737","GENETICS & HEREDITY - SCIE","2.2","0.63","2.2"," 116/171 "," 102/189 "
"NEUROGENETICS","NEUROGENETICS","1364-6745","1364-6753","GENETICS & HEREDITY - SCIE","2.2","0.61","2.6"," 116/171 "," 107/189 "
"Familial Cancer","FAM CANCER","1389-9600","1573-7292","GENETICS & HEREDITY - SCIE","2.2","0.5","2.1"," 116/171 "," 132/189 "
"International Journal of Immunogenetics","INT J IMMUNOGENET","1744-3121","1744-313X","GENETICS & HEREDITY - SCIE","2.2","0.41","1.7"," 116/171 "," 152/189 "
"CARYOLOGIA","CARYOLOGIA","0008-7114","2165-5391","GENETICS & HEREDITY - SCIE","2.1","0.58","1.6"," 121/171 "," 110/189 "
"JOURNAL OF EVOLUTIONARY BIOLOGY","J EVOLUTION BIOL","1010-061X","1420-9101","GENETICS & HEREDITY - SCIE","2.1","0.58","2.3"," 121/171 "," 110/189 "
"GENETIC EPIDEMIOLOGY","GENET EPIDEMIOL","0741-0395","1098-2272","GENETICS & HEREDITY - SCIE","2.1","0.54","2.5"," 121/171 "," 123/189 "
"Genes & Genomics","GENES GENOM","1976-9571","2092-9293","GENETICS & HEREDITY - SCIE","2.1","0.45","1.9"," 121/171 "," 142/189 "
"GENES TO CELLS","GENES CELLS","1356-9597","1365-2443","GENETICS & HEREDITY - SCIE","2.1","0.4","1.9"," 121/171 "," 153/189 "
"GENETICS AND MOLECULAR BIOLOGY","GENET MOL BIOL","1415-4757","1678-4685","GENETICS & HEREDITY - SCIE","2.1","0.38","2.2"," 121/171 "," 156/189 "
"AMERICAN JOURNAL OF MEDICAL GENETICS PART A","AM J MED GENET A","1552-4825","1552-4833","GENETICS & HEREDITY - SCIE","2","0.51","2.5"," 127/171 "," 129/189 "
"Molecular Genetics & Genomic Medicine","MOL GENET GENOM MED","2324-9269","2324-9269","GENETICS & HEREDITY - SCIE","2","0.49","2.1"," 127/171 "," 135/189 "
"Journal of Genetic Counseling","J GENET COUNS","1059-7700","1573-3599","GENETICS & HEREDITY - SCIE","1.9","0.62","2.3"," 129/171 "," 105/189 "
"MUTATION RESEARCH-GENETIC TOXICOLOGY AND ENVIRONMENTAL MUTAGENESIS","MUTAT RES-GEN TOX EN","1383-5718","1879-3592","GENETICS & HEREDITY - SCIE","1.9","0.62","2.3"," 129/171 "," 105/189 "
"Marine Genomics","MAR GENOM","1874-7787","1876-7478","GENETICS & HEREDITY - SCIE","1.9","0.54","1.7"," 129/171 "," 123/189 "
"BMC Genomic Data","BMC GENOMIC DATA","N/A","2730-6844","GENETICS & HEREDITY - SCIE","1.9","0.53","1.9"," 129/171 "," 125/189 "
"European Journal of Medical Genetics","EUR J MED GENET","1769-7212","1878-0849","GENETICS & HEREDITY - SCIE","1.9","0.53","2.1"," 129/171 "," 125/189 "
"Molecular Genetics and Metabolism Reports","MOL GENET METAB REP","N/A","2214-4269","GENETICS & HEREDITY - SCIE","1.9","0.51","2.1"," 129/171 "," 129/189 "
"EVOLUTIONARY ECOLOGY","EVOL ECOL","0269-7653","1573-8477","GENETICS & HEREDITY - SCIE","1.9","0.47","2"," 129/171 "," 141/189 "
"ANNALS OF HUMAN GENETICS","ANN HUM GENET","0003-4800","1469-1809","GENETICS & HEREDITY - SCIE","1.9","0.44","1.7"," 129/171 "," 144/189 "
"JOURNAL OF NEUROGENETICS","J NEUROGENET","0167-7063","1563-5260","GENETICS & HEREDITY - SCIE","1.9","0.43","1.8"," 129/171 "," 148/189 "
"Cancer Genetics","CANCER GENET-NY","2210-7762","2210-7770","GENETICS & HEREDITY - SCIE","1.9","0.42","2"," 129/171 "," 150/189 "
"NEW GENETICS AND SOCIETY","NEW GENET SOC","1463-6778","1469-9915","GENETICS & HEREDITY - SCIE","1.8","0.75","1.8"," 139/171 "," 82/189 "
"HUMAN HEREDITY","HUM HERED","0001-5652","1423-0062","GENETICS & HEREDITY - SCIE","1.8","0.43","1.8"," 139/171 "," 148/189 "
"Public Health Genomics","PUBLIC HEALTH GENOM","1662-4246","1662-8063","GENETICS & HEREDITY - SCIE","1.7","0.49","2.3"," 141/171 "," 135/189 "
"Genes and Environment","GENES ENVIRON","1880-7046","1880-7062","GENETICS & HEREDITY - SCIE","1.7","0.44","1.9"," 141/171 "," 144/189 "
"CYTOGENETIC AND GENOME RESEARCH","CYTOGENET GENOME RES","1424-8581","1424-859X","GENETICS & HEREDITY - SCIE","1.7","0.3","1.4"," 141/171 "," 171/189 "
"CHROMOSOMA","CHROMOSOMA","0009-5915","1432-0886","GENETICS & HEREDITY - SCIE","1.6","0.5","3.6"," 144/171 "," 132/189 "
"VIRUS GENES","VIRUS GENES","0920-8569","1572-994X","GENETICS & HEREDITY - SCIE","1.6","0.42","2"," 144/171 "," 150/189 "
"Cellular Reprogramming","CELL REPROGRAM","2152-4971","2152-4998","GENETICS & HEREDITY - SCIE","1.6","0.4","1.9"," 144/171 "," 153/189 "
"CRITICAL REVIEWS IN EUKARYOTIC GENE EXPRESSION","CRIT REV EUKAR GENE","1045-4403","2162-6502","GENETICS & HEREDITY - SCIE","1.6","0.33","2.2"," 144/171 "," 167/189 "
"GENESIS","GENESIS","1526-954X","1526-968X","GENETICS & HEREDITY - SCIE","1.5","0.36","1.8"," 148/171 "," 160/189 "
"GENETICA","GENETICA","0016-6707","1573-6857","GENETICS & HEREDITY - SCIE","1.5","0.35","1.5"," 148/171 "," 162/189 "
"JOURNAL OF GENETICS","J GENET","0022-1333","0973-7731","GENETICS & HEREDITY - SCIE","1.5","0.32","1.4"," 148/171 "," 169/189 "
"Genetics Research","GENET RES","0016-6723","1469-5073","GENETICS & HEREDITY - SCIE","1.5","0.27","1.7"," 148/171 "," 175/189 "
"THEORETICAL POPULATION BIOLOGY","THEOR POPUL BIOL","0040-5809","1096-0325","GENETICS & HEREDITY - SCIE","1.4","0.35","1.5"," 152/171 "," 162/189 "
"Genetic Testing and Molecular Biomarkers","GENET TEST MOL BIOMA","1945-0265","1945-0257","GENETICS & HEREDITY - SCIE","1.4","0.33","1.5"," 152/171 "," 167/189 "
"Molecular Cytogenetics","MOL CYTOGENET","N/A","1755-8166","GENETICS & HEREDITY - SCIE","1.3","0.35","1.7"," 154/171 "," 162/189 "
"OPHTHALMIC GENETICS","OPHTHALMIC GENET","1381-6810","1744-5094","GENETICS & HEREDITY - SCIE","1.2","0.37","1.4"," 155/171 "," 159/189 "
"GENE EXPRESSION PATTERNS","GENE EXPR PATTERNS","1567-133X","1872-7298","GENETICS & HEREDITY - SCIE","1.2","0.32","1.1"," 155/171 "," 169/189 "
"Conservation Genetics Resources","CONSERV GENET RESOUR","1877-7252","1877-7260","GENETICS & HEREDITY - SCIE","1.1","0.28","0.7"," 157/171 "," 174/189 "
"Molecular Syndromology","MOL SYNDROMOL","1661-8769","1661-8777","GENETICS & HEREDITY - SCIE","1.1","0.26","1.5"," 157/171 "," 176/189 "
"GENES & GENETIC SYSTEMS","GENES GENET SYST","1341-7568","1880-5779","GENETICS & HEREDITY - SCIE","1.1","0.23","1.5"," 157/171 "," 178/189 "
"Medizinische Genetik","MED GENET-BERLIN","0936-5931","1863-5490","GENETICS & HEREDITY - SCIE","1.1","0.15","1.2"," 157/171 "," 183/189 "
"Comparative Cytogenetics","COMP CYTOGENET","1993-0771","1993-078X","GENETICS & HEREDITY - SCIE","1","0.38","1"," 161/171 "," 156/189 "
"SILVAE GENETICA","SILVAE GENET","0037-5349","2509-8934","GENETICS & HEREDITY - SCIE","1","0.3","0.9"," 161/171 "," 171/189 "
"CYTOLOGIA","CYTOLOGIA","0011-4545","0011-4545","GENETICS & HEREDITY - SCIE","1","0.18","0.6"," 161/171 "," 180/189 "
"Twin Research and Human Genetics","TWIN RES HUM GENET","1832-4274","1839-2628","GENETICS & HEREDITY - SCIE","0.9","0.58","2"," 164/171 "," 110/189 "
"PSYCHIATRIC GENETICS","PSYCHIAT GENET","0955-8829","1473-5873","GENETICS & HEREDITY - SCIE","0.9","0.3","1.9"," 164/171 "," 171/189 "
"CLINICAL DYSMORPHOLOGY","CLIN DYSMORPHOL","0962-8827","1473-5717","GENETICS & HEREDITY - SCIE","0.7","0.18","0.8"," 166/171 "," 180/189 "
