Journal name,JCR Abbreviation,ISSN,eISSN,Category,Total Citations,2022 JIF,JIF Quartile,2022 JCI,% of OA Gold
"EUROPEAN JOURNAL OF HUMAN GENETICS","EUR J HUM GENET","1018-4813","1476-5438","GENETICS & HEREDITY - SCIE","13,086","5.2","Q1","1.04","45.29"%,
"GENE THERAPY","GENE THER","0969-7128","1476-5462","GENETICS & HEREDITY - SCIE","7,545","5.1","Q1","0.96","30.74"%,
"GENES AND IMMUNITY","GENES IMMUN","1466-4879","1476-5470","GENETICS & HEREDITY - SCIE","2,994","5","Q1","0.68","35.29"%,
"Mobile DNA","MOBILE DNA-UK","1759-8753","1759-8753","GENETICS & HEREDITY - SCIE","1,536","4.9","Q1","1.16","98.81"%,
"JOURNAL OF MOLECULAR MEDICINE-JMM","J MOL MED","0946-2716","1432-1440","GENETICS & HEREDITY - SCIE","9,284","4.7","Q1","0.93","37.73"%,
"NAR Genomics and Bioinformatics","NAR GENOM BIOINFORM","N/A","2631-9268","GENETICS & HEREDITY - ESCI","1,189","4.6","N/A","1.09","90.91"%,
"PHYSIOLOGICAL GENOMICS","PHYSIOL GENOMICS","1094-8341","1531-2267","GENETICS & HEREDITY - SCIE","5,086","4.6","Q1","0.7","7.8"%,
"PLoS Genetics","PLOS GENET","1553-7404","1553-7404","GENETICS & HEREDITY - SCIE","50,379","4.5","Q1","1.31","97.9"%,
"Human Genomics","HUM GENOMICS","1473-9542","1479-7364","GENETICS & HEREDITY - SCIE","2,176","4.5","Q1","1.04","99.43"%,
"GENOMICS","GENOMICS","0888-7543","1089-8646","GENETICS & HEREDITY - SCIE","13,817","4.4","Q1","1.11","32.07"%,
"Human Genetics and Genomics Advances","HUM GENET GENOM ADV","2666-2477","2666-2477","GENETICS & HEREDITY - ESCI","283","4.4","N/A","1.1","89.26"%,
"BMC GENOMICS","BMC GENOMICS","1471-2164","1471-2164","GENETICS & HEREDITY - SCIE","54,565","4.4","Q1","1.01","99.69"%,
"MITOCHONDRION","MITOCHONDRION","1567-7249","1872-8278","GENETICS & HEREDITY - SCIE","5,395","4.4","Q1","0.73","12.54"%,
"Non-Coding RNA","NON-CODING RNA","N/A","2311-553X","GENETICS & HEREDITY - ESCI","1,306","4.3","N/A","0.82","99.5"%,
"Plant Genome","PLANT GENOME-US","N/A","1940-3372","GENETICS & HEREDITY - SCIE","3,117","4.2","Q1","1.09","81.75"%,
"JOURNAL OF INHERITED METABOLIC DISEASE","J INHERIT METAB DIS","0141-8955","1573-2665","GENETICS & HEREDITY - SCIE","7,548","4.2","Q1","1.03","37.54"%,
"HUMAN GENE THERAPY","HUM GENE THER","1043-0342","1557-7422","GENETICS & HEREDITY - SCIE","6,764","4.2","Q1","0.96","18.55"%,
"GENETICS SELECTION EVOLUTION","GENET SEL EVOL","0999-193X","1297-9686","GENETICS & HEREDITY - SCIE","4,435","4.1","Q2","1.49","99.58"%,
"MOLECULAR PHYLOGENETICS AND EVOLUTION","MOL PHYLOGENET EVOL","1055-7903","1095-9513","GENETICS & HEREDITY - SCIE","21,268","4.1","Q2","1.08","14.18"%,
"DNA RESEARCH","DNA RES","1340-2838","1756-1663","GENETICS & HEREDITY - SCIE","3,588","4.1","Q2","0.96","88.17"%,
"JOURNAL OF MEDICAL GENETICS","J MED GENET","0022-2593","1468-6244","GENETICS & HEREDITY - SCIE","13,573","4","Q2","1.3","34.77"%,
"Molecular Diagnosis & Therapy","MOL DIAGN THER","1177-1062","1179-2000","GENETICS & HEREDITY - SCIE","1,793","4","Q2","0.79","25.54"%,
"Briefings in Functional Genomics","BRIEF FUNCT GENOMICS","2041-2649","2041-2657","GENETICS & HEREDITY - SCIE","2,218","4","Q2","0.66","16.79"%,
"CURRENT OPINION IN GENETICS & DEVELOPMENT","CURR OPIN GENET DEV","0959-437X","1879-0380","GENETICS & HEREDITY - SCIE","7,879","4","Q2","0.63","22.44"%,
"Epigenetics & Chromatin","EPIGENET CHROMATIN","N/A","1756-8935","GENETICS & HEREDITY - SCIE","2,750","3.9","Q2","1.08","98.64"%,
"HUMAN MUTATION","HUM MUTAT","1059-7794","1098-1004","GENETICS & HEREDITY - SCIE","15,352","3.9","Q2","0.98","76.92"%,
"Microbial Genomics","MICROB GENOMICS","2057-5858","2057-5858","GENETICS & HEREDITY - SCIE","3,597","3.9","Q2","0.97","99.38"%,
"JOURNAL OF MOLECULAR EVOLUTION","J MOL EVOL","0022-2844","1432-1432","GENETICS & HEREDITY - SCIE","8,200","3.9","Q2","0.57","28.47"%,
"HEREDITY","HEREDITY","0018-067X","1365-2540","GENETICS & HEREDITY - SCIE","10,093","3.8","Q2","0.86","37.58"%,
"DNA REPAIR","DNA REPAIR","1568-7864","1568-7856","GENETICS & HEREDITY - SCIE","6,707","3.8","Q2","0.85","17.4"%,
"Environmental Epigenetics","ENVIRON EPIGENETICS","2058-5888","2058-5888","GENETICS & HEREDITY - ESCI","596","3.8","N/A","0.84","89.29"%,
"Epigenomics","EPIGENOMICS-UK","1750-1911","1750-192X","GENETICS & HEREDITY - SCIE","4,279","3.8","Q2","0.83","16.12"%,
"MOLECULAR GENETICS AND METABOLISM","MOL GENET METAB","1096-7192","1096-7206","GENETICS & HEREDITY - SCIE","8,735","3.8","Q2","0.74","28.2"%,
"CRISPR Journal","CRISPR J","2573-1599","2573-1602","GENETICS & HEREDITY - SCIE","896","3.7","Q2","0.92","21.16"%,
"Frontiers in Genetics","FRONT GENET","N/A","1664-8021","GENETICS & HEREDITY - SCIE","36,301","3.7","Q2","0.89","99.37"%,
"Orphanet Journal of Rare Diseases","ORPHANET J RARE DIS","N/A","1750-1172","GENETICS & HEREDITY - SCIE","13,170","3.7","Q2","0.83","99.51"%,
"GENES CHROMOSOMES & CANCER","GENE CHROMOSOME CANC","1045-2257","1098-2264","GENETICS & HEREDITY - SCIE","5,511","3.7","Q2","0.78","20.74"%,
"Epigenetics","EPIGENETICS-US","1559-2294","1559-2308","GENETICS & HEREDITY - SCIE","6,523","3.7","Q2","0.77","36.39"%,
"CURRENT GENE THERAPY","CURR GENE THER","1566-5232","1875-5631","GENETICS & HEREDITY - SCIE","1,634","3.6","Q2","0.68","3.6"%,
"International Journal of Neonatal Screening","INT J NEONAT SCREEN","N/A","2409-515X","GENETICS & HEREDITY - ESCI","846","3.5","N/A","0.94","100"%,
"HUMAN MOLECULAR GENETICS","HUM MOL GENET","0964-6906","1460-2083","GENETICS & HEREDITY - SCIE","41,216","3.5","Q2","0.92","35.75"%,
"GENE","GENE","0378-1119","1879-0038","GENETICS & HEREDITY - SCIE","32,844","3.5","Q2","0.87","5.77"%,
"JOURNAL OF HUMAN GENETICS","J HUM GENET","1434-5161","1435-232X","GENETICS & HEREDITY - SCIE","5,301","3.5","Q2","0.81","18.67"%,
"CLINICAL GENETICS","CLIN GENET","0009-9163","1399-0004","GENETICS & HEREDITY - SCIE","9,288","3.5","Q2","0.78","15.56"%,
"Genes","GENES-BASEL","N/A","2073-4425","GENETICS & HEREDITY - SCIE","24,358","3.5","Q2","0.78","99.54"%,
"JOURNAL OF GENE MEDICINE","J GENE MED","1099-498X","1521-2254","GENETICS & HEREDITY - SCIE","2,750","3.5","Q2","0.78","6.2"%,
"Genes and Nutrition","GENES NUTR","1555-8932","1865-3499","GENETICS & HEREDITY - SCIE","1,920","3.5","Q2","0.75","100"%,
"BMC EVOLUTIONARY BIOLOGY","BMC EVOL BIOL","1471-2148","1471-2148","GENETICS & HEREDITY - SCIE","13,156","3.4","Q2","0.79","99.38"%,
"EVOLUTION","EVOLUTION","0014-3820","1558-5646","GENETICS & HEREDITY - SCIE","29,351","3.3","Q2","0.95","23.58"%,
"GENETICS","GENETICS","0016-6731","1943-2631","GENETICS & HEREDITY - SCIE","41,052","3.3","Q2","0.89","23.85"%,
"Genome Biology and Evolution","GENOME BIOL EVOL","1759-6653","1759-6653","GENETICS & HEREDITY - SCIE","9,396","3.3","Q2","0.87","95.55"%,
"OMICS-A JOURNAL OF INTEGRATIVE BIOLOGY","OMICS","1536-2310","1557-8100","GENETICS & HEREDITY - SCIE","6,843","3.3","Q2","0.58","7.94"%,
"IMMUNOGENETICS","IMMUNOGENETICS","0093-7711","1432-1211","GENETICS & HEREDITY - SCIE","3,189","3.2","Q2","0.53","18.12"%,
"Biotechnology and Genetic Engineering Reviews","BIOTECHNOL GENET","0264-8725","2046-5556","GENETICS & HEREDITY - SCIE","767","3.2","Q2","0.36","3.13"%,
"Forensic Science International-Genetics","FORENSIC SCI INT-GEN","1872-4973","1878-0326","GENETICS & HEREDITY - SCIE","5,468","3.1","Q2","1.43","18.2"%,
"JOURNAL OF ASSISTED REPRODUCTION AND GENETICS","J ASSIST REPROD GEN","1058-0468","1573-7330","GENETICS & HEREDITY - SCIE","9,154","3.1","Q2","0.93","11.76"%,
"MOLECULAR BREEDING","MOL BREEDING","1380-3743","1572-9788","GENETICS & HEREDITY - SCIE","7,105","3.1","Q2","0.88","10"%,
"Neurology-Genetics","NEUROL-GENET","2376-7839","2376-7839","GENETICS & HEREDITY - SCIE","1,665","3.1","Q2","0.85","98.44"%,
"JOURNAL OF HEREDITY","J HERED","0022-1503","1465-7333","GENETICS & HEREDITY - SCIE","6,324","3.1","Q2","0.76","35.53"%,
"MOLECULAR GENETICS AND GENOMICS","MOL GENET GENOMICS","1617-4615","1617-4623","GENETICS & HEREDITY - SCIE","5,760","3.1","Q2","0.67","12.3"%,
"GENOME","GENOME","0831-2796","1480-3321","GENETICS & HEREDITY - SCIE","4,597","3.1","Q2","0.65","11"%,
"DNA AND CELL BIOLOGY","DNA CELL BIOL","1044-5498","1557-7430","GENETICS & HEREDITY - SCIE","4,800","3.1","Q2","0.59","4.98"%,
"AMERICAN JOURNAL OF MEDICAL GENETICS PART C-SEMINARS IN MEDICAL GENETICS","AM J MED GENET C","1552-4868","1552-4876","GENETICS & HEREDITY - SCIE","3,170","3.1","Q2","0.58","12.89"%,
"Application of Clinical Genetics","APPL CLIN GENET","N/A","1178-704X","GENETICS & HEREDITY - ESCI","810","3.1","N/A","0.5","95.89"%,
"FUNGAL GENETICS AND BIOLOGY","FUNGAL GENET BIOL","1087-1845","1096-0937","GENETICS & HEREDITY - SCIE","6,295","3","Q3","0.85","19.09"%,
"PRENATAL DIAGNOSIS","PRENATAL DIAG","0197-3851","1097-0223","GENETICS & HEREDITY - SCIE","6,975","3","Q3","0.76","15.34"%,
"Comparative Biochemistry and Physiology D-Genomics & Proteomics","COMP BIOCHEM PHYS D","1744-117X","1878-0407","GENETICS & HEREDITY - SCIE","2,039","3","Q3","0.68","4.59"%,
"FUNCTIONAL & INTEGRATIVE GENOMICS","FUNCT INTEGR GENOMIC","1438-793X","1438-7948","GENETICS & HEREDITY - SCIE","2,663","2.9","Q3","0.78","9.09"%,
"BMC GENETICS","BMC GENET","1471-2156","1471-2156","GENETICS & HEREDITY - SCIE","4,909","2.9","Q3","0.7","100"%,
"EVOLUTION & DEVELOPMENT","EVOL DEV","1520-541X","1525-142X","GENETICS & HEREDITY - SCIE","1,838","2.9","Q3","0.66","23.26"%,
"International Journal of Genomics","INT J GENOMICS","2314-436X","2314-4378","GENETICS & HEREDITY - SCIE","1,497","2.9","Q3","0.57","98.54"%,
"PHARMACOGENOMICS JOURNAL","PHARMACOGENOMICS J","1470-269X","1473-1150","GENETICS & HEREDITY - SCIE","2,959","2.8","Q3","0.74","21.61"%,
"AMERICAN JOURNAL OF MEDICAL GENETICS PART B-NEUROPSYCHIATRIC GENETICS","AM J MED GENET B","1552-4841","1552-485X","GENETICS & HEREDITY - SCIE","3,669","2.8","Q3","0.65","24.56"%,
"ENVIRONMENTAL AND MOLECULAR MUTAGENESIS","ENVIRON MOL MUTAGEN","0893-6692","1098-2280","GENETICS & HEREDITY - SCIE","3,478","2.8","Q3","0.58","16.67"%,
"BMC Medical Genomics","BMC MED GENOMICS","N/A","1755-8794","GENETICS & HEREDITY - SCIE","4,941","2.7","Q3","0.75","99.6"%,
"HEREDITAS","HEREDITAS","1601-5223","1601-5223","GENETICS & HEREDITY - SCIE","2,218","2.7","Q3","0.58","100"%,
"MUTAGENESIS","MUTAGENESIS","0267-8357","1464-3804","GENETICS & HEREDITY - SCIE","3,031","2.7","Q3","0.58","22.61"%,
"BEHAVIOR GENETICS","BEHAV GENET","0001-8244","1573-3297","GENETICS & HEREDITY - SCIE","2,970","2.6","Q3","0.86","34.71"%,
"G3-Genes Genomes Genetics","G3-GENES GENOM GENET","2160-1836","2160-1836","GENETICS & HEREDITY - SCIE","9,551","2.6","Q3","0.72","93.49"%,
"CHROMOSOME RESEARCH","CHROMOSOME RES","0967-3849","1573-6849","GENETICS & HEREDITY - SCIE","2,248","2.6","Q3","0.64","22.78"%,
"PLASMID","PLASMID","0147-619X","1095-9890","GENETICS & HEREDITY - SCIE","1,847","2.6","Q3","0.6","19.7"%,
"Pharmacogenetics and Genomics","PHARMACOGENET GENOM","1744-6872","1744-6880","GENETICS & HEREDITY - SCIE","2,926","2.6","Q3","0.57","7.37"%,
"CURRENT GENOMICS","CURR GENOMICS","1389-2029","1875-5488","GENETICS & HEREDITY - SCIE","2,609","2.6","Q3","0.4","0"%,
"Lifestyle Genomics","LIFESTYLE GENOM","2504-3161","2504-3188","GENETICS & HEREDITY - SCIE","123","2.6","Q3","0.38","97.92"%,
"Cancer Genomics & Proteomics","CANCER GENOM PROTEOM","1109-6535","1790-6245","GENETICS & HEREDITY - SCIE","1,594","2.5","Q3","0.63","98.96"%,
"MAMMALIAN GENOME","MAMM GENOME","0938-8990","1432-1777","GENETICS & HEREDITY - SCIE","2,836","2.5","Q3","0.58","37.06"%,
"CURRENT GENETICS","CURR GENET","0172-8083","1432-0983","GENETICS & HEREDITY - SCIE","4,002","2.5","Q3","0.48","21.03"%,
"Epigenomes","EPIGENOMES","N/A","2075-4655","GENETICS & HEREDITY - ESCI","256","2.5","N/A","0.44","100"%,
"ANIMAL GENETICS","ANIM GENET","0268-9146","1365-2052","GENETICS & HEREDITY - SCIE","4,346","2.4","Q3","0.81","12.93"%,
"Tree Genetics & Genomes","TREE GENET GENOMES","1614-2942","1614-2950","GENETICS & HEREDITY - SCIE","3,096","2.4","Q3","0.75","12.43"%,
"JOURNAL OF APPLIED GENETICS","J APPL GENET","1234-1983","2190-3883","GENETICS & HEREDITY - SCIE","2,170","2.4","Q3","0.55","40.59"%,
"BIOCHEMICAL GENETICS","BIOCHEM GENET","0006-2928","1573-4927","GENETICS & HEREDITY - SCIE","1,813","2.4","Q3","0.48","5.98"%,
"MUTATION RESEARCH-FUNDAMENTAL AND MOLECULAR MECHANISMS OF MUTAGENESIS","MUTAT RES-FUND MOL M","0027-5107","1873-135X","GENETICS & HEREDITY - SCIE","5,937","2.3","Q3","0.49","6.58"%,
"BMC Ecology and Evolution","BMC ECOL EVOL","N/A","2730-7182","GENETICS & HEREDITY - SCIE","562","2.2","Q3","0.66","99.72"%,
"CONSERVATION GENETICS","CONSERV GENET","1566-0621","1572-9737","GENETICS & HEREDITY - SCIE","4,097","2.2","Q3","0.63","24.9"%,
"NEUROGENETICS","NEUROGENETICS","1364-6745","1364-6753","GENETICS & HEREDITY - SCIE","1,362","2.2","Q3","0.61","22.33"%,
"Epigenetics Insights","EPIGENETICS INSIGHTS","2516-8657","2516-8657","GENETICS & HEREDITY - ESCI","114","2.2","N/A","0.53","91.89"%,
"Familial Cancer","FAM CANCER","1389-9600","1573-7292","GENETICS & HEREDITY - SCIE","1,995","2.2","Q3","0.5","32.5"%,
"International Journal of Immunogenetics","INT J IMMUNOGENET","1744-3121","1744-313X","GENETICS & HEREDITY - SCIE","798","2.2","Q3","0.41","6.96"%,
"CARYOLOGIA","CARYOLOGIA","0008-7114","2165-5391","GENETICS & HEREDITY - SCIE","1,189","2.1","Q3","0.58","60.67"%,
"JOURNAL OF EVOLUTIONARY BIOLOGY","J EVOLUTION BIOL","1010-061X","1420-9101","GENETICS & HEREDITY - SCIE","9,931","2.1","Q3","0.58","29.83"%,
"GENETIC EPIDEMIOLOGY","GENET EPIDEMIOL","0741-0395","1098-2272","GENETICS & HEREDITY - SCIE","3,792","2.1","Q3","0.54","19.28"%,
"Current Genetic Medicine Reports","CURR GENET MED REP","N/A","2167-4876","GENETICS & HEREDITY - ESCI","289","2.1","N/A","0.49","37.5"%,
"Genes & Genomics","GENES GENOM","1976-9571","2092-9293","GENETICS & HEREDITY - SCIE","1,773","2.1","Q3","0.45","9.13"%,
"GENES TO CELLS","GENES CELLS","1356-9597","1365-2443","GENETICS & HEREDITY - SCIE","4,016","2.1","Q3","0.4","12.44"%,
"GENETICS AND MOLECULAR BIOLOGY","GENET MOL BIOL","1415-4757","1678-4685","GENETICS & HEREDITY - SCIE","3,386","2.1","Q3","0.38","97.05"%,
"AMERICAN JOURNAL OF MEDICAL GENETICS PART A","AM J MED GENET A","1552-4825","1552-4833","GENETICS & HEREDITY - SCIE","14,904","2","Q3","0.51","10.45"%,
"Molecular Genetics & Genomic Medicine","MOL GENET GENOM MED","2324-9269","2324-9269","GENETICS & HEREDITY - SCIE","3,636","2","Q3","0.49","73.03"%,
"Journal of Genetic Counseling","J GENET COUNS","1059-7700","1573-3599","GENETICS & HEREDITY - SCIE","3,183","1.9","Q4","0.62","10.42"%,
"MUTATION RESEARCH-GENETIC TOXICOLOGY AND ENVIRONMENTAL MUTAGENESIS","MUTAT RES-GEN TOX EN","1383-5718","1879-3592","GENETICS & HEREDITY - SCIE","5,779","1.9","Q4","0.62","13.68"%,
"Marine Genomics","MAR GENOM","1874-7787","1876-7478","GENETICS & HEREDITY - SCIE","1,278","1.9","Q4","0.54","9.09"%,
"BMC Genomic Data","BMC GENOMIC DATA","N/A","2730-6844","GENETICS & HEREDITY - SCIE","151","1.9","Q4","0.53","100"%,
"European Journal of Medical Genetics","EUR J MED GENET","1769-7212","1878-0849","GENETICS & HEREDITY - SCIE","3,575","1.9","Q4","0.53","11.15"%,
"Journal of Community Genetics","J COMMUN GENET","1868-310X","1868-6001","GENETICS & HEREDITY - ESCI","960","1.9","N/A","0.51","22.92"%,
"Molecular Genetics and Metabolism Reports","MOL GENET METAB REP","N/A","2214-4269","GENETICS & HEREDITY - SCIE","1,362","1.9","Q4","0.51","92.43"%,
"EVOLUTIONARY ECOLOGY","EVOL ECOL","0269-7653","1573-8477","GENETICS & HEREDITY - SCIE","3,567","1.9","Q4","0.47","24.21"%,
"ANNALS OF HUMAN GENETICS","ANN HUM GENET","0003-4800","1469-1809","GENETICS & HEREDITY - SCIE","1,800","1.9","Q4","0.44","13.11"%,
"JOURNAL OF NEUROGENETICS","J NEUROGENET","0167-7063","1563-5260","GENETICS & HEREDITY - SCIE","820","1.9","Q4","0.43","12.39"%,
"Cancer Genetics","CANCER GENET-NY","2210-7762","2210-7770","GENETICS & HEREDITY - SCIE","1,473","1.9","Q4","0.42","10.91"%,
"NEW GENETICS AND SOCIETY","NEW GENET SOC","1463-6778","1469-9915","GENETICS & HEREDITY - SCIE","434","1.8","Q4","0.75","47.76"%,
"HUMAN HEREDITY","HUM HERED","0001-5652","1423-0062","GENETICS & HEREDITY - SCIE","849","1.8","Q4","0.43","32.5"%,
"Public Health Genomics","PUBLIC HEALTH GENOM","1662-4246","1662-8063","GENETICS & HEREDITY - SCIE","851","1.7","Q4","0.49","46.51"%,
"Genes and Environment","GENES ENVIRON","1880-7046","1880-7062","GENETICS & HEREDITY - SCIE","445","1.7","Q4","0.44","99.08"%,
"Global Medical Genetics","GLOB MED GENET","2699-9404","2699-9404","GENETICS & HEREDITY - ESCI","110","1.7","N/A","0.34","98.91"%,
"CYTOGENETIC AND GENOME RESEARCH","CYTOGENET GENOME RES","1424-8581","1424-859X","GENETICS & HEREDITY - SCIE","2,888","1.7","Q4","0.3","7.28"%,
"CHROMOSOMA","CHROMOSOMA","0009-5915","1432-0886","GENETICS & HEREDITY - SCIE","3,284","1.6","Q4","0.5","40"%,
"VIRUS GENES","VIRUS GENES","0920-8569","1572-994X","GENETICS & HEREDITY - SCIE","2,958","1.6","Q4","0.42","12.2"%,
"Cellular Reprogramming","CELL REPROGRAM","2152-4971","2152-4998","GENETICS & HEREDITY - SCIE","796","1.6","Q4","0.4","5.21"%,
"CRITICAL REVIEWS IN EUKARYOTIC GENE EXPRESSION","CRIT REV EUKAR GENE","1045-4403","2162-6502","GENETICS & HEREDITY - SCIE","1,319","1.6","Q4","0.33","0.62"%,
"Human Genome Variation","HUM GENOME VAR","N/A","2054-345X","GENETICS & HEREDITY - ESCI","609","1.5","N/A","0.44","99.24"%,
"GENESIS","GENESIS","1526-954X","1526-968X","GENETICS & HEREDITY - SCIE","3,963","1.5","Q4","0.36","18.87"%,
"GENETICA","GENETICA","0016-6707","1573-6857","GENETICS & HEREDITY - SCIE","2,674","1.5","Q4","0.35","3.23"%,
"JOURNAL OF GENETICS","J GENET","0022-1333","0973-7731","GENETICS & HEREDITY - SCIE","2,352","1.5","Q4","0.32","0"%,
"Genetics Research","GENET RES","0016-6723","1469-5073","GENETICS & HEREDITY - SCIE","2,015","1.5","Q4","0.27","100"%,
"THEORETICAL POPULATION BIOLOGY","THEOR POPUL BIOL","0040-5809","1096-0325","GENETICS & HEREDITY - SCIE","3,709","1.4","Q4","0.35","22.5"%,
"Genetic Testing and Molecular Biomarkers","GENET TEST MOL BIOMA","1945-0265","1945-0257","GENETICS & HEREDITY - SCIE","1,862","1.4","Q4","0.33","3.42"%,
"Gene Reports","GENE REP","N/A","2452-0144","GENETICS & HEREDITY - ESCI","1,574","1.3","N/A","0.35","0.63"%,
"Molecular Cytogenetics","MOL CYTOGENET","N/A","1755-8166","GENETICS & HEREDITY - SCIE","1,024","1.3","Q4","0.35","100"%,
"Egyptian Journal of Medical Human Genetics","EGYPTIAN J MED HUMAN","1110-8630","2090-2441","GENETICS & HEREDITY - ESCI","635","1.3","N/A","0.26","100"%,
"OPHTHALMIC GENETICS","OPHTHALMIC GENET","1381-6810","1744-5094","GENETICS & HEREDITY - SCIE","1,525","1.2","Q4","0.37","10.05"%,
"GENE EXPRESSION PATTERNS","GENE EXPR PATTERNS","1567-133X","1872-7298","GENETICS & HEREDITY - SCIE","1,402","1.2","Q4","0.32","10"%,
"Conservation Genetics Resources","CONSERV GENET RESOUR","1877-7252","1877-7260","GENETICS & HEREDITY - SCIE","1,942","1.1","Q4","0.28","19.28"%,
"Molecular Syndromology","MOL SYNDROMOL","1661-8769","1661-8777","GENETICS & HEREDITY - SCIE","966","1.1","Q4","0.26","6.42"%,
"GENES & GENETIC SYSTEMS","GENES GENET SYST","1341-7568","1880-5779","GENETICS & HEREDITY - SCIE","950","1.1","Q4","0.23","100"%,
"Medizinische Genetik","MED GENET-BERLIN","0936-5931","1863-5490","GENETICS & HEREDITY - SCIE","192","1.1","Q4","0.15","84.81"%,
"Comparative Cytogenetics","COMP CYTOGENET","1993-0771","1993-078X","GENETICS & HEREDITY - SCIE","410","1","Q4","0.38","93.67"%,
"SILVAE GENETICA","SILVAE GENET","0037-5349","2509-8934","GENETICS & HEREDITY - SCIE","801","1","Q4","0.3","100"%,
