Journal Data Filtered By: Selected Categories: DQ Selected Editions: SCIE;SSCI;AHCI;ESCI Selected JCR Year: 2020 Selected Category Schema: WOS Selected Open Access: N Indicator:Custom,

Journal name,ISSN,eISSN,Category,Total Citations,2020 JIF,Eigenfactor
Circulation-Cardiovascular Imaging,1941-9651,1942-0080,"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","7,640",7.792,0.01551,
European Heart Journal-Cardiovascular Imaging,2047-2404,2047-2412,"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","8,423",6.875,0.02079,
TRENDS IN CARDIOVASCULAR MEDICINE,1050-1738,1873-2615,"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","3,542",6.677,0.00423,
European Heart Journal-Cardiovascular Pharmacotherapy,2055-6837,2055-6845,"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","919",6.617,0.00248,
Circulation-Arrhythmia and Electrophysiology,1941-3149,1941-3084,"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","8,834",6.568,0.01523,
Circulation-Cardiovascular Interventions,1941-7640,1941-7632,"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","6,530",6.546,0.01427,
EuroIntervention,1774-024X,1969-6213,"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","7,160",6.534,0.01497,
JACC-Clinical Electrophysiology,2405-500X,2405-5018,"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","2,801",6.375,0.00979,
HEART RHYTHM,1547-5271,1556-3871,"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","16,459",6.343,0.02574,
JACC: CardioOncology,2666-0873,2666-0873,"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","267",6.250,0.00023,
Circulation-Genomic and Precision Medicine,2574-8300,2574-8300,"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","858",6.054,0.00391,
Frontiers in Cardiovascular Medicine,2297-055X,2297-055X,"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","3,172",6.050,0.00763,
HEART,1355-6037,1468-201X,"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","22,182",5.994,0.02849,
JOURNAL OF NUCLEAR CARDIOLOGY,1071-3581,1532-6551,"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","5,882",5.952,0.00539,
Circulation-Cardiovascular Quality and Outcomes,1941-7705,1941-7713,"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","6,318",5.882,0.01326,
JOURNAL OF CARDIAC FAILURE,1071-9164,1532-8414,"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","6,604",5.712,0.00869,
Journal of the American Heart Association,2047-9980,2047-9980,"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","26,960",5.501,0.07570,
Clinical Research in Cardiology,1861-0684,1861-0692,"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","5,218",5.460,0.00794,
JOURNAL OF CARDIOVASCULAR MAGNETIC RESONANCE,1097-6647,1532-429X,"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","6,935",5.364,0.01046,
JOURNAL OF THE AMERICAN SOCIETY OF ECHOCARDIOGRAPHY,0894-7317,N/A,"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","14,150",5.251,0.01865,
CANADIAN JOURNAL OF CARDIOLOGY,0828-282X,1916-7075,"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","8,782",5.223,0.01509,
EUROPACE,1099-5129,1532-2092,"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","12,468",5.214,0.02185,
JOURNAL OF THORACIC AND CARDIOVASCULAR SURGERY,0022-5223,1097-685X,"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","33,066",5.209,0.02655,
CURRENT PROBLEMS IN CARDIOLOGY,0146-2806,1535-6280,"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","965",5.200,0.00101,
ATHEROSCLEROSIS,0021-9150,1879-1484,"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","27,929",5.162,0.02837,
JOURNAL OF MOLECULAR AND CELLULAR CARDIOLOGY,0022-2828,1095-8584,"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","17,399",5.000,0.01569,
REVISTA ESPANOLA DE CARDIOLOGIA,0300-8932,1579-2242,"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","4,507",4.753,0.00489,
AMERICAN HEART JOURNAL,0002-8703,1097-5330,"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","22,202",4.749,0.02350,
AMERICAN JOURNAL OF PHYSIOLOGY-HEART AND CIRCULATORY PHYSIOLOGY,0363-6135,1522-1539,"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","30,771",4.733,0.01697,
European Heart Journal-Acute Cardiovascular Care,2048-8726,2048-8734,"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","2,238",4.696,0.00484,
ESC Heart Failure,2055-5822,2055-5822,"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","2,303",4.411,0.00468,
European Heart Journal-Quality of Care and Clinical Outcomes,2058-5225,2058-1742,"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","777",4.370,0.00277,
ANNALS OF THORACIC SURGERY,0003-4975,1552-6259,"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","41,620",4.330,0.03510,
Journal of Cardiovascular Computed Tomography,1934-5925,1934-5925,"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","2,352",4.309,0.00461,
NUTRITION METABOLISM AND CARDIOVASCULAR DISEASES,0939-4753,1590-3729,"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","7,701",4.222,0.00719,
HEART FAILURE REVIEWS,1382-4147,1573-7322,"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","3,816",4.214,0.00496,
EUROPEAN JOURNAL OF CARDIO-THORACIC SURGERY,1010-7940,1873-734X,"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","18,818",4.191,0.02020,
INTERNATIONAL JOURNAL OF CARDIOLOGY,0167-5273,1874-1754,"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","37,692",4.164,0.05979,
Journal of Cardiovascular Translational Research,1937-5387,1937-5395,"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","2,109",4.132,0.00238,
Annals of Cardiothoracic Surgery,2225-319X,2304-1021,"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","2,434",4.101,0.00475,
Journal of Cardiovascular Development and Disease,N/A,2308-3425,"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","689",3.948,0.00177,
European Journal of Cardiovascular Nursing,1474-5151,1873-1953,"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","2,670",3.908,0.00326,
CARDIOVASCULAR DRUGS AND THERAPY,0920-3206,1573-7241,"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","2,744",3.727,0.00328,
American Journal of Cardiovascular Drugs,1175-3277,1179-187X,"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","1,523",3.571,0.00202,
Global Heart,2211-8160,2211-8179,"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","1,287",3.426,0.00272,
RESPIRATORY MEDICINE,0954-6111,1532-3064,"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","14,459",3.415,0.01352,
Journal of Geriatric Cardiology,1671-5411,N/A,"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","1,835",3.327,0.00372,
Korean Circulation Journal,1738-5520,1738-5555,"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","1,773",3.243,0.00263,
Cardiovascular Toxicology,1530-7905,1559-0259,"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","1,772",3.231,0.00169,
Heart Failure Clinics,1551-7136,N/A,"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","1,324",3.179,0.00175,
Journal of Cardiology,0914-5087,1876-4738,"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","4,161",3.159,0.00587,
Kardiologia Polska,0022-9032,1897-4279,"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","2,307",3.108,0.00261,
JOURNAL OF CARDIOVASCULAR PHARMACOLOGY,0160-2446,1533-4023,"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","6,305",3.105,0.00352,
Cardiovascular Therapeutics,1755-5914,1755-5922,"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","1,723",3.023,0.00171,
Pulmonary Circulation,2045-8932,2045-8940,"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","2,397",3.017,0.00390,
CIRCULATION JOURNAL,1346-9843,1347-4820,"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","11,622",2.993,0.01276,
Heart Lung and Circulation,1443-9506,1444-2892,"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","4,050",2.975,0.00730,
Current Cardiology Reports,1523-3782,1534-3170,"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","3,221",2.931,0.00626,
Reviews in Cardiovascular Medicine,1530-6550,2153-8174,"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","464",2.930,0.00051,
CLINICAL CARDIOLOGY,0160-9289,1932-8737,"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","5,571",2.882,0.00761,
Cardiovascular Diagnosis and Therapy,2223-3652,2223-3660,"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","1,785",2.845,0.00397,
AMERICAN JOURNAL OF CARDIOLOGY,0002-9149,1879-1913,"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","40,641",2.778,0.03330,
CARDIOVASCULAR AND INTERVENTIONAL RADIOLOGY,0174-1551,1432-086X,"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","7,145",2.740,0.00757,
Cardiology Journal,1897-5593,1898-018X,"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","1,603",2.737,0.00184,
CATHETERIZATION AND CARDIOVASCULAR INTERVENTIONS,1522-1946,1522-726X,"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","11,415",2.692,0.01466,
Acta Cardiologica Sinica,1011-6842,N/A,"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","836",2.672,0.00109,
Cardiology in Review,1061-5377,1538-4683,"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","1,384",2.644,0.00168,
JOURNAL OF CARDIOTHORACIC AND VASCULAR ANESTHESIA,1053-0770,1532-8422,"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","7,080",2.628,0.00838,
Cardiovascular Engineering and Technology,1869-408X,1869-4098,"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","783",2.495,0.00132,
JOURNAL OF CARDIOVASCULAR PHARMACOLOGY AND THERAPEUTICS,1074-2484,1940-4034,"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","1,644",2.457,0.00203,
Netherlands Heart Journal,1568-5888,1876-6250,"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","1,745",2.380,0.00204,
INTERNATIONAL JOURNAL OF CARDIOVASCULAR IMAGING,1569-5794,1573-0743,"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","4,056",2.357,0.00670,
Archives of Cardiovascular Diseases,1875-2136,1875-2128,"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","2,077",2.340,0.00324,
JOURNAL OF THROMBOSIS AND THROMBOLYSIS,0929-5305,1573-742X,"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","4,446",2.300,0.00588,
BMC Cardiovascular Disorders,1471-2261,1471-2261,"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","5,150",2.298,0.00904,
JOURNAL OF INTERVENTIONAL CARDIOLOGY,0896-4327,1540-8183,"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","1,653",2.279,0.00245,
Annals of Thoracic Medicine,1817-1737,1998-3557,"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","1,050",2.219,0.00129,
CARDIOLOGY CLINICS,0733-8651,1558-2264,"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","1,478",2.213,0.00194,
HEART & LUNG,0147-9563,1527-3288,"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","3,080",2.210,0.00289,
CARDIOVASCULAR PATHOLOGY,1054-8807,1879-1336,"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","2,501",2.185,0.00206,
CURRENT OPINION IN CARDIOLOGY,0268-4705,1531-7080,"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","2,496",2.161,0.00360,
Journal of Cardiovascular Medicine,1558-2027,1558-2035,"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","2,073",2.160,0.00270,
Journal of Cardiovascular Nursing,0889-4655,1550-5049,"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","2,462",2.083,0.00251,
Journal of Cardiopulmonary Rehabilitation and Prevention,1932-7501,1932-751X,"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","2,097",2.081,0.00204,
Cardiovascular Ultrasound,N/A,1476-7120,"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","1,327",2.062,0.00123,
CardioRenal Medicine,1664-3828,1664-5502,"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","652",2.041,0.00093,
HEART AND VESSELS,0910-8327,1615-2573,"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","2,953",2.037,0.00424,
JOURNAL OF INVASIVE CARDIOLOGY,1042-3931,1557-2501,"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","2,124",2.022,0.00227,
Congenital Heart Disease,1747-079X,1747-0803,"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","2,153",2.007,0.00458,
Seminars in Thoracic and Cardiovascular Surgery,1043-0679,1532-9488,"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","1,828",2.006,0.00272,
Arquivos Brasileiros de Cardiologia,0066-782X,N/A,"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","3,975",2.000,0.00317,
PACE-PACING AND CLINICAL ELECTROPHYSIOLOGY,0147-8389,1540-8159,"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","6,080",1.976,0.00517,
PERFUSION-UK,0267-6591,1477-111X,"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","1,949",1.972,0.00250,
Interactive Cardiovascular and Thoracic Surgery,1569-9293,1569-9285,"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","6,701",1.905,0.00839,
JOURNAL OF INTERVENTIONAL CARDIAC ELECTROPHYSIOLOGY,1383-875X,1572-8595,"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","2,285",1.900,0.00298,
JOURNAL OF CARDIOVASCULAR SURGERY,0021-9509,1827-191X,"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","2,091",1.888,0.00201,
CARDIOLOGY,0008-6312,1421-9751,"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","2,852",1.869,0.00248,
Cardiology Research and Practice,2090-8016,2090-0597,"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","1,119",1.866,0.00084,
International Heart Journal,1349-2365,1349-3299,"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","2,247",1.862,0.00351,
THORACIC AND CARDIOVASCULAR SURGEON,0171-6425,1439-1902,"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","2,225",1.827,0.00219,
EUROPEAN HEART JOURNAL SUPPLEMENTS,1520-765X,1554-2815,"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","874",1.803,0.00134,
ECHOCARDIOGRAPHY-A JOURNAL OF CARDIOVASCULAR ULTRASOUND AND ALLIED TECHNIQUES,0742-2822,1540-8175,"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","4,061",1.724,0.00552,
ACTA CARDIOLOGICA,0001-5385,1784-973X,"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","1,229",1.718,0.00105,
PEDIATRIC CARDIOLOGY,0172-0643,1432-1971,"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","5,507",1.655,0.00660,
Journal of Cardiothoracic Surgery,N/A,1749-8090,"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","2,757",1.637,0.00363,
JOURNAL OF CARDIAC SURGERY,0886-0440,1540-8191,"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","3,035",1.620,0.00296,
Anatolian Journal of Cardiology,2149-2263,2149-2271,"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","1,635",1.596,0.00213,
SCANDINAVIAN CARDIOVASCULAR JOURNAL,1401-7431,1651-2006,"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","1,030",1.589,0.00134,
Annals of Thoracic and Cardiovascular Surgery,1341-1098,2186-1005,"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","1,322",1.520,0.00112,
General Thoracic and Cardiovascular Surgery,1863-6705,1863-6713,"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","1,831",1.517,0.00249,
ANNALS OF NONINVASIVE ELECTROCARDIOLOGY,1082-720X,1542-474X,"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","1,666",1.468,0.00146,
TEXAS HEART INSTITUTE JOURNAL,0730-2347,1526-6702,"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","2,217",1.455,0.00123,
HERZ,0340-9937,1615-6692,"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","1,529",1.443,0.00157,
CORONARY ARTERY DISEASE,0954-6928,1473-5830,"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","1,943",1.439,0.00180,
JOURNAL OF ELECTROCARDIOLOGY,0022-0736,1532-8430,"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","3,308",1.438,0.00363,
Postepy w Kardiologii Interwencyjnej,1734-9338,1897-4295,"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","403",1.426,0.00063,
Revista Portuguesa de Cardiologia,0870-2551,0304-4750,"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","1,022",1.374,0.00090,
MINERVA CARDIOANGIOLOGICA,0026-4725,1827-1618,"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","593",1.347,0.00061,
Brazilian Journal of Cardiovascular Surgery,0102-7638,1678-9741,"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","1,136",1.312,0.00124,
Cardiovascular Journal of Africa,1995-1892,1680-0745,"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","1,331",1.167,0.00216,
CARDIOLOGY IN THE YOUNG,1047-9511,1467-1107,"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","3,295",1.093,0.00509,
HEART SURGERY FORUM,1098-3511,1522-6662,"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","696",0.676,0.00070,
KARDIOLOGIYA,0022-9040,N/A,"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","585",0.395,0.00037,
Iranian Heart Journal,1735-7306,1735-7306,"CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI","32",n/a,0.00003,
Journal of Arrhythmia,1880-4276,1883-2148,"CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI","879",n/a,0.00179,
Cardiology and Therapy,2193-8261,2193-6544,"CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI","337",n/a,0.00070,
Egyptian Heart Journal,1110-2608,2090-911X,"CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI","257",n/a,0.00044,
Insuficiencia Cardiaca,1850-1044,1852-3862,"CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI","29",n/a,0.00002,
Journal fur Hypertonie,1028-2327,1680-9378,"CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI","6",n/a,0.00000,
Nepalese Heart Journal,2091-2978,2091-2978,"CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI","44",n/a,0.00005,
Pakistan Heart Journal,0048-2706,2227-9199,"CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI","59",n/a,0.00006,
IJC Heart & Vasculature,N/A,2352-9067,"CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI","984",n/a,0.00217,
Journal fur Kardiologie,1024-0098,1680-936X,"CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI","53",n/a,0.00001,
CURRENT CARDIOLOGY REVIEWS,1573-403X,1875-6557,"CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI","1,607",n/a,0.00157,
Case Reports in Cardiology,2090-6404,2090-6412,"CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI","488",n/a,0.00095,
Echo Research and Practice,2055-0464,2055-0464,"CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI","382",n/a,0.00101,
European Cardiology Review,1758-3756,1758-3756,"CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI","433",n/a,0.00085,
JRSM Cardiovascular Disease,N/A,2048-0040,"CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI","325",n/a,0.00060,
Journal of Echocardiography,1349-0222,1880-344X,"CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI","241",n/a,0.00052,
World Journal of Cardiology,1949-8462,1949-8462,"CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI","1,775",n/a,0.00257,
Annals of Pediatric Cardiology,0974-2069,0974-5149,"CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI","630",n/a,0.00076,
Giornale Italiano di Cardiologia,1827-6806,1972-6481,"CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI","553",n/a,0.00040,
Current Cardiovascular Risk Reports,1932-9520,1932-9563,"CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI","482",n/a,0.00078,
Journal of Cardiovascular Echography,2211-4122,2347-193X,"CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI","159",n/a,0.00027,
Open Cardiovascular Medicine Journal,N/A,1874-1924,"CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI","374",n/a,0.00028,
Arrhythmia & Electrophysiology Review,2050-3369,2050-3377,"CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI","605",n/a,0.00148,
Clinical Medicine Insights-Cardiology,1179-5468,1179-5468,"CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI","541",n/a,0.00075,
Journal of Cardiovascular Emergencies,2457-5518,2457-550X,"CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI","40",n/a,0.00005,
Journal of the Saudi Heart Association,1016-7315,2212-5043,"CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI","428",n/a,0.00066,
Rational Pharmacotherapy in Cardiology,1819-6446,2225-3653,"CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI","216",n/a,0.00013,
Research Reports in Clinical Cardiology,1179-8475,1179-8475,"CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI","60",n/a,0.00007,
Expert Review  of Cardiovascular Therapy,1477-9072,1744-8344,"CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI","2,385",n/a,0.00318,
Cardiovascular Endocrinology & Metabolism,2574-0954,2574-0954,"CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI","102",n/a,0.00022,
Cardiovascular Revascularization Medicine,1553-8389,1878-0938,"CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI","1,696",n/a,0.00290,
American Journal of Cardiovascular Disease,2160-200X,2160-200X,"CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI","474",n/a,0.00034,
Cardiovascular Innovations and Applications,2009-8618,2009-8782,"CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI","35",n/a,0.00007,
Cardiovascular Intervention and Therapeutics,1868-4300,1868-4297,"CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI","666",n/a,0.00094,
International Cardiovascular Research Journal,2251-9130,2251-9149,"CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI","126",n/a,0.00006,
Therapeutic Advances in Cardiovascular Disease,1753-9447,1753-9455,"CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI","238",n/a,0.00057,
Archives of Cardiovascular Diseases Supplements,1878-6480,1878-6502,"CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI","10",n/a,0.00001,
Journal Of Cardiovascular and Thoracic Research,2008-5117,2008-6830,"CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI","486",n/a,0.00070,
Zeitschrift fur Herz Thorax und Gefasschirurgie,0930-9225,1435-1277,"CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI","35",n/a,0.00004,
Revista de la Federacion Argentina de Cardiologia,0326-646X,1666-5694,"CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI","36",n/a,0.00002,
