Journal name,JCR Abbreviation,ISSN,eISSN,Category,2022 JIF,2022 JCI,5 Year JIF,JIF Rank,JCI Rank
"ENDOCRINE PATHOLOGY","ENDOCR PATHOL","1046-3976","1559-0097","ENDOCRINOLOGY & METABOLISM - SCIE","4.4","1.23","3.8"," 45/145 "," 33/182 ",
"Reproductive Biology and Endocrinology","REPROD BIOL ENDOCRIN","N/A","1477-7827","ENDOCRINOLOGY & METABOLISM - SCIE","4.4","1.07","5.3"," 45/145 "," 39/182 ",
"CURRENT OPINION IN LIPIDOLOGY","CURR OPIN LIPIDOL","0957-9672","1473-6535","ENDOCRINOLOGY & METABOLISM - SCIE","4.4","0.55","4.3"," 45/145 "," 123/182 ",
"Journal of Diabetes Research","J DIABETES RES","2314-6745","2314-6753","ENDOCRINOLOGY & METABOLISM - SCIE","4.3","0.76","4.7"," 48/145 "," 80/182 ",
"Obesity Research & Clinical Practice","OBES RES CLIN PRACT","1871-403X","1878-0318","ENDOCRINOLOGY & METABOLISM - SCIE","4.3","0.75","3.3"," 48/145 "," 82/182 ",
"Current Osteoporosis Reports","CURR OSTEOPOROS REP","1544-1873","1544-2241","ENDOCRINOLOGY & METABOLISM - SCIE","4.3","0.6","5.7"," 48/145 "," 112/182 ",
"JOURNAL OF INHERITED METABOLIC DISEASE","J INHERIT METAB DIS","0141-8955","1573-2665","ENDOCRINOLOGY & METABOLISM - SCIE","4.2","1.03","4.6"," 51/145 "," 43/182 ",
"Endocrine Practice","ENDOCR PRACT","1530-891X","1934-2403","ENDOCRINOLOGY & METABOLISM - SCIE","4.2","0.88","3.8"," 51/145 "," 64/182 ",
"CALCIFIED TISSUE INTERNATIONAL","CALCIFIED TISSUE INT","0171-967X","1432-0827","ENDOCRINOLOGY & METABOLISM - SCIE","4.2","0.81","4.1"," 51/145 "," 73/182 ",
"World Journal of Diabetes","WORLD J DIABETES","N/A","1948-9358","ENDOCRINOLOGY & METABOLISM - SCIE","4.2","0.69","4.5"," 51/145 "," 94/182 ",
"Current Diabetes Reports","CURR DIABETES REP","1534-4827","1539-0829","ENDOCRINOLOGY & METABOLISM - SCIE","4.2","0.59","5.7"," 51/145 "," 115/182 ",
"NEUROENDOCRINOLOGY","NEUROENDOCRINOLOGY","0028-3835","1423-0194","ENDOCRINOLOGY & METABOLISM - SCIE","4.1","1.13","5"," 56/145 "," 36/182 ",
"BONE","BONE","8756-3282","1873-2763","ENDOCRINOLOGY & METABOLISM - SCIE","4.1","1","4.5"," 56/145 "," 47/182 ",
"BMJ Open Diabetes Research & Care","BMJ OPEN DIAB RES CA","N/A","2052-4897","ENDOCRINOLOGY & METABOLISM - SCIE","4.1","0.9","4.2"," 56/145 "," 59/182 ",
"JOURNAL OF STEROID BIOCHEMISTRY AND MOLECULAR BIOLOGY","J STEROID BIOCHEM","0960-0760","1879-1220","ENDOCRINOLOGY & METABOLISM - SCIE","4.1","0.82","4.2"," 56/145 "," 72/182 ",
"MOLECULAR AND CELLULAR ENDOCRINOLOGY","MOL CELL ENDOCRINOL","0303-7207","1872-8057","ENDOCRINOLOGY & METABOLISM - SCIE","4.1","0.74","4.1"," 56/145 "," 84/182 ",
"Minerva Endocrinology","MINERVA ENDOCRINOL","2724-6507","2724-6116","ENDOCRINOLOGY & METABOLISM - SCIE","4.1","0.45","2.8"," 56/145 "," 138/182 ",
"OSTEOPOROSIS INTERNATIONAL","OSTEOPOROSIS INT","0937-941X","1433-2965","ENDOCRINOLOGY & METABOLISM - SCIE","4","0.93","4.6"," 62/145 "," 54/182 ",
"JOURNAL OF ENDOCRINOLOGY","J ENDOCRINOL","0022-0795","1479-6805","ENDOCRINOLOGY & METABOLISM - SCIE","4","0.86","5"," 62/145 "," 69/182 ",
"COMPARATIVE BIOCHEMISTRY AND PHYSIOLOGY C-TOXICOLOGY & PHARMACOLOGY","COMP BIOCHEM PHYS C","1532-0456","1878-1659","ENDOCRINOLOGY & METABOLISM - SCIE","3.9","1.25","3.8"," 64/145 "," 32/182 ",
"NUTRITION METABOLISM AND CARDIOVASCULAR DISEASES","NUTR METAB CARDIOVAS","0939-4753","1590-3729","ENDOCRINOLOGY & METABOLISM - SCIE","3.9","0.91","4.2"," 64/145 "," 58/182 ",
"ENDOCRINE-RELATED CANCER","ENDOCR-RELAT CANCER","1351-0088","1479-6821","ENDOCRINOLOGY & METABOLISM - SCIE","3.9","0.87","5.1"," 64/145 "," 65/182 ",
"ANNALS OF NUTRITION AND METABOLISM","ANN NUTR METAB","0250-6807","1421-9697","ENDOCRINOLOGY & METABOLISM - SCIE","3.9","0.81","5.2"," 64/145 "," 73/182 ",
"BIOLOGICAL TRACE ELEMENT RESEARCH","BIOL TRACE ELEM RES","0163-4984","1559-0720","ENDOCRINOLOGY & METABOLISM - SCIE","3.9","0.78","3.8"," 64/145 "," 75/182 ",
"DIABETES EDUCATOR","DIABETES EDUCATOR","0145-7217","1554-6063","ENDOCRINOLOGY & METABOLISM - SCIE","3.9","0.65","3.2"," 64/145 "," 103/182 ",
"ACTA DIABETOLOGICA","ACTA DIABETOL","0940-5429","1432-5233","ENDOCRINOLOGY & METABOLISM - SCIE","3.8","0.87","3.8"," 70/145 "," 65/182 ",
"Pituitary","PITUITARY","1386-341X","1573-7403","ENDOCRINOLOGY & METABOLISM - SCIE","3.8","0.77","4.1"," 70/145 "," 78/182 ",
"MOLECULAR GENETICS AND METABOLISM","MOL GENET METAB","1096-7192","1096-7206","ENDOCRINOLOGY & METABOLISM - SCIE","3.8","0.74","4.2"," 70/145 "," 84/182 ",
"Diabetes Therapy","DIABETES THER","1869-6953","1869-6961","ENDOCRINOLOGY & METABOLISM - SCIE","3.8","0.69","3.4"," 70/145 "," 94/182 ",
"Therapeutic Advances in Endocrinology and Metabolism","THER ADV ENDOCRINOL","2042-0188","2042-0196","ENDOCRINOLOGY & METABOLISM - SCIE","3.8","0.64","4.1"," 70/145 "," 107/182 ",
"PSYCHONEUROENDOCRINOLOGY","PSYCHONEUROENDOCRINO","0306-4530","1873-3360","ENDOCRINOLOGY & METABOLISM - SCIE","3.7","0.98","4.6"," 75/145 "," 48/182 ",
"ENDOCRINE","ENDOCRINE","1355-008X","1559-0100","ENDOCRINOLOGY & METABOLISM - SCIE","3.7","0.76","3.8"," 75/145 "," 80/182 ",
"Metabolomics","METABOLOMICS","1573-3882","1573-3890","ENDOCRINOLOGY & METABOLISM - SCIE","3.6","0.89","4.2"," 77/145 "," 62/182 ",
"Obesity Facts","OBESITY FACTS","1662-4025","1662-4033","ENDOCRINOLOGY & METABOLISM - SCIE","3.6","0.85","5.2"," 77/145 "," 70/182 ",
"METABOLIC BRAIN DISEASE","METAB BRAIN DIS","0885-7490","1573-7365","ENDOCRINOLOGY & METABOLISM - SCIE","3.6","0.77","3.5"," 77/145 "," 78/182 ",
"Hormones and Behavior","HORM BEHAV","0018-506X","1095-6867","ENDOCRINOLOGY & METABOLISM - SCIE","3.5","0.9","3.6"," 80/145 "," 59/182 ",
"JOURNAL OF MOLECULAR ENDOCRINOLOGY","J MOL ENDOCRINOL","0952-5041","1479-6813","ENDOCRINOLOGY & METABOLISM - SCIE","3.5","0.75","5.1"," 80/145 "," 82/182 ",
"JOURNAL OF TRACE ELEMENTS IN MEDICINE AND BIOLOGY","J TRACE ELEM MED BIO","0946-672X","1878-3252","ENDOCRINOLOGY & METABOLISM - SCIE","3.5","0.74","3.6"," 80/145 "," 84/182 ",
"DIABETIC MEDICINE","DIABETIC MED","0742-3071","1464-5491","ENDOCRINOLOGY & METABOLISM - SCIE","3.5","0.71","3.9"," 80/145 "," 90/182 ",
"PEDIATRIC DIABETES","PEDIATR DIABETES","1399-543X","1399-5448","ENDOCRINOLOGY & METABOLISM - SCIE","3.4","1.01","4.3"," 84/145 "," 45/182 ",
"Endocrinology and Metabolism","ENDOCRINOL METAB","2093-596X","2093-5978","ENDOCRINOLOGY & METABOLISM - SCIE","3.4","0.66","3.8"," 84/145 "," 101/182 ",
"Adipocyte","ADIPOCYTE","2162-3945","2162-397X","ENDOCRINOLOGY & METABOLISM - SCIE","3.3","0.73","4"," 86/145 "," 87/182 ",
"Diabetes Metabolic Syndrome and Obesity-Target & Therapy","DIABET METAB SYND OB","1178-7007","1178-7007","ENDOCRINOLOGY & METABOLISM - SCIE","3.3","0.69","3.6"," 86/145 "," 94/182 ",
"JOURNAL OF BONE AND MINERAL METABOLISM","J BONE MINER METAB","0914-8779","1435-5604","ENDOCRINOLOGY & METABOLISM - SCIE","3.3","0.65","2.9"," 86/145 "," 103/182 ",
"Hormone Research in Paediatrics","HORM RES PAEDIAT","1663-2818","1663-2826","ENDOCRINOLOGY & METABOLISM - SCIE","3.2","0.87","3.4"," 89/145 "," 65/182 ",
"Journal of Diabetes Investigation","J DIABETES INVEST","2040-1116","2040-1124","ENDOCRINOLOGY & METABOLISM - SCIE","3.2","0.72","3.7"," 89/145 "," 89/182 ",
"JOURNAL OF NEUROENDOCRINOLOGY","J NEUROENDOCRINOL","0953-8194","1365-2826","ENDOCRINOLOGY & METABOLISM - SCIE","3.2","0.69","3.2"," 89/145 "," 94/182 ",
"CLINICAL ENDOCRINOLOGY","CLIN ENDOCRINOL","0300-0664","1365-2265","ENDOCRINOLOGY & METABOLISM - SCIE","3.2","0.66","3.6"," 89/145 "," 101/182 ",
"Hormones-International Journal of Endocrinology and Metabolism","HORM-INT J ENDOCRINO","1109-3099","2520-8721","ENDOCRINOLOGY & METABOLISM - SCIE","3.2","0.45","3.3"," 89/145 "," 138/182 ",
"MAGNESIUM RESEARCH","MAGNESIUM RES","0953-1424","1952-4021","ENDOCRINOLOGY & METABOLISM - SCIE","3.2","0.45","2.1"," 89/145 "," 138/182 ",
"Current Opinion in Endocrinology Diabetes and Obesity","CURR OPIN ENDOCRINOL","1752-296X","1752-2978","ENDOCRINOLOGY & METABOLISM - SCIE","3.2","0.44","4.1"," 89/145 "," 144/182 ",
"JOURNAL OF BIOLOGICAL REGULATORS AND HOMEOSTATIC AGENTS","J BIOL REG HOMEOS AG","0393-974X","1724-6083","ENDOCRINOLOGY & METABOLISM - SCIE","3.2","0.24","2.2"," 89/145 "," 158/182 ",
"ANNALES D ENDOCRINOLOGIE","ANN ENDOCRINOL-PARIS","0003-4266","2213-3941","ENDOCRINOLOGY & METABOLISM - SCIE","3.1","0.55","2.6"," 97/145 "," 123/182 ",
"CURRENT OPINION IN CLINICAL NUTRITION AND METABOLIC CARE","CURR OPIN CLIN NUTR","1363-1950","1473-6519","ENDOCRINOLOGY & METABOLISM - SCIE","3.1","0.46","4.4"," 97/145 "," 136/182 ",
"Archives of Osteoporosis","ARCH OSTEOPOROS","1862-3522","1862-3514","ENDOCRINOLOGY & METABOLISM - SCIE","3","0.93","3"," 99/145 "," 54/182 ",
"JOURNAL OF DIABETES AND ITS COMPLICATIONS","J DIABETES COMPLICAT","1056-8727","1873-460X","ENDOCRINOLOGY & METABOLISM - SCIE","3","0.7","3.1"," 99/145 "," 91/182 ",
"PEPTIDES","PEPTIDES","0196-9781","1873-5169","ENDOCRINOLOGY & METABOLISM - SCIE","3","0.69","3.1"," 99/145 "," 94/182 ",
"Hormones & Cancer","HORM CANCER-US","1868-8497","1868-8500","ENDOCRINOLOGY & METABOLISM - SCIE","3","0.67","3.2"," 99/145 "," 99/182 ",
"ARCHIVES OF PHYSIOLOGY AND BIOCHEMISTRY","ARCH PHYSIOL BIOCHEM","1381-3455","1744-4160","ENDOCRINOLOGY & METABOLISM - SCIE","3","0.65","2.9"," 99/145 "," 103/182 ",
"PROSTAGLANDINS LEUKOTRIENES AND ESSENTIAL FATTY ACIDS","PROSTAG LEUKOTR ESS","0952-3278","1532-2823","ENDOCRINOLOGY & METABOLISM - SCIE","3","0.55","3.3"," 99/145 "," 123/182 ",
"Primary Care Diabetes","PRIM CARE DIABETES","1751-9918","1878-0210","ENDOCRINOLOGY & METABOLISM - SCIE","2.9","0.96","2.6"," 105/145 "," 51/182 ",
"Neuropeptides","NEUROPEPTIDES","0143-4179","1532-2785","ENDOCRINOLOGY & METABOLISM - SCIE","2.9","0.64","2.8"," 105/145 "," 107/182 ",
"Endocrine Connections","ENDOCR CONNECT","N/A","2049-3614","ENDOCRINOLOGY & METABOLISM - SCIE","2.9","0.63","3.2"," 105/145 "," 109/182 ",
"PROSTATE","PROSTATE","0270-4137","1097-0045","ENDOCRINOLOGY & METABOLISM - SCIE","2.8","0.95","3.2"," 108/145 "," 52/182 ",
"International Journal of Endocrinology","INT J ENDOCRINOL","1687-8337","1687-8345","ENDOCRINOLOGY & METABOLISM - SCIE","2.8","0.54","3"," 108/145 "," 129/182 ",
"GENERAL AND COMPARATIVE ENDOCRINOLOGY","GEN COMP ENDOCR","0016-6480","1095-6840","ENDOCRINOLOGY & METABOLISM - SCIE","2.7","1.1","2.6"," 110/145 "," 37/182 ",
"BMC Endocrine Disorders","BMC ENDOCR DISORD","N/A","1472-6823","ENDOCRINOLOGY & METABOLISM - SCIE","2.7","0.65","3.2"," 110/145 "," 103/182 ",
"STEROIDS","STEROIDS","0039-128X","1878-5867","ENDOCRINOLOGY & METABOLISM - SCIE","2.7","0.53","2.6"," 110/145 "," 130/182 ",
"Aging Male","AGING MALE","1368-5538","1473-0790","ENDOCRINOLOGY & METABOLISM - SCIE","2.6","0.73","2.7"," 113/145 "," 87/182 ",
"JOURNAL OF CLINICAL DENSITOMETRY","J CLIN DENSITOM","1094-6950","1559-0747","ENDOCRINOLOGY & METABOLISM - SCIE","2.5","0.67","3"," 114/145 "," 99/182 ",
"Canadian Journal of Diabetes","CAN J DIABETES","1499-2671","2352-3840","ENDOCRINOLOGY & METABOLISM - SCIE","2.5","0.6","3.4"," 114/145 "," 112/182 ",
"JOURNAL OF MAMMARY GLAND BIOLOGY AND NEOPLASIA","J MAMMARY GLAND BIOL","1083-3021","1573-7039","ENDOCRINOLOGY & METABOLISM - SCIE","2.5","0.57","2.8"," 114/145 "," 117/182 ",
"Diabetes & Vascular Disease Research","DIABETES VASC DIS RE","1479-1641","1752-8984","ENDOCRINOLOGY & METABOLISM - SCIE","2.4","0.6","3.1"," 117/145 "," 112/182 ",
"NEUROIMMUNOMODULATION","NEUROIMMUNOMODULAT","1021-7401","1423-0216","ENDOCRINOLOGY & METABOLISM - SCIE","2.4","0.46","2.7"," 117/145 "," 136/182 ",
"STRESS-THE INTERNATIONAL JOURNAL ON THE BIOLOGY OF STRESS","STRESS","1025-3890","1607-8888","ENDOCRINOLOGY & METABOLISM - SCIE","2.3","0.63","3.2"," 119/145 "," 109/182 ",
"HORMONE AND METABOLIC RESEARCH","HORM METAB RES","0018-5043","1439-4286","ENDOCRINOLOGY & METABOLISM - SCIE","2.2","0.49","2.7"," 120/145 "," 132/182 ",
"Discover Oncology","DISCOV ONCOL","1868-8497","2730-6011","ENDOCRINOLOGY & METABOLISM - SCIE","2.2","0.44","2.2"," 120/145 "," 144/182 ",
"Islets","ISLETS","1938-2014","1938-2022","ENDOCRINOLOGY & METABOLISM - SCIE","2.2","0.42","2.6"," 120/145 "," 146/182 ",
"DOMESTIC ANIMAL ENDOCRINOLOGY","DOMEST ANIM ENDOCRIN","0739-7240","1879-0054","ENDOCRINOLOGY & METABOLISM - SCIE","2.1","0.87","2"," 123/145 "," 65/182 ",
"ENDOCRINE RESEARCH","ENDOCR RES","0743-5800","1532-4206","ENDOCRINOLOGY & METABOLISM - SCIE","2.1","0.5","1.9"," 123/145 "," 131/182 ",
"Endokrynologia Polska","ENDOKRYNOL POL","0423-104X","N/A","ENDOCRINOLOGY & METABOLISM - SCIE","2.1","0.38","1.8"," 123/145 "," 149/182 ",
"GYNECOLOGICAL ENDOCRINOLOGY","GYNECOL ENDOCRINOL","0951-3590","1473-0766","ENDOCRINOLOGY & METABOLISM - SCIE","2","0.57","2.1"," 126/145 "," 117/182 ",
"ENDOCRINE JOURNAL","ENDOCR J","0918-8959","1348-4540","ENDOCRINOLOGY & METABOLISM - SCIE","2","0.55","2.3"," 126/145 "," 123/182 ",
"Journal of Clinical Research in Pediatric Endocrinology","J CLIN RES PEDIATR E","1308-5727","1308-5735","ENDOCRINOLOGY & METABOLISM - SCIE","1.9","0.58","2.3"," 128/145 "," 116/182 ",
"Science of Diabetes Self-Management and Care","SCI DIABETES SELF-MA","2635-0106","2635-0114","ENDOCRINOLOGY & METABOLISM - SCIE","1.9","0.55","1.9"," 128/145 "," 123/182 ",
"Endocrine Metabolic & Immune Disorders-Drug Targets","ENDOCR METAB IMMUNE","1871-5303","2212-3873","ENDOCRINOLOGY & METABOLISM - SCIE","1.9","0.41","2"," 128/145 "," 148/182 ",
"Endocrinologia Diabetes y Nutricion","ENDOCRINOL DIAB NUTR","2530-0180","2530-0180","ENDOCRINOLOGY & METABOLISM - SCIE","1.9","0.33","1.8"," 128/145 "," 153/182 ",
"EXPERIMENTAL AND CLINICAL ENDOCRINOLOGY & DIABETES","EXP CLIN ENDOCR DIAB","0947-7349","1439-3646","ENDOCRINOLOGY & METABOLISM - SCIE","1.8","0.56","2.2"," 132/145 "," 121/182 ",
"GROWTH FACTORS","GROWTH FACTORS","0897-7194","1029-2292","ENDOCRINOLOGY & METABOLISM - SCIE","1.8","0.25","2.4"," 132/145 "," 157/182 ",
"Archives of Endocrinology Metabolism","ARCH ENDOCRIN METAB","2359-3997","2359-4292","ENDOCRINOLOGY & METABOLISM - SCIE","1.7","0.37","2.1"," 134/145 "," 150/182 ",
"JOURNAL OF PEDIATRIC ENDOCRINOLOGY & METABOLISM","J PEDIATR ENDOCR MET","0334-018X","2191-0251","ENDOCRINOLOGY & METABOLISM - SCIE","1.4","0.45","1.5"," 135/145 "," 138/182 ",
"GROWTH HORMONE & IGF RESEARCH","GROWTH HORM IGF RES","1096-6374","1532-2238","ENDOCRINOLOGY & METABOLISM - SCIE","1.4","0.3","1.8"," 135/145 "," 155/182 ",
"Acta Endocrinologica-Bucharest","ACTA ENDOCRINOL-BUCH","1841-0987","1843-066X","ENDOCRINOLOGY & METABOLISM - SCIE","1","0.21","1.2"," 137/145 "," 160/182 ",
"International Journal of Diabetes in Developing Countries","INT J DIABETES DEV C","0973-3930","1998-3832","ENDOCRINOLOGY & METABOLISM - SCIE","0.9","0.18","0.8"," 138/145 "," 163/182 ",
"Diabetologie und Stoffwechsel","DIABETOL STOFFWECHS","1861-9002","1861-9010","ENDOCRINOLOGY & METABOLISM - SCIE","0.7","0.19","0.6"," 139/145 "," 162/182 ",
"NEUROENDOCRINOLOGY LETTERS","NEUROENDOCRINOL LETT","0172-780X","2354-4716","ENDOCRINOLOGY & METABOLISM - SCIE","0.7","0.13","0.9"," 139/145 "," 166/182 ",
"Nutrition Clinique et Metabolisme","NUTR CLIN METAB","0985-0562","1768-3092","ENDOCRINOLOGY & METABOLISM - SCIE","0.6","0.09","0.4"," 141/145 "," 173/182 ",
"Diabetologie","DIABETOLOGIE","2731-7447","2731-7455","ENDOCRINOLOGY & METABOLISM - SCIE","0.4","N/A","0.3"," 142/145 "," N/A ",
"TRACE ELEMENTS AND ELECTROLYTES","TRACE ELEM ELECTROLY","0946-2104","0946-2104","ENDOCRINOLOGY & METABOLISM - SCIE","0.2","0.06","0.3"," 143/145 "," 175/182 ",
