Journal name	ISSN	eISSN	Category	Total Citations	2020 JIF	JIF Quartile	2020 JCI	% of OA Gold
Cardiovascular Toxicology	1530-79051559-0259	"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE"	"1772"	3.231	"Q2"	0.724.43%	
Heart Failure Clinics	1551-7136	N/A	"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE"	"1324"	3.179	"Q2"	0.620.68%	
Journal of Cardiology	0914-50871876-4738	"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE"	"4161"	3.159	"Q2"	0.645.49%	
Kardiologia Polska	0022-90321897-4279	"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE"	"2307"	3.108	"Q2"	0.463.57%	
JOURNAL OF CARDIOVASCULAR PHARMACOLOGY	0160-24461533-4023	"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE"	"6305"	3.105	"Q2"	0.747.65%	
Cardiovascular Therapeutics	1755-59141755-5922	"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE"	"1723"	3.023	"Q3"	0.6260.81%	
Pulmonary Circulation	2045-89322045-8940	"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE"	"2397"	3.017	"Q3"	0.5998.56%	
CIRCULATION JOURNAL	1346-98431347-4820	"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE"	"11622"	2.993	"Q3"	0.699.96%	
Heart Lung and Circulation	1443-95061444-2892	"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE"	"4050"	2.975	"Q3"	0.541.74%	
Current Cardiology Reports	1523-37821534-3170	"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE"	"3221"	2.931	"Q3"	0.489.00%	
Reviews in Cardiovascular Medicine	1530-65502153-8174	"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE"	"464"	2.930	"Q3"	0.31100.00%	
CLINICAL CARDIOLOGY	0160-92891932-8737	"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE"	"5571"	2.882	"Q3"	0.6263.88%	
Cardiovascular Diagnosis and Therapy	2223-36522223-3660	"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE"	"1785"	2.845	"Q3"	0.5383.19%	
AMERICAN JOURNAL OF CARDIOLOGY	0002-91491879-1913	"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE"	"40641"	2.778	"Q3"	0.684.77%	
CARDIOVASCULAR AND INTERVENTIONAL RADIOLOGY	0174-15511432-086X	"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE"	"7145"	2.740	"Q3"	0.6413.80%	
Cardiology Journal	1897-55931898-018X	"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE"	"1603"	2.737	"Q3"	0.47100.00%	
CATHETERIZATION AND CARDIOVASCULAR INTERVENTIONS	1522-19461522-726X	"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE"	"11415"	2.692	"Q3"	0.627.13%	
Acta Cardiologica Sinica	1011-6842	N/A	"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE"	"836"	2.672	"Q3"	0.510.00%	
Cardiology in Review	1061-53771538-4683	"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE"	"1384"	2.644	"Q3"	0.442.22%	
JOURNAL OF CARDIOTHORACIC AND VASCULAR ANESTHESIA	1053-07701532-8422	"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE"	"7080"	2.628	"Q3"	0.582.07%	
Cardiovascular Engineering and Technology	1869-408X	1869-4098	"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE"	"783"	2.495	"Q3"	0.5115.03%	
JOURNAL OF CARDIOVASCULAR PHARMACOLOGY AND THERAPEUTICS	1074-24841940-4034	"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE"	"1644"	2.457	"Q3"	0.595.80%	
Netherlands Heart Journal	1568-58881876-6250	"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE"	"1745"	2.380	"Q3"	0.5497.88%	
INTERNATIONAL JOURNAL OF CARDIOVASCULAR IMAGING	1569-57941573-0743	"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE"	"4056"	2.357	"Q3"	0.6216.92%	
Archives of Cardiovascular Diseases	1875-21361875-2128	"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE"	"2077"	2.340	"Q3"	0.511.35%	
JOURNAL OF THROMBOSIS AND THROMBOLYSIS	0929-53051573-742X	"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE"	"4446"	2.300	"Q3"	0.5312.81%	
BMC Cardiovascular Disorders	1471-22611471-2261	"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE"	"5150"	2.298	"Q3"	0.51100.00%	
JOURNAL OF INTERVENTIONAL CARDIOLOGY	0896-43271540-8183	"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE"	"1653"	2.279	"Q3"	0.4856.76%	
Annals of Thoracic Medicine	1817-17371998-3557	"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE"	"1050"	2.219	"Q3"	0.47100.00%	
CARDIOLOGY CLINICS	0733-86511558-2264	"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE"	"1478"	2.213	"Q3"	0.570.00%	
HEART & LUNG	0147-95631527-3288	"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE"	"3080"	2.210	"Q3"	0.762.80%	
CARDIOVASCULAR PATHOLOGY	1054-88071879-1336	"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE"	"2501"	2.185	"Q3"	0.596.18%	
CURRENT OPINION IN CARDIOLOGY	0268-47051531-7080	"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE"	"2496"	2.161	"Q3"	0.411.05%	
Journal of Cardiovascular Medicine	1558-20271558-2035	"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE"	"2073"	2.160	"Q3"	0.341.15%	
Journal of Cardiovascular Nursing	0889-46551550-5049	"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE"	"2462"	2.083	"Q3"	0.923.95%	
Journal of Cardiopulmonary Rehabilitation and Prevention	1932-75011932-751X	"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE"	"2097"	2.081	"Q3"	0.410.44%	
Cardiovascular Ultrasound	N/A	1476-7120	"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE"	"1327"	2.062	"Q3"	0.50100.00%	
CardioRenal Medicine	1664-38281664-5502	"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE"	"652"	2.041	"Q3"	0.528.94%	
HEART AND VESSELS	0910-83271615-2573	"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE"	"2953"	2.037	"Q3"	0.4710.25%	
JOURNAL OF INVASIVE CARDIOLOGY	1042-39311557-2501	"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE"	"2124"	2.022	"Q3"	0.360.00%	
Congenital Heart Disease	1747-079X	1747-0803	"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE"	"2153"	2.007	"Q4"	0.4714.80%	
Seminars in Thoracic and Cardiovascular Surgery	1043-06791532-9488	"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE"	"1828"	2.006	"Q4"	0.504.17%	
Arquivos Brasileiros de Cardiologia	0066-782X	N/A	"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE"	"3975"	2.000	"Q4"	0.42100.00%	
PACE-PACING AND CLINICAL ELECTROPHYSIOLOGY	0147-83891540-8159	"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE"	"6080"	1.976	"Q4"	0.408.10%	
PERFUSION-UK	0267-65911477-111X	"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE"	"1949"	1.972	"Q4"	0.415.79%	
Interactive Cardiovascular and Thoracic Surgery	1569-92931569-9285	"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE"	"6701"	1.905	"Q4"	0.540.36%	
JOURNAL OF INTERVENTIONAL CARDIAC ELECTROPHYSIOLOGY	1383-875X	1572-8595	"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE"	"2285"	1.900	"Q4"	0.419.07%	
JOURNAL OF CARDIOVASCULAR SURGERY	0021-95091827-191X	"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE"	"2091"	1.888	"Q4"	0.400.00%	
CARDIOLOGY	0008-63121421-9751	"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE"	"2852"	1.869	"Q4"	0.426.20%	
Cardiology Research and Practice	2090-80162090-0597	"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE"	"1119"	1.866	"Q4"	0.37100.00%	
International Heart Journal	1349-23651349-3299	"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE"	"2247"	1.862	"Q4"	0.450.00%	
THORACIC AND CARDIOVASCULAR SURGEON	0171-64251439-1902	"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE"	"2225"	1.827	"Q4"	0.412.22%	
EUROPEAN HEART JOURNAL SUPPLEMENTS	1520-765X	1554-2815	"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE"	"874"	1.803	"Q4"	0.3992.97%	
ECHOCARDIOGRAPHY-A JOURNAL OF CARDIOVASCULAR ULTRASOUND AND ALLIED TECHNIQUES	0742-28221540-8175	"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE"	"4061"	1.724	"Q4"	0.343.90%	
ACTA CARDIOLOGICA	0001-53851784-973X	"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE"	"1229"	1.718	"Q4"	0.330.36%	
PEDIATRIC CARDIOLOGY	0172-06431432-1971	"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE"	"5507"	1.655	"Q4"	0.598.36%	
Journal of Cardiothoracic Surgery	N/A	1749-8090	"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE"	"2757"	1.637	"Q4"	0.48100.00%	
JOURNAL OF CARDIAC SURGERY	0886-04401540-8191	"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE"	"3035"	1.620	"Q4"	0.467.78%	
Anatolian Journal of Cardiology	2149-22632149-2271	"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE"	"1635"	1.596	"Q4"	0.35100.00%	
SCANDINAVIAN CARDIOVASCULAR JOURNAL	1401-74311651-2006	"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE"	"1030"	1.589	"Q4"	0.3518.38%	
Annals of Thoracic and Cardiovascular Surgery	1341-10982186-1005	"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE"	"1322"	1.520	"Q4"	0.4899.33%	
General Thoracic and Cardiovascular Surgery	1863-67051863-6713	"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE"	"1831"	1.517	"Q4"	0.425.97%	
ANNALS OF NONINVASIVE ELECTROCARDIOLOGY	1082-720X	1542-474X	"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE"	"1666"	1.468	"Q4"	0.3137.67%	
TEXAS HEART INSTITUTE JOURNAL	0730-23471526-6702	"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE"	"2217"	1.455	"Q4"	0.240.00%	
HERZ	0340-99371615-6692	"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE"	"1529"	1.443	"Q4"	0.308.53%	
CORONARY ARTERY DISEASE	0954-69281473-5830	"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE"	"1943"	1.439	"Q4"	0.334.14%	
JOURNAL OF ELECTROCARDIOLOGY	0022-07361532-8430	"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE"	"3308"	1.438	"Q4"	0.313.43%	
Postepy w Kardiologii Interwencyjnej	1734-93381897-4295	"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE"	"403"	1.426	"Q4"	0.25100.00%	
Revista Portuguesa de Cardiologia	0870-25510304-4750	"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE"	"1022"	1.374	"Q4"	0.30100.00%	
MINERVA CARDIOANGIOLOGICA	0026-47251827-1618	"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE"	"593"	1.347	"Q4"	0.200.00%	
Brazilian Journal of Cardiovascular Surgery	0102-76381678-9741	"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE"	"1136"	1.312	"Q4"	0.59100.00%	
Cardiovascular Journal of Africa	1995-18921680-0745	"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE"	"1331"	1.167	"Q4"	0.240.00%	
CARDIOLOGY IN THE YOUNG	1047-95111467-1107	"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE"	"3295"	1.093	"Q4"	0.353.66%	
HEART SURGERY FORUM	1098-35111522-6662	"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE"	"696"	0.676	"Q4"	0.170.00%	
KARDIOLOGIYA	0022-9040	N/A	"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE"	"585"	0.395	"Q4"	0.0888.10%	
Iranian Heart Journal	1735-73061735-7306	"CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI"	"32"	n/a	"n/a"	0.040.00%	
Journal of Arrhythmia	1880-42761883-2148	"CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI"	"879"	n/a	"n/a"	0.29100.00%	
Cardiology and Therapy	2193-82612193-6544	"CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI"	"337"	n/a	"n/a"	0.49100.00%	
Egyptian Heart Journal	1110-26082090-911X	"CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI"	"257"	n/a	"n/a"	0.16100.00%	
Insuficiencia Cardiaca	1850-10441852-3862	"CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI"	"29"	n/a	"n/a"	0.010.00%	
Journal fur Hypertonie	1028-23271680-9378	"CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI"	"6"	n/a	"n/a"	0.020.00%	
Nepalese Heart Journal	2091-29782091-2978	"CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI"	"44"	n/a	"n/a"	0.0595.24%	
Pakistan Heart Journal	0048-27062227-9199	"CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI"	"59"	n/a	"n/a"	0.02100.00%	
IJC Heart & Vasculature	N/A	2352-9067	"CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI"	"984"	n/a	"n/a"	0.64100.00%	
Journal fur Kardiologie	1024-00981680-936X	"CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI"	"53"	n/a	"n/a"	0.030.00%	
CURRENT CARDIOLOGY REVIEWS	1573-403X	1875-6557	"CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI"	"1607"	n/a	"n/a"	0.410.00%	
Case Reports in Cardiology	2090-64042090-6412	"CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI"	"488"	n/a	"n/a"	0.13100.00%	
Echo Research and Practice	2055-04642055-0464	"CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI"	"382"	n/a	"n/a"	0.33100.00%	
European Cardiology Review	1758-37561758-3756	"CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI"	"433"	n/a	"n/a"	0.7676.25%	
JRSM Cardiovascular Disease	N/A	2048-0040	"CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI"	"325"	n/a	"n/a"	0.35100.00%	
Journal of Echocardiography	1349-02221880-344X	"CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI"	"241"	n/a	"n/a"	0.3713.54%	
World Journal of Cardiology	1949-84621949-8462	"CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI"	"1775"	n/a	"n/a"	0.3697.17%	
Annals of Pediatric Cardiology	0974-20690974-5149	"CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI"	"630"	n/a	"n/a"	0.21100.00%	
Giornale Italiano di Cardiologia	1827-68061972-6481	"CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI"	"553"	n/a	"n/a"	0.100.00%	
Current Cardiovascular Risk Reports	1932-95201932-9563	"CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI"	"482"	n/a	"n/a"	0.147.29%	
Journal of Cardiovascular Echography	2211-41222347-193X	"CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI"	"159"	n/a	"n/a"	0.120.00%	
Open Cardiovascular Medicine Journal	N/A	1874-1924	"CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI"	"374"	n/a	"n/a"	0.27100.00%	
