Journal name,ISSN,eISSN,Category,Total Citations,2020 JIF,JIF Quartile,2020 JCI,% of OA Gold
HUMAN GENE THERAPY,1043-0342,1557-7422,"GENETICS & HEREDITY - SCIE","7,074",5.695,"Q1",1.27,7.47%,
MUTATION RESEARCH-REVIEWS IN MUTATION RESEARCH,1383-5742,1388-2139,"GENETICS & HEREDITY - SCIE","4,185",5.657,"Q1",0.84,7.37%,
CURRENT OPINION IN GENETICS & DEVELOPMENT,0959-437X,1879-0380,"GENETICS & HEREDITY - SCIE","8,648",5.578,"Q1",0.72,11.03%,
Genes and Nutrition,1555-8932,1865-3499,"GENETICS & HEREDITY - SCIE","2,090",5.523,"Q1",0.86,100.00%,
Environmental Microbiome,N/A,2524-6372,"GENETICS & HEREDITY - SCIE","56",5.286,"Q1",1.27,100.00%,
GENE THERAPY,0969-7128,1476-5462,"GENETICS & HEREDITY - SCIE","8,112",5.250,"Q1",0.96,18.13%,
CHROMOSOME RESEARCH,0967-3849,1573-6849,"GENETICS & HEREDITY - SCIE","2,752",5.239,"Q1",0.80,13.89%,
Microbial Genomics,2057-5858,2057-5858,"GENETICS & HEREDITY - SCIE","1,939",5.237,"Q1",n/a,100.00%,
Biology of Sex Differences,N/A,2042-6410,"GENETICS & HEREDITY - SCIE","2,153",5.027,"Q1",1.00,100.00%,
GENES CHROMOSOMES & CANCER,1045-2257,1098-2264,"GENETICS & HEREDITY - SCIE","6,108",5.006,"Q1",0.95,15.49%,
JOURNAL OF INHERITED METABOLIC DISEASE,0141-8955,1573-2665,"GENETICS & HEREDITY - SCIE","8,207",4.982,"Q1",1.20,40.31%,
Epigenetics & Chromatin,N/A,1756-8935,"GENETICS & HEREDITY - SCIE","2,461",4.954,"Q1",1.15,100.00%,
DNA REPAIR,1568-7864,1568-7856,"GENETICS & HEREDITY - SCIE","7,382",4.913,"Q1",0.92,13.62%,
Forensic Science International-Genetics,1872-4973,1878-0326,"GENETICS & HEREDITY - SCIE","6,013",4.882,"Q1",1.76,10.00%,
HUMAN MUTATION,1059-7794,1098-1004,"GENETICS & HEREDITY - SCIE","16,381",4.878,"Q2",1.16,20.47%,
MOLECULAR GENETICS AND METABOLISM,1096-7192,1096-7206,"GENETICS & HEREDITY - SCIE","9,612",4.797,"Q2",0.96,20.21%,
Epigenomics,1750-1911,1750-192X,"GENETICS & HEREDITY - SCIE","3,848",4.778,"Q2",1.03,16.98%,
Human Genomics,1473-9542,1479-7364,"GENETICS & HEREDITY - SCIE","2,039",4.639,"Q2",0.83,100.00%,
Frontiers in Genetics,N/A,1664-8021,"GENETICS & HEREDITY - SCIE","18,705",4.599,"Q2",0.92,100.00%,
JOURNAL OF MOLECULAR MEDICINE-JMM,0946-2716,1432-1440,"GENETICS & HEREDITY - SCIE","9,445",4.599,"Q2",1.12,26.49%,
JOURNAL OF GENE MEDICINE,1099-498X,1521-2254,"GENETICS & HEREDITY - SCIE","2,294",4.565,"Q2",0.73,5.86%,
GENETICS,0016-6731,1943-2631,"GENETICS & HEREDITY - SCIE","46,408",4.562,"Q2",1.08,17.05%,
Epigenetics,1559-2294,1559-2308,"GENETICS & HEREDITY - SCIE","6,347",4.528,"Q2",1.01,13.90%,
DNA RESEARCH,1340-2838,1756-1663,"GENETICS & HEREDITY - SCIE","3,726",4.458,"Q2",1.12,100.00%,
CLINICAL GENETICS,0009-9163,1399-0004,"GENETICS & HEREDITY - SCIE","9,278",4.438,"Q2",0.92,10.70%,
CURRENT GENE THERAPY,1566-5232,1875-5631,"GENETICS & HEREDITY - SCIE","1,576",4.391,"Q2",0.50,0.00%,
CHROMOSOMA,0009-5915,1432-0886,"GENETICS & HEREDITY - SCIE","3,633",4.316,"Q2",0.71,26.00%,
GENETICS SELECTION EVOLUTION,0999-193X,1297-9686,"GENETICS & HEREDITY - SCIE","4,473",4.297,"Q2",1.60,100.00%,
MOLECULAR PHYLOGENETICS AND EVOLUTION,1055-7903,1095-9513,"GENETICS & HEREDITY - SCIE","22,497",4.286,"Q2",1.05,3.87%,
Journal of Genetics and Genomics,1673-8527,1873-5533,"GENETICS & HEREDITY - SCIE","2,754",4.275,"Q2",0.66,10.32%,
EUROPEAN JOURNAL OF HUMAN GENETICS,1018-4813,1476-5438,"GENETICS & HEREDITY - SCIE","12,623",4.246,"Q2",0.91,28.68%,
Briefings in Functional Genomics,2041-2649,2041-2657,"GENETICS & HEREDITY - SCIE","2,186",4.241,"Q2",0.84,22.13%,
MITOCHONDRION,1567-7249,1872-8278,"GENETICS & HEREDITY - SCIE","4,982",4.160,"Q2",0.81,9.94%,
HUMAN GENETICS,0340-6717,1432-1203,"GENETICS & HEREDITY - SCIE","10,191",4.132,"Q2",1.09,25.51%,
Orphanet Journal of Rare Diseases,N/A,1750-1172,"GENETICS & HEREDITY - SCIE","10,742",4.123,"Q2",0.92,100.00%,
Genes,N/A,2073-4425,"GENETICS & HEREDITY - SCIE","11,556",4.096,"Q2",0.78,100.00%,
Plant Genome,N/A,1940-3372,"GENETICS & HEREDITY - SCIE","2,353",4.089,"Q2",1.17,100.00%,
Molecular Diagnosis & Therapy,1177-1062,1179-2000,"GENETICS & HEREDITY - SCIE","1,598",4.074,"Q2",0.82,12.37%,
Cancer Genomics & Proteomics,1109-6535,1790-6245,"GENETICS & HEREDITY - SCIE","1,541",4.069,"Q2",0.78,0.00%,
Mobile DNA,1759-8753,1759-8753,"GENETICS & HEREDITY - SCIE","1,212",4.060,"Q2",0.86,100.00%,
BMC GENOMICS,1471-2164,1471-2164,"GENETICS & HEREDITY - SCIE","51,069",3.969,"Q2",0.99,100.00%,
AMERICAN JOURNAL OF MEDICAL GENETICS PART C-SEMINARS IN MEDICAL GENETICS,1552-4868,1552-4876,"GENETICS & HEREDITY - SCIE","3,067",3.908,"Q2",1.11,10.95%,
CURRENT GENETICS,0172-8083,1432-0983,"GENETICS & HEREDITY - SCIE","4,615",3.886,"Q2",0.67,15.33%,
HEREDITY,0018-067X,1365-2540,"GENETICS & HEREDITY - SCIE","10,968",3.821,"Q2",0.98,28.77%,
EVOLUTION,0014-3820,1558-5646,"GENETICS & HEREDITY - SCIE","33,940",3.694,"Q2",1.02,16.45%,
GENE,0378-1119,1879-0038,"GENETICS & HEREDITY - SCIE","33,228",3.688,"Q2",0.88,0.98%,
AMERICAN JOURNAL OF MEDICAL GENETICS PART B-NEUROPSYCHIATRIC GENETICS,1552-4841,1552-485X,"GENETICS & HEREDITY - SCIE","4,408",3.568,"Q2",0.91,18.29%,
PHARMACOGENOMICS JOURNAL,1470-269X,1473-1150,"GENETICS & HEREDITY - SCIE","3,275",3.550,"Q2",0.98,14.34%,
FUNGAL GENETICS AND BIOLOGY,1087-1845,1096-0937,"GENETICS & HEREDITY - SCIE","6,678",3.495,"Q2",0.96,14.59%,
Neurology-Genetics,2376-7839,2376-7839,"GENETICS & HEREDITY - SCIE","1,218",3.485,"Q2",0.90,100.00%,
PLASMID,0147-619X,1095-9890,"GENETICS & HEREDITY - SCIE","1,956",3.466,"Q2",0.63,7.61%,
DISEASE MARKERS,0278-0240,1875-8630,"GENETICS & HEREDITY - SCIE","5,699",3.434,"Q2",0.77,100.00%,
Genome Biology and Evolution,1759-6653,1759-6653,"GENETICS & HEREDITY - SCIE","8,785",3.416,"Q2",0.88,99.87%,
JOURNAL OF ASSISTED REPRODUCTION AND GENETICS,1058-0468,1573-7330,"GENETICS & HEREDITY - SCIE","7,604",3.412,"Q2",0.95,9.90%,
FUNCTIONAL & INTEGRATIVE GENOMICS,1438-793X,1438-7948,"GENETICS & HEREDITY - SCIE","2,453",3.410,"Q2",0.88,10.22%,
OMICS-A JOURNAL OF INTEGRATIVE BIOLOGY,1536-2310,1557-8100,"GENETICS & HEREDITY - SCIE","4,250",3.374,"Q2",0.58,4.83%,
DNA AND CELL BIOLOGY,1044-5498,1557-7430,"GENETICS & HEREDITY - SCIE","4,750",3.311,"Q2",0.74,2.06%,
MOLECULAR GENETICS AND GENOMICS,1617-4615,1617-4623,"GENETICS & HEREDITY - SCIE","5,509",3.291,"Q2",0.76,10.05%,
HEREDITAS,1601-5223,1601-5223,"GENETICS & HEREDITY - SCIE","1,955",3.271,"Q3",0.64,100.00%,
BMC EVOLUTIONARY BIOLOGY,1471-2148,1471-2148,"GENETICS & HEREDITY - SCIE","14,888",3.260,"Q3",0.83,100.00%,
JOURNAL OF APPLIED GENETICS,1234-1983,2190-3883,"GENETICS & HEREDITY - SCIE","1,878",3.240,"Q3",0.58,42.69%,
ENVIRONMENTAL AND MOLECULAR MUTAGENESIS,0893-6692,1098-2280,"GENETICS & HEREDITY - SCIE","4,142",3.216,"Q3",0.76,12.50%,
JOURNAL OF HUMAN GENETICS,1434-5161,1435-232X,"GENETICS & HEREDITY - SCIE","5,269",3.172,"Q3",0.77,8.16%,
ANIMAL GENETICS,0268-9146,1365-2052,"GENETICS & HEREDITY - SCIE","4,848",3.169,"Q3",1.09,12.96%,
G3-Genes Genomes Genetics,2160-1836,2160-1836,"GENETICS & HEREDITY - SCIE","8,340",3.154,"Q3",0.80,100.00%,
PHYSIOLOGICAL GENOMICS,1094-8341,1531-2267,"GENETICS & HEREDITY - SCIE","5,242",3.107,"Q3",0.61,9.91%,
BMC Medical Genomics,N/A,1755-8794,"GENETICS & HEREDITY - SCIE","3,830",3.063,"Q3",0.77,100.00%,
PRENATAL DIAGNOSIS,0197-3851,1097-0223,"GENETICS & HEREDITY - SCIE","7,537",3.050,"Q3",0.86,12.30%,
MUTAGENESIS,0267-8357,1464-3804,"GENETICS & HEREDITY - SCIE","3,982",3.000,"Q3",0.85,5.98%,
MAMMALIAN GENOME,0938-8990,1432-1777,"GENETICS & HEREDITY - SCIE","3,060",2.957,"Q3",0.53,33.88%,
MUTATION RESEARCH-GENETIC TOXICOLOGY AND ENVIRONMENTAL MUTAGENESIS,1383-5718,1879-3592,"GENETICS & HEREDITY - SCIE","7,037",2.873,"Q3",0.73,9.30%,
IMMUNOGENETICS,0093-7711,1432-1211,"GENETICS & HEREDITY - SCIE","3,776",2.846,"Q3",0.60,25.75%,
BEHAVIOR GENETICS,0001-8244,1573-3297,"GENETICS & HEREDITY - SCIE","3,306",2.805,"Q3",0.81,30.89%,
AMERICAN JOURNAL OF MEDICAL GENETICS PART A,1552-4825,1552-4833,"GENETICS & HEREDITY - SCIE","15,065",2.802,"Q3",0.61,7.73%,
Molecular Genetics and Metabolism Reports,N/A,2214-4269,"GENETICS & HEREDITY - SCIE","1,066",2.797,"Q3",0.58,100.00%,
BMC GENETICS,1471-2156,1471-2156,"GENETICS & HEREDITY - SCIE","5,363",2.797,"Q3",0.69,100.00%,
EVOLUTIONARY ECOLOGY,0269-7653,1573-8477,"GENETICS & HEREDITY - SCIE","4,056",2.717,"Q3",0.61,14.11%,
European Journal of Medical Genetics,1769-7212,1878-0849,"GENETICS & HEREDITY - SCIE","3,301",2.708,"Q3",0.62,5.43%,
GENES AND IMMUNITY,1466-4879,1476-5470,"GENETICS & HEREDITY - SCIE","3,029",2.676,"Q3",0.78,16.82%,
Comparative Biochemistry and Physiology D-Genomics & Proteomics,1744-117X,1878-0407,"GENETICS & HEREDITY - SCIE","1,466",2.674,"Q3",0.71,3.65%,
NEUROGENETICS,1364-6745,1364-6753,"GENETICS & HEREDITY - SCIE","1,390",2.660,"Q3",0.79,13.95%,
JOURNAL OF HEREDITY,0022-1503,1465-7333,"GENETICS & HEREDITY - SCIE","6,842",2.645,"Q3",0.71,12.81%,
MOLECULAR BREEDING,1380-3743,1572-9788,"GENETICS & HEREDITY - SCIE","6,948",2.589,"Q3",0.88,10.71%,
CONSERVATION GENETICS,1566-0621,1572-9737,"GENETICS & HEREDITY - SCIE","4,547",2.538,"Q3",0.62,17.46%,
Journal of Genetic Counseling,1059-7700,1573-3599,"GENETICS & HEREDITY - SCIE","3,064",2.537,"Q3",0.87,8.43%,
Cancer Genetics,2210-7762,2210-7770,"GENETICS & HEREDITY - SCIE","1,569",2.523,"Q3",0.61,7.77%,
GENESIS,1526-954X,1526-968X,"GENETICS & HEREDITY - SCIE","4,396",2.487,"Q3",0.43,12.10%,
PSYCHIATRIC GENETICS,0955-8829,1473-5873,"GENETICS & HEREDITY - SCIE","1,003",2.458,"Q3",0.40,1.39%,
MUTATION RESEARCH-FUNDAMENTAL AND MOLECULAR MECHANISMS OF MUTAGENESIS,1386-1964,1873-135X,"GENETICS & HEREDITY - SCIE","7,739",2.433,"Q3",0.52,2.17%,
JOURNAL OF EVOLUTIONARY BIOLOGY,1010-061X,1420-9101,"GENETICS & HEREDITY - SCIE","11,780",2.411,"Q3",0.67,18.86%,
Human Gene Therapy Methods,1946-6536,1946-6544,"GENETICS & HEREDITY - SCIE","688",2.396,"Q3",0.65,12.50%,
JOURNAL OF MOLECULAR EVOLUTION,0022-2844,1432-1432,"GENETICS & HEREDITY - SCIE","8,871",2.395,"Q3",0.47,16.41%,
Familial Cancer,1389-9600,1573-7292,"GENETICS & HEREDITY - SCIE","2,174",2.375,"Q3",0.52,20.49%,
VIRUS GENES,0920-8569,1572-994X,"GENETICS & HEREDITY - SCIE","3,101",2.332,"Q3",0.53,9.36%,
International Journal of Genomics,2314-436X,2314-4378,"GENETICS & HEREDITY - SCIE","1,224",2.326,"Q3",0.46,100.00%,
Tree Genetics & Genomes,1614-2942,1614-2950,"GENETICS & HEREDITY - SCIE","3,336",2.297,"Q3",0.82,10.73%,
CURRENT GENOMICS,1389-2029,1875-5488,"GENETICS & HEREDITY - SCIE","2,721",2.236,"Q3",0.38,0.00%,
NEW GENETICS AND SOCIETY,1463-6778,1469-9915,"GENETICS & HEREDITY - SCIE","491",2.189,"Q3",0.89,17.57%,
Molecular Genetics & Genomic Medicine,2324-9269,2324-9269,"GENETICS & HEREDITY - SCIE","2,408",2.183,"Q3",0.55,100.00%,
GENOME,0831-2796,1480-3321,"GENETICS & HEREDITY - SCIE","4,699",2.166,"Q3",0.56,1.42%,
GENETIC EPIDEMIOLOGY,0741-0395,1098-2272,"GENETICS & HEREDITY - SCIE","3,316",2.135,"Q3",0.59,18.64%,
BMC Medical Genetics,N/A,1471-2350,"GENETICS & HEREDITY - SCIE","4,080",2.103,"Q3",0.47,100.00%,
Pharmacogenetics and Genomics,1744-6872,1744-6880,"GENETICS & HEREDITY - SCIE","3,514",2.089,"Q4",0.76,4.82%,
Genes and Environment,1880-7046,1880-7062,"GENETICS & HEREDITY - SCIE","389",2.085,"Q4",0.48,100.00%,
Lifestyle Genomics,2504-3161,2504-3188,"GENETICS & HEREDITY - SCIE","62",2.083,"Q4",0.30,91.30%,
Molecular Cytogenetics,N/A,1755-8166,"GENETICS & HEREDITY - SCIE","1,029",2.009,"Q4",0.36,100.00%,
Public Health Genomics,1662-4246,1662-8063,"GENETICS & HEREDITY - SCIE","914",2.000,"Q4",0.48,7.94%,
Cellular Reprogramming,2152-4971,2152-4998,"GENETICS & HEREDITY - SCIE","806",1.987,"Q4",0.45,6.19%,
Advances in Genetics,0065-2660,N/A,"GENETICS & HEREDITY - SCIE","1,773",1.944,"Q4",n/a,0.00%,
EVOLUTION & DEVELOPMENT,1520-541X,1525-142X,"GENETICS & HEREDITY - SCIE","2,032",1.930,"Q4",0.52,11.90%,
GENES TO CELLS,1356-9597,1365-2443,"GENETICS & HEREDITY - SCIE","4,416",1.891,"Q4",0.38,12.28%,
BIOCHEMICAL GENETICS,0006-2928,1573-4927,"GENETICS & HEREDITY - SCIE","1,488",1.890,"Q4",0.46,5.75%,
Genes & Genomics,1976-9571,2092-9293,"GENETICS & HEREDITY - SCIE","1,201",1.839,"Q4",0.36,4.41%,
CRITICAL REVIEWS IN EUKARYOTIC GENE EXPRESSION,1045-4403,2162-6502,"GENETICS & HEREDITY - SCIE","1,282",1.807,"Q4",0.46,0.00%,
OPHTHALMIC GENETICS,1381-6810,1744-5094,"GENETICS & HEREDITY - SCIE","1,372",1.803,"Q4",0.45,1.83%,
Comparative Cytogenetics,1993-0771,1993-078X,"GENETICS & HEREDITY - SCIE","494",1.800,"Q4",0.54,100.00%,
Genetic Testing and Molecular Biomarkers,1945-0265,1945-0257,"GENETICS & HEREDITY - SCIE","1,808",1.795,"Q4",0.36,2.75%,
GENETICS AND MOLECULAR BIOLOGY,1415-4757,1678-4685,"GENETICS & HEREDITY - SCIE","3,263",1.771,"Q4",0.38,100.00%,
Medizinische Genetik,0936-5931,1863-5490,"GENETICS & HEREDITY - SCIE","136",1.724,"Q4",0.25,53.49%,
Marine Genomics,1874-7787,1876-7478,"GENETICS & HEREDITY - SCIE","1,306",1.710,"Q4",0.54,10.10%,
ANNALS OF HUMAN GENETICS,0003-4800,1469-1809,"GENETICS & HEREDITY - SCIE","2,029",1.670,"Q4",0.41,9.30%,
CYTOGENETIC AND GENOME RESEARCH,1424-8581,1424-859X,"GENETICS & HEREDITY - SCIE","3,330",1.636,"Q4",0.30,1.55%,
Molecular Syndromology,1661-8769,1661-8777,"GENETICS & HEREDITY - SCIE","875",1.631,"Q4",0.30,5.30%,
Genetics Research,0016-6723,1469-5073,"GENETICS & HEREDITY - SCIE","2,126",1.588,"Q4",0.26,69.57%,
Twin Research and Human Genetics,1832-4274,1839-2628,"GENETICS & HEREDITY - SCIE","2,101",1.587,"Q4",0.47,24.89%,
THEORETICAL POPULATION BIOLOGY,0040-5809,1096-0325,"GENETICS & HEREDITY - SCIE","4,374",1.570,"Q4",0.46,10.37%,
GENES & GENETIC SYSTEMS,1341-7568,1880-5779,"GENETICS & HEREDITY - SCIE","880",1.517,"Q4",0.24,1.15%,
Mitochondrial DNA Part A,2470-1394,2470-1408,"GENETICS & HEREDITY - SCIE","1,680",1.514,"Q4",0.34,0.69%,
International Journal of Immunogenetics,1744-3121,1744-313X,"GENETICS & HEREDITY - SCIE","791",1.466,"Q4",0.33,6.02%,
JOURNAL OF NEUROGENETICS,0167-7063,1563-5260,"GENETICS & HEREDITY - SCIE","807",1.250,"Q4",0.32,13.39%,
GENE EXPRESSION PATTERNS,1567-133X,1872-7298,"GENETICS & HEREDITY - SCIE","1,536",1.224,"Q4",0.33,9.45%,
JOURNAL OF GENETICS,0022-1333,0973-7731,"GENETICS & HEREDITY - SCIE","2,232",1.166,"Q4",0.25,0.00%,
GENETICA,0016-6707,1573-6857,"GENETICS & HEREDITY - SCIE","2,983",1.082,"Q4",0.31,2.68%,
Conservation Genetics Resources,1877-7252,1877-7260,"GENETICS & HEREDITY - SCIE","2,398",0.973,"Q4",0.30,5.57%,
CARYOLOGIA,0008-7114,2165-5391,"GENETICS & HEREDITY - SCIE","953",0.918,"Q4",0.24,54.69%,
CLINICAL DYSMORPHOLOGY,0962-8827,1473-5717,"GENETICS & HEREDITY - SCIE","633",0.816,"Q4",0.18,0.74%,
SILVAE GENETICA,0037-5349,2509-8934,"GENETICS & HEREDITY - SCIE","986",0.795,"Q4",0.29,72.88%,
CYTOLOGIA,0011-4545,N/A,"GENETICS & HEREDITY - SCIE","1,071",0.791,"Q4",0.16,0.00%,
Genetika-Belgrade,0534-0012,1820-6069,"GENETICS & HEREDITY - SCIE","547",0.761,"Q4",0.20,100.00%,
Mitochondrial DNA Part B-Resources,N/A,2380-2359,"GENETICS & HEREDITY - SCIE","2,584",0.658,"Q4",0.21,0.07%,
RUSSIAN JOURNAL OF GENETICS,1022-7954,1608-3369,"GENETICS & HEREDITY - SCIE","1,850",0.581,"Q4",0.12,0.00%,
Cytology and Genetics,0095-4527,1934-9440,"GENETICS & HEREDITY - SCIE","376",0.579,"Q4",0.13,0.00%,
HUMAN BIOLOGY,0018-7143,1534-6617,"GENETICS & HEREDITY - SCIE","1,866",0.553,"Q4",0.20,0.00%,
Balkan Journal of Medical Genetics,1311-0160,1311-0160,"GENETICS & HEREDITY - SCIE","210",0.519,"Q4",0.13,100.00%,
HUMAN HEREDITY,0001-5652,1423-0062,"GENETICS & HEREDITY - SCIE","975",0.444,"Q4",0.13,0.00%,
INTERNATIONAL JOURNAL OF HUMAN GENETICS,0972-3757,2456-6330,"GENETICS & HEREDITY - SCIE","152",0.226,"Q4",0.04,0.00%,
Meta Gene,N/A,2214-5400,"GENETICS & HEREDITY - ESCI","722",n/a,"n/a",0.15,1.14%,
Epigenomes,N/A,2075-4655,"GENETICS & HEREDITY - ESCI","129",n/a,"n/a",0.32,100.00%,
Gene Reports,N/A,2452-0144,"GENETICS & HEREDITY - ESCI","616",n/a,"n/a",0.18,0.40%,
AIMS Genetics,2377-1143,2377-1143,"GENETICS & HEREDITY - ESCI","116",n/a,"n/a",0.30,100.00%,
Epigenetics Insights,2516-8657,2516-8657,"GENETICS & HEREDITY - ESCI","49",n/a,"n/a",0.44,100.00%,
Human Genome Variation,N/A,2054-345X,"GENETICS & HEREDITY - ESCI","434",n/a,"n/a",0.43,100.00%,
International Journal of Neonatal Screening,N/A,2409-515X,"GENETICS & HEREDITY - ESCI","251",n/a,"n/a",0.58,100.00%,
Environmental Epigenetics,2058-5888,2058-5888,"GENETICS & HEREDITY - ESCI","461",n/a,"n/a",0.95,100.00%,
Journal of Community Genetics,1868-310X,1868-6001,"GENETICS & HEREDITY - ESCI","840",n/a,"n/a",0.59,39.74%,
GENETICS AND MOLECULAR RESEARCH,N/A,1676-5680,"GENETICS & HEREDITY - ESCI","7,706",n/a,"n/a",0.16,0.00%,
Application of Clinical Genetics,N/A,1178-704X,"GENETICS & HEREDITY - ESCI","673",n/a,"n/a",0.45,100.00%,
Current Genetic Medicine Reports,N/A,2167-4876,"GENETICS & HEREDITY - ESCI","257",n/a,"n/a",0.41,33.87%,
Global Medical Genetics,2699-9404,2699-9404,"GENETICS & HEREDITY - ESCI","3",n/a,"n/a",n/a,75.00%,
