Journal name,JCR Abbreviation,ISSN,eISSN,Category,2022 JIF,2022 JCI,5 Year JIF,JIF Rank,JCI Rank
"EUROPACE","EUROPACE","1099-5129","1532-2092","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","6.1","1.44","5.3"," 32/142 "," 29/210 "
"JOURNAL OF THORACIC AND CARDIOVASCULAR SURGERY","J THORAC CARDIOV SUR","0022-5223","1097-685X","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","6","1.78","5.9"," 33/142 "," 18/210 "
"JOURNAL OF CARDIAC FAILURE","J CARD FAIL","1071-9164","1532-8414","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","6","1.17","5.6"," 33/142 "," 45/210 "
"REVISTA ESPANOLA DE CARDIOLOGIA","REV ESP CARDIOL","1885-5857","1579-2242","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","5.9","1.61","4.6"," 35/142 "," 24/210 "
"Current Atherosclerosis Reports","CURR ATHEROSCLER REP","1523-3804","1534-6242","PERIPHERAL VASCULAR DISEASE - SCIE","5.8","0.87","6.4"," 14/67 "," 22/93 "
"EUROPEAN JOURNAL OF VASCULAR AND ENDOVASCULAR SURGERY","EUR J VASC ENDOVASC","1078-5884","1532-2165","PERIPHERAL VASCULAR DISEASE - SCIE","5.7","1.81","6.3"," 15/67 "," 6/93 "
"HEART","HEART","1355-6037","1468-201X","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","5.7","1.42","5.9"," 36/142 "," 31/210 "
"SEMINARS IN THROMBOSIS AND HEMOSTASIS","SEMIN THROMB HEMOST","0094-6176","1098-9064","PERIPHERAL VASCULAR DISEASE - SCIE","5.7","0.97","4.5"," 15/67 "," 20/93 "
"Circulation-Cardiovascular Interventions","CIRC-CARDIOVASC INTE","1941-7640","1941-7632","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","5.6","1.38","7"," 37/142 "," 35/210 "
"CURRENT HYPERTENSION REPORTS","CURR HYPERTENS REP","1522-6417","1534-3111","PERIPHERAL VASCULAR DISEASE - SCIE","5.6","0.71","6.1"," 17/67 "," 28/93 "
"HEART RHYTHM","HEART RHYTHM","1547-5271","1556-3871","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","5.5","1.42","5.8"," 38/142 "," 31/210 "
"Journal of Cardiovascular Computed Tomography","J CARDIOVASC COMPUT","1934-5925","1934-5925","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","5.4","1.41","4.4"," 39/142 "," 34/210 "
"Journal of the American Heart Association","J AM HEART ASSOC","N/A","2047-9980","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","5.4","1.23","6.1"," 39/142 "," 41/210 "
"HYPERTENSION RESEARCH","HYPERTENS RES","0916-9636","1348-4214","PERIPHERAL VASCULAR DISEASE - SCIE","5.4","0.85","4.8"," 18/67 "," 23/93 "
"ATHEROSCLEROSIS","ATHEROSCLEROSIS","0021-9150","1879-1484","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","5.3","1.26","5.4"," 41/142 "," 40/210 "
"ATHEROSCLEROSIS","ATHEROSCLEROSIS","0021-9150","1879-1484","PERIPHERAL VASCULAR DISEASE - SCIE","5.3","1.26","5.4"," 19/67 "," 13/93 "
"European Heart Journal-Quality of Care and Clinical Outcomes","EUR HEART J-QUAL CAR","2058-5225","2058-1742","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","5.2","1.37","4.8"," 42/142 "," 36/210 "
"Clinical Research in Cardiology","CLIN RES CARDIOL","1861-0684","1861-0692","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","5","1.17","4.6"," 43/142 "," 45/210 "
"JOURNAL OF MOLECULAR AND CELLULAR CARDIOLOGY","J MOL CELL CARDIOL","0022-2828","1095-8584","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","5","0.96","5.1"," 43/142 "," 52/210 "
"JOURNAL OF HYPERTENSION","J HYPERTENS","0263-6352","1473-5598","PERIPHERAL VASCULAR DISEASE - SCIE","4.9","1","4.8"," 20/67 "," 19/93 "
"AMERICAN JOURNAL OF PHYSIOLOGY-HEART AND CIRCULATORY PHYSIOLOGY","AM J PHYSIOL-HEART C","0363-6135","1522-1539","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","4.8","1.22","5"," 45/142 "," 43/210 "
"AMERICAN JOURNAL OF PHYSIOLOGY-HEART AND CIRCULATORY PHYSIOLOGY","AM J PHYSIOL-HEART C","0363-6135","1522-1539","PERIPHERAL VASCULAR DISEASE - SCIE","4.8","1.22","5"," 21/67 "," 15/93 "
"AMERICAN HEART JOURNAL","AM HEART J","0002-8703","1097-6744","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","4.8","1.19","4.4"," 45/142 "," 44/210 "
"ANNALS OF THORACIC SURGERY","ANN THORAC SURG","0003-4975","1552-6259","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","4.6","1.32","4.5"," 47/142 "," 38/210 "
"HEART FAILURE REVIEWS","HEART FAIL REV","1382-4147","1573-7322","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","4.6","0.96","5"," 47/142 "," 52/210 "
"Research and Practice in Thrombosis and Haemostasis","RES PRACT THROMB HAE","N/A","2475-0379","PERIPHERAL VASCULAR DISEASE - SCIE","4.6","0.79","4.4"," 22/67 "," 25/93 "
"Current Vascular Pharmacology","CURR VASC PHARMACOL","1570-1611","1875-6212","PERIPHERAL VASCULAR DISEASE - SCIE","4.5","0.68","3.8"," 23/67 "," 32/93 "
"Journal of Atherosclerosis and Thrombosis","J ATHEROSCLER THROMB","1340-3478","1880-3873","PERIPHERAL VASCULAR DISEASE - SCIE","4.4","0.89","4.9"," 24/67 "," 21/93 "
"CURRENT OPINION IN LIPIDOLOGY","CURR OPIN LIPIDOL","0957-9672","1473-6535","PERIPHERAL VASCULAR DISEASE - SCIE","4.4","0.55","4.3"," 24/67 "," 44/93 "
"JOURNAL OF VASCULAR SURGERY","J VASC SURG","0741-5214","1097-6809","PERIPHERAL VASCULAR DISEASE - SCIE","4.3","1.36","4.4"," 26/67 "," 12/93 "
"RESPIRATORY MEDICINE","RESP MED","0954-6111","1532-3064","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","4.3","0.99","4.1"," 49/142 "," 49/210 "
"CURRENT PROBLEMS IN CARDIOLOGY","CURR PROB CARDIOLOGY","0146-2806","1535-6280","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","4.2","0.95","4.3"," 50/142 "," 54/210 "
"European Heart Journal-Acute Cardiovascular Care","EUR HEART J-ACUTE CA","2048-8726","2048-8734","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","4.1","0.94","3.9"," 51/142 "," 55/210 "
"Hellenic Journal of Cardiology","HELL J CARDIOL","1109-9666","2241-5955","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","4.1","0.76","3.1"," 51/142 "," 69/210 "
"JOURNAL OF THROMBOSIS AND THROMBOLYSIS","J THROMB THROMBOLYS","0929-5305","1573-742X","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","4","0.84","3.2"," 53/142 "," 62/210 "
"JOURNAL OF THROMBOSIS AND THROMBOLYSIS","J THROMB THROMBOLYS","0929-5305","1573-742X","PERIPHERAL VASCULAR DISEASE - SCIE","4","0.84","3.2"," 27/67 "," 24/93 "
"NUTRITION METABOLISM AND CARDIOVASCULAR DISEASES","NUTR METAB CARDIOVAS","0939-4753","1590-3729","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","3.9","0.91","4.2"," 54/142 "," 57/210 "
"CardioRenal Medicine","CARDIORENAL MED","1664-3828","1664-5502","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","3.8","1.05","2.7"," 55/142 "," 47/210 "
"ESC Heart Failure","ESC HEART FAIL","2055-5822","2055-5822","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","3.8","0.84","3.8"," 55/142 "," 62/210 "
"Journal of Cardiopulmonary Rehabilitation and Prevention","J CARDIOPULM REHABIL","1932-7501","1932-751X","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","3.8","0.7","3.3"," 55/142 "," 73/210 "
"CARDIOVASCULAR PATHOLOGY","CARDIOVASC PATHOL","1054-8807","1879-1336","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","3.7","1.01","2.6"," 58/142 "," 48/210 "
"Global Heart","GLOB HEART","2211-8160","2211-8179","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","3.7","0.62","3.6"," 58/142 "," 88/210 "
"Current Cardiology Reports","CURR CARDIOL REP","1523-3782","1534-3170","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","3.7","0.58","3.6"," 58/142 "," 93/210 "
"Frontiers in Cardiovascular Medicine","FRONT CARDIOVASC MED","2297-055X","2297-055X","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","3.6","0.77","4.1"," 61/142 "," 66/210 "
"International Journal of Cardiology","INT J CARDIOL","0167-5273","1874-1754","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","3.5","0.92","3.5"," 62/142 "," 56/210 "
"VASCULAR MEDICINE","VASC MED","1358-863X","1477-0377","PERIPHERAL VASCULAR DISEASE - SCIE","3.5","0.64","3.7"," 28/67 "," 38/93 "
"EUROPEAN JOURNAL OF CARDIO-THORACIC SURGERY","EUR J CARDIO-THORAC","1010-7940","1873-734X","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","3.4","1.27","4.1"," 63/142 "," 39/210 "
"CARDIOVASCULAR DRUGS AND THERAPY","CARDIOVASC DRUG THER","0920-3206","1573-7241","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","3.4","0.77","3.8"," 63/142 "," 66/210 "
"Heart Failure Clinics","HEART FAIL CLIN","1551-7136","N/A","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","3.4","0.77","3.4"," 63/142 "," 66/210 "
"Journal of Cardiovascular Translational Research","J CARDIOVASC TRANSL","1937-5387","1937-5395","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","3.4","0.64","3.5"," 63/142 "," 83/210 "
"CIRCULATION JOURNAL","CIRC J","1346-9843","1347-4820","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","3.3","0.73","3.3"," 67/142 "," 70/210 "
"Kardiologia Polska","KARDIOL POL","0022-9032","1897-4279","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","3.3","0.56","4"," 67/142 "," 102/210 "
"Journal of Vascular Surgery-Venous and Lymphatic Disorders","J VASC SURG-VENOUS L","2213-333X","2213-333X","PERIPHERAL VASCULAR DISEASE - SCIE","3.2","1.11","3.1"," 29/67 "," 16/93 "
"Cardiovascular Toxicology","CARDIOVASC TOXICOL","1530-7905","1559-0259","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","3.2","0.73","3"," 69/142 "," 70/210 "
"AMERICAN JOURNAL OF HYPERTENSION","AM J HYPERTENS","0895-7061","1941-7225","PERIPHERAL VASCULAR DISEASE - SCIE","3.2","0.67","3"," 29/67 "," 35/93 "
"CURRENT OPINION IN NEPHROLOGY AND HYPERTENSION","CURR OPIN NEPHROL HY","1062-4821","1473-6543","PERIPHERAL VASCULAR DISEASE - SCIE","3.2","0.59","3.2"," 29/67 "," 43/93 "
"SHOCK","SHOCK","1073-2322","1540-0514","PERIPHERAL VASCULAR DISEASE - SCIE","3.1","1.05","3.2"," 32/67 "," 18/93 "
"Annals of Cardiothoracic Surgery","ANN CARDIOTHORAC SUR","2225-319X","2304-1021","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","3.1","0.91","4.2"," 70/142 "," 57/210 "
"MICROVASCULAR RESEARCH","MICROVASC RES","0026-2862","1095-9319","PERIPHERAL VASCULAR DISEASE - SCIE","3.1","0.74","2.9"," 32/67 "," 27/93 "
"Thrombosis Journal","THROMB J","1477-9560","1477-9560","PERIPHERAL VASCULAR DISEASE - SCIE","3.1","0.69","3.8"," 32/67 "," 30/93 "
"Cardiovascular Therapeutics","CARDIOVASC THER","1755-5914","1755-5922","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","3.1","0.67","3"," 70/142 "," 76/210 "
"JOURNAL OF CARDIOVASCULAR PHARMACOLOGY","J CARDIOVASC PHARM","0160-2446","1533-4023","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","3","0.71","3"," 72/142 "," 72/210 "
"American Journal of Cardiovascular Drugs","AM J CARDIOVASC DRUG","1175-3277","1179-187X","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","3","0.64","2.9"," 72/142 "," 83/210 "
"Archives of Cardiovascular Diseases","ARCH CARDIOVASC DIS","1875-2136","1875-2128","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","3","0.58","2.8"," 72/142 "," 93/210 "
"Journal of Cardiovascular Medicine","J CARDIOVASC MED","1558-2027","1558-2035","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","3","0.58","2"," 72/142 "," 93/210 "
"European Journal of Cardiovascular Nursing","EUR J CARDIOVASC NUR","1474-5151","1873-1953","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","2.9","0.91","3.2"," 76/142 "," 57/210 "
"Cardiology Journal","CARDIOL J","1897-5593","1898-018X","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","2.9","0.68","2.5"," 76/142 "," 75/210 "
"JOURNAL OF VASCULAR AND INTERVENTIONAL RADIOLOGY","J VASC INTERV RADIOL","1051-0443","1535-7732","PERIPHERAL VASCULAR DISEASE - SCIE","2.9","0.68","3.3"," 35/67 "," 32/93 "
"Korean Circulation Journal","KOREAN CIRC J","1738-5520","1738-5555","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","2.9","0.67","2.8"," 76/142 "," 76/210 "
"CARDIOVASCULAR AND INTERVENTIONAL RADIOLOGY","CARDIOVASC INTER RAD","0174-1551","1432-086X","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","2.9","0.66","2.6"," 76/142 "," 79/210 "
"CEREBROVASCULAR DISEASES","CEREBROVASC DIS","1015-9770","1421-9786","PERIPHERAL VASCULAR DISEASE - SCIE","2.9","0.61","3.2"," 35/67 "," 40/93 "
"CLINICAL AND APPLIED THROMBOSIS-HEMOSTASIS","CLIN APPL THROMB-HEM","1076-0296","1938-2723","PERIPHERAL VASCULAR DISEASE - SCIE","2.9","0.5","2.6"," 35/67 "," 51/93 "
"JOURNAL OF THE RENIN-ANGIOTENSIN-ALDOSTERONE SYSTEM","J RENIN-ANGIO-ALDO S","1470-3203","1752-8976","PERIPHERAL VASCULAR DISEASE - SCIE","2.9","0.48","2.2"," 35/67 "," 56/93 "
"HEART & LUNG","HEART LUNG","0147-9563","1527-3288","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","2.8","0.87","2.7"," 80/142 "," 60/210 "
"JOURNAL OF CARDIOTHORACIC AND VASCULAR ANESTHESIA","J CARDIOTHOR VASC AN","1053-0770","1532-8422","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","2.8","0.69","2.5"," 80/142 "," 74/210 "
"JOURNAL OF CARDIOTHORACIC AND VASCULAR ANESTHESIA","J CARDIOTHOR VASC AN","1053-0770","1532-8422","PERIPHERAL VASCULAR DISEASE - SCIE","2.8","0.69","2.5"," 39/67 "," 30/93 "
"KIDNEY & BLOOD PRESSURE RESEARCH","KIDNEY BLOOD PRESS R","1420-4096","1423-0143","PERIPHERAL VASCULAR DISEASE - SCIE","2.8","0.68","2.7"," 39/67 "," 32/93 "
"AMERICAN JOURNAL OF CARDIOLOGY","AM J CARDIOL","0002-9149","1879-1913","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","2.8","0.65","2.7"," 80/142 "," 81/210 "
"ANGIOLOGY","ANGIOLOGY","0003-3197","1940-1574","PERIPHERAL VASCULAR DISEASE - SCIE","2.8","0.62","2.8"," 39/67 "," 39/93 "
"Journal of Clinical Hypertension","J CLIN HYPERTENS","1524-6175","1751-7176","PERIPHERAL VASCULAR DISEASE - SCIE","2.8","0.54","3"," 39/67 "," 46/93 "
"JOURNAL OF CARDIOVASCULAR ELECTROPHYSIOLOGY","J CARDIOVASC ELECTR","1045-3873","1540-8167","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","2.7","0.64","2.8"," 83/142 "," 83/210 "
"CLINICAL CARDIOLOGY","CLIN CARDIOL","0160-9289","1932-8737","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","2.7","0.58","2.7"," 83/142 "," 93/210 "
"JOURNAL OF HUMAN HYPERTENSION","J HUM HYPERTENS","0950-9240","1476-5527","PERIPHERAL VASCULAR DISEASE - SCIE","2.7","0.5","2.9"," 43/67 "," 51/93 "
"Reviews in Cardiovascular Medicine","REV CARDIOVASC MED","1530-6550","2153-8174","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","2.7","0.46","2.6"," 83/142 "," 119/210 "
"JOURNAL OF ENDOVASCULAR THERAPY","J ENDOVASC THER","1526-6028","1545-1550","PERIPHERAL VASCULAR DISEASE - SCIE","2.6","0.75","2.8"," 44/67 "," 26/93 "
"Heart Lung and Circulation","HEART LUNG CIRC","1443-9506","1444-2892","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","2.6","0.59","2.7"," 86/142 "," 91/210 "
"Arquivos Brasileiros de Cardiologia","ARQ BRAS CARDIOL","0066-782X","1678-4170","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","2.6","0.57","2.5"," 86/142 "," 98/210 "
"JOURNAL OF CARDIOVASCULAR PHARMACOLOGY AND THERAPEUTICS","J CARDIOVASC PHARM T","1074-2484","1940-4034","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","2.6","0.53","2.5"," 86/142 "," 105/210 "
"Pulmonary Circulation","PULM CIRC","2045-8932","2045-8940","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","2.6","0.53","2.7"," 86/142 "," 105/210 "
"Seminars in Vascular Surgery","SEMIN VASC SURG","0895-7967","1558-4518","PERIPHERAL VASCULAR DISEASE - SCIE","2.5","0.7","2.8"," 45/67 "," 29/93 "
"Journal of Cardiology","J CARDIOL","0914-5087","1876-4738","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","2.5","0.65","2.6"," 90/142 "," 81/210 "
"Seminars in Thoracic and Cardiovascular Surgery","SEMIN THORAC CARDIOV","1043-0679","1532-9488","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","2.5","0.64","2.5"," 90/142 "," 83/210 "
"Journal of Stroke & Cerebrovascular Diseases","J STROKE CEREBROVASC","1052-3057","1532-8511","PERIPHERAL VASCULAR DISEASE - SCIE","2.5","0.55","2.4"," 45/67 "," 44/93 "
"Journal of Geriatric Cardiology","J GERIATR CARDIOL","1671-5411","N/A","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","2.5","0.45","3.6"," 90/142 "," 120/210 "
