Journal name,JCR Abbreviation,ISSN,eISSN,Category,2022 JIF,2022 JCI,5 Year JIF,JIF Rank,JCI Rank
"STEM CELLS AND DEVELOPMENT","STEM CELLS DEV","1547-3287","1557-8534","HEMATOLOGY - SCIE","4","0.96","3.8"," 28/79 "," 22/96 "
"JOURNAL OF THROMBOSIS AND THROMBOLYSIS","J THROMB THROMBOLYS","0929-5305","1573-742X","HEMATOLOGY - SCIE","4","0.84","3.2"," 28/79 "," 28/96 "
"HAEMOPHILIA","HAEMOPHILIA","1351-8216","1365-2516","HEMATOLOGY - SCIE","3.9","0.62","3.5"," 30/79 "," 40/96 "
"Blood Transfusion","BLOOD TRANSFUS-ITALY","1723-2007","1723-2007","HEMATOLOGY - SCIE","3.7","0.88","3.7"," 31/79 "," 26/96 "
"SEMINARS IN HEMATOLOGY","SEMIN HEMATOL","0037-1963","1532-8686","HEMATOLOGY - SCIE","3.6","0.66","3.6"," 32/79 "," 38/96 "
"ANNALS OF HEMATOLOGY","ANN HEMATOL","0939-5555","1432-0584","HEMATOLOGY - SCIE","3.5","0.6","3.2"," 33/79 "," 41/96 "
"Therapeutic Advances in Hematology","THER ADV HEMATOL","2040-6207","2040-6215","HEMATOLOGY - SCIE","3.4","0.64","3.7"," 34/79 "," 39/96 "
"HEMATOLOGICAL ONCOLOGY","HEMATOL ONCOL","0278-0232","1099-1069","HEMATOLOGY - SCIE","3.3","0.56","3.2"," 35/79 "," 45/96 "
"PLATELETS","PLATELETS","0953-7104","1369-1635","HEMATOLOGY - SCIE","3.3","0.56","3.4"," 35/79 "," 45/96 "
"Transplantation and Cellular Therapy","TRANSPL CELL THER","2666-6375","2666-6367","HEMATOLOGY - SCIE","3.2","0.73","3.2"," 37/79 "," 35/96 "
"PEDIATRIC BLOOD & CANCER","PEDIATR BLOOD CANCER","1545-5009","1545-5017","HEMATOLOGY - SCIE","3.2","0.7","3.1"," 37/79 "," 36/96 "
"Hamostaseologie","HAMOSTASEOLOGIE","0720-9355","2567-5761","HEMATOLOGY - SCIE","3.2","0.5","2.3"," 37/79 "," 51/96 "
"Mediterranean Journal of Hematology and Infectious Diseases","MEDITERR J HEMATOL I","N/A","2035-3006","HEMATOLOGY - SCIE","3.2","0.43","2.5"," 37/79 "," 64/96 "
"CURRENT OPINION IN HEMATOLOGY","CURR OPIN HEMATOL","1065-6251","1531-7048","HEMATOLOGY - SCIE","3.2","0.42","3.1"," 37/79 "," 66/96 "
"SHOCK","SHOCK","1073-2322","1540-0514","HEMATOLOGY - SCIE","3.1","1.05","3.2"," 42/79 "," 19/96 "
"Thrombosis Journal","THROMB J","1477-9560","1477-9560","HEMATOLOGY - SCIE","3.1","0.69","3.8"," 42/79 "," 37/96 "
"EUROPEAN JOURNAL OF HAEMATOLOGY","EUR J HAEMATOL","0902-4441","1600-0609","HEMATOLOGY - SCIE","3.1","0.6","2.7"," 42/79 "," 41/96 "
"Hematology-American Society of Hematology Education Program","HEMATOL-AM SOC HEMAT","1520-4391","1520-4383","HEMATOLOGY - SCIE","3","0.82","3.7"," 45/79 "," 29/96 "
"BLOOD PURIFICATION","BLOOD PURIFICAT","0253-5068","1421-9735","HEMATOLOGY - SCIE","3","0.8","2.9"," 45/79 "," 30/96 "
"International Journal of Laboratory Hematology","INT J LAB HEMATOL","1751-5521","1751-553X","HEMATOLOGY - SCIE","3","0.46","2.7"," 45/79 "," 59/96 "
"TRANSFUSION","TRANSFUSION","0041-1132","1537-2995","HEMATOLOGY - SCIE","2.9","0.6","2.7"," 48/79 "," 41/96 "
"CLINICAL AND APPLIED THROMBOSIS-HEMOSTASIS","CLIN APPL THROMB-HEM","1076-0296","1938-2723","HEMATOLOGY - SCIE","2.9","0.5","2.6"," 48/79 "," 51/96 "
"Current Hematologic Malignancy Reports","CURR HEMATOL MALIG R","1558-8211","1558-822X","HEMATOLOGY - SCIE","2.9","0.44","3"," 48/79 "," 62/96 "
"Expert Review of Hematology","EXPERT REV HEMATOL","1747-4086","1747-4094","HEMATOLOGY - SCIE","2.8","0.36","2.9"," 51/79 "," 72/96 "
"LEUKEMIA RESEARCH","LEUKEMIA RES","0145-2126","1873-5835","HEMATOLOGY - SCIE","2.7","0.49","2.5"," 52/79 "," 54/96 "
"VOX SANGUINIS","VOX SANG","0042-9007","1423-0410","HEMATOLOGY - SCIE","2.7","0.46","2.3"," 52/79 "," 59/96 "
"Clinical Lymphoma Myeloma & Leukemia","CL LYMPH MYELOM LEUK","2152-2650","2152-2669","HEMATOLOGY - SCIE","2.7","0.44","2.5"," 52/79 "," 62/96 "
"EXPERIMENTAL HEMATOLOGY","EXP HEMATOL","0301-472X","1873-2399","HEMATOLOGY - SCIE","2.6","0.59","2.7"," 55/79 "," 44/96 "
"LEUKEMIA & LYMPHOMA","LEUKEMIA LYMPHOMA","1042-8194","1029-2403","HEMATOLOGY - SCIE","2.6","0.4","2.7"," 55/79 "," 68/96 "
"Turkish Journal of Hematology","TURK J HEMATOL","1300-7777","1308-5263","HEMATOLOGY - SCIE","2.6","0.3","2"," 55/79 "," 76/96 "
"HEMATOLOGY-ONCOLOGY CLINICS OF NORTH AMERICA","HEMATOL ONCOL CLIN N","0889-8588","1558-1977","HEMATOLOGY - SCIE","2.4","0.53","3.5"," 58/79 "," 48/96 "
"MICROCIRCULATION","MICROCIRCULATION","1073-9688","1549-8719","HEMATOLOGY - SCIE","2.4","0.51","2.4"," 58/79 "," 50/96 "
"ACTA HAEMATOLOGICA","ACTA HAEMATOL-BASEL","0001-5792","1421-9662","HEMATOLOGY - SCIE","2.4","0.49","2.2"," 58/79 "," 54/96 "
"BLOOD CELLS MOLECULES AND DISEASES","BLOOD CELL MOL DIS","1079-9796","1096-0961","HEMATOLOGY - SCIE","2.3","0.55","2.3"," 61/79 "," 47/96 "
"TRANSFUSION MEDICINE AND HEMOTHERAPY","TRANSFUS MED HEMOTH","1660-3796","1660-3818","HEMATOLOGY - SCIE","2.2","0.47","2.8"," 62/79 "," 56/96 "
"BEST PRACTICE & RESEARCH CLINICAL HAEMATOLOGY","BEST PRACT RES CL HA","1521-6926","1532-1924","HEMATOLOGY - SCIE","2.1","0.53","2.6"," 63/79 "," 48/96 "
"CLINICAL HEMORHEOLOGY AND MICROCIRCULATION","CLIN HEMORHEOL MICRO","1386-0291","1875-8622","HEMATOLOGY - SCIE","2.1","0.5","1.9"," 63/79 "," 51/96 "
"INTERNATIONAL JOURNAL OF HEMATOLOGY","INT J HEMATOL","0925-5710","1865-3774","HEMATOLOGY - SCIE","2.1","0.43","2.1"," 63/79 "," 64/96 "
"THERAPEUTIC APHERESIS AND DIALYSIS","THER APHER DIAL","1744-9979","1744-9987","HEMATOLOGY - SCIE","1.9","0.45","1.7"," 66/79 "," 61/96 "
"Hematology","HEMATOLOGY","1024-5332","1607-8454","HEMATOLOGY - SCIE","1.9","0.41","2.1"," 66/79 "," 67/96 "
"TRANSFUSION AND APHERESIS SCIENCE","TRANSFUS APHER SCI","1473-0502","1878-1683","HEMATOLOGY - SCIE","1.9","0.37","1.7"," 66/79 "," 71/96 "
"PEDIATRIC HEMATOLOGY AND ONCOLOGY","PEDIATR HEMAT ONCOL","0888-0018","1521-0669","HEMATOLOGY - SCIE","1.7","0.38","1.9"," 69/79 "," 70/96 "
"TRANSFUSION CLINIQUE ET BIOLOGIQUE","TRANSFUS CLIN BIOL","1246-7820","N/A","HEMATOLOGY - SCIE","1.7","0.29","1.4"," 69/79 "," 80/96 "
"JOURNAL OF CLINICAL APHERESIS","J CLIN APHERESIS","0733-2459","1098-1101","HEMATOLOGY - SCIE","1.5","0.47","2"," 71/79 "," 56/96 "
"TRANSFUSION MEDICINE","TRANSFUSION MED","0958-7578","1365-3148","HEMATOLOGY - SCIE","1.5","0.3","1.6"," 71/79 "," 76/96 "
"JOURNAL OF PEDIATRIC HEMATOLOGY ONCOLOGY","J PEDIAT HEMATOL ONC","1077-4114","1536-3678","HEMATOLOGY - SCIE","1.2","0.32","1.2"," 73/79 "," 75/96 "
"BIORHEOLOGY","BIORHEOLOGY","0006-355X","1878-5034","HEMATOLOGY - SCIE","1.1","0.36","1.2"," 74/79 "," 72/96 "
"BLOOD COAGULATION & FIBRINOLYSIS","BLOOD COAGUL FIBRIN","0957-5235","1473-5733","HEMATOLOGY - SCIE","1.1","0.22","1.1"," 74/79 "," 82/96 "
"HEMOGLOBIN","HEMOGLOBIN","0363-0269","1532-432X","HEMATOLOGY - SCIE","1","0.15","0.9"," 76/79 "," 86/96 "
"Indian Journal of Hematology and Blood Transfusion","INDIAN J HEMATOL BLO","0971-4502","0974-0449","HEMATOLOGY - SCIE","0.9","0.14","1"," 77/79 "," 88/96 "
"Journal of Hematopathology","J HEMATOP","1868-9256","1865-5785","HEMATOLOGY - SCIE","0.6","0.14","0.6"," 78/79 "," 88/96 "
"GEMATOLOGIYA I TRANSFUZIOLOGIYA","GEMATOL TRANSFUZIOL","0234-5730","N/A","HEMATOLOGY - SCIE","0.3","0.03","0.2"," 79/79 "," 93/96 "
