Rank	Full Journal Title	Total Cites	Journal Impact Factor	Eigenfactor Score
46	JACC-Cardiovascular Interventions	"10268"	9.8810.037280
47	Annual Review of Microbiology	"9814"	9.8080.009790
48	Annual Review of Genetics	"7707"	9.5890.013490
49	ISME Journal	"19791"	9.5200.056670
50	Annual Review of Public Health	"5847"	9.4910.009010
50	Annual Review of Public Health	"5847"	9.4910.009010
52	GENES & DEVELOPMENT	"57469"	9.4620.092680
53	PLOS BIOLOGY	"28750"	9.1630.058650
54	Microbiome	"2532"	9.1330.010850
55	CLINICAL INFECTIOUS DISEASES	"61618"	9.1170.119880
56	BMC Medicine	"12000"	9.0880.041570
57	Genome Medicine	"4265"	8.8980.020590
58	AMERICAN JOURNAL OF HUMAN GENETICS	"36546"	8.8550.070510
59	Annual Review of Genomics and Human Genetics	"2729"	8.6760.007160
60	Theranostics	"5761"	8.5370.015700
61	ENVIRONMENTAL HEALTH PERSPECTIVES	"39741"	8.4400.043950
62	INTERNATIONAL JOURNAL OF EPIDEMIOLOGY	"21401"	8.3600.046410
63	European Heart Journal-Cardiovascular Imaging	"4630"	8.3360.020630
64	JACC-Heart Failure	"2827"	8.2020.016950
65	JOURNAL OF HEART AND LUNG TRANSPLANTATION	"11129"	7.9550.029020
66	eLife	"25592"	7.6160.195810
67	EPIDEMIOLOGIC REVIEWS	"3422"	7.5830.003580
68	MOLECULAR ASPECTS OF MEDICINE	"5157"	7.3440.009700
69	MAYO CLINIC PROCEEDINGS	"13828"	7.1990.025990
70	EUROPEAN JOURNAL OF EPIDEMIOLOGY	"7281"	7.0230.016260
71	MOLECULAR THERAPY	"16013"	7.0080.029160
72	ONCOGENE	"66411"	6.8540.075940
73	JOURNAL OF THE AMERICAN SOCIETY OF ECHOCARDIOGRAPHY	"10612"	6.8270.017380
74	HYPERTENSION	"36908"	6.8230.049480
75	CANADIAN MEDICAL ASSOCIATION JOURNAL	"14191"	6.8180.016520
76	Cochrane Database of Systematic Reviews	"62332"	6.7540.167240
76	JOURNAL OF INTERNAL MEDICINE	"10327"	6.7540.016060
76	PROGRESS IN CARDIOVASCULAR DISEASES	"3733"	6.7540.008050
79	CURRENT OPINION IN MICROBIOLOGY	"9437"	6.7100.018230
80	mBio	"12940"	6.6890.058990
81	GENOMICS PROTEOMICS & BIOINFORMATICS	"1225"	6.6150.003480
82	Circulation-Cardiovascular Interventions	"4902"	6.5040.019630
83	Nanomedicine-Nanotechnology Biology and Medicine	"9338"	6.5000.015660
84	BULLETIN OF THE WORLD HEALTH ORGANIZATION	"15375"	6.3610.018340
85	Wiley Interdisciplinary Reviews-Nanomedicine and Nanobiotechnology	"2088"	6.3500.004260
86	JOURNAL OF TOXICOLOGY AND ENVIRONMENTAL HEALTH-PART B-CRITICAL REVIEWS	"1665"	6.3330.001770
87	CARDIOVASCULAR RESEARCH	"22195"	6.2900.027330
88	STROKE	"65854"	6.2390.088450
89	Circulation-Cardiovascular Imaging	"5438"	6.2210.020150
90	EBioMedicine	"3378"	6.1830.015270
91	PLoS Pathogens	"40344"	6.1580.122290
92	ARTERIOSCLEROSIS THROMBOSIS AND VASCULAR BIOLOGY	"34074"	6.0860.044800
93	Emerging Microbes & Infections	"1318"	6.0320.005900
94	Mobile DNA	6225.8910.003000
95	BIOSCIENCE	"17072"	5.8760.014370
96	Molecular Autism	"1679"	5.8720.006320
97	RESUSCITATION	"13781"	5.8630.025140
98	Current Topics in Microbiology and Immunology	"5633"	5.8290.011730
99	BMC BIOLOGY	"5144"	5.7700.017210
100	JOURNAL OF MEDICAL GENETICS	"12239"	5.7510.019280
101	mSystems	4285.7500.002010
102	BASIC RESEARCH IN CARDIOLOGY	"4199"	5.7230.007880
103	Circulation-Heart Failure	"6064"	5.6840.024080
104	PHILOSOPHICAL TRANSACTIONS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES	"41872"	5.6660.071250
105	Circulation-Cardiovascular Genetics	"3394"	5.6640.011410
106	Molecular Therapy-Nucleic Acids	"2180"	5.6600.008190
107	Forensic Science International-Genetics	"4168"	5.6370.007550
108	FASEB JOURNAL	"41572"	5.5950.051610
109	EXPERIMENTAL AND MOLECULAR MEDICINE	"3538"	5.5840.007100
110	Journal of Clinical Medicine	"1673"	5.5830.005320
111	PLoS Genetics	"42989"	5.5400.171100
112	JOURNAL OF CARDIOVASCULAR MAGNETIC RESONANCE	"4918"	5.4570.013520
113	HEART	"17545"	5.4200.034110
114	DNA RESEARCH	"2952"	5.4150.005620
115	CLINICAL MICROBIOLOGY AND INFECTION	"15983"	5.3940.039590
116	HUMAN MUTATION	"12927"	5.3590.028280
117	Epigenetics & Chromatin	"1410"	5.3510.007620
118	JOURNAL OF MOLECULAR AND CELLULAR CARDIOLOGY	"14186"	5.2960.025020
119	Cardiovascular Diabetology	"4796"	5.2350.011210
120	ALTEX-Alternatives to Animal Experimentation	"1261"	5.2320.001990
121	EUROPACE	"9232"	5.2310.026850
122	CLINICAL SCIENCE	"10321"	5.2200.013640
123	JOURNAL OF ANTIMICROBIAL CHEMOTHERAPY	"29292"	5.2170.050650
124	MUTATION RESEARCH-REVIEWS IN MUTATION RESEARCH	"3440"	5.2050.003220
125	JOURNAL OF INFECTIOUS DISEASES	"45663"	5.1860.075160
126	REVISTA ESPANOLA DE CARDIOLOGIA	"3338"	5.1660.004750
127	mAbs	"3767"	5.1650.011210
128	AMERICAN JOURNAL OF MEDICINE	"25399"	5.1170.026870
129	Circulation-Cardiovascular Quality and Outcomes	"4337"	5.0360.016830
130	ANNALS OF EMERGENCY MEDICINE	"12555"	5.0080.016670
131	CURRENT OPINION IN GENETICS & DEVELOPMENT	"7791"	4.9950.018540
132	EPIDEMIOLOGY	"12660"	4.9910.020120
132	EPIDEMIOLOGY	"12660"	4.9910.020120
134	Epigenomics	"2055"	4.9790.006170
135	ENVIRONMENTAL MICROBIOLOGY	"20320"	4.9740.033230
136	Stem Cell Research & Therapy	"4578"	4.9630.012620
137	THROMBOSIS AND HAEMOSTASIS	"16701"	4.9520.025750
138	JOURNAL OF MOLECULAR MEDICINE-JMM	"7120"	4.9380.011390
139	Epigenetics	"5167"	4.9180.014110
140	HUMAN MOLECULAR GENETICS	"40142"	4.9020.081170
141	JOURNAL OF THROMBOSIS AND HAEMOSTASIS	"17663"	4.8990.034360
142	JOURNAL OF THORACIC AND CARDIOVASCULAR SURGERY	"27492"	4.8800.042620
142	Translational Research	"3416"	4.8800.009000
144	INTERNATIONAL JOURNAL OF HYGIENE AND ENVIRONMENTAL HEALTH	"4282"	4.8480.006360
145	PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES	"51704"	4.8470.087550
146	Journal of Stroke	6944.7500.002890
147	HEART RHYTHM	"11723"	4.7430.033510
148	CRITICAL REVIEWS IN MICROBIOLOGY	"2307"	4.7380.003450
149	ENVIRONMENTAL RESEARCH	"13420"	4.7320.021770
150	Circulation-Arrhythmia and Electrophysiology	"6026"	4.7280.021380
151	XENOTRANSPLANTATION	"1479"	4.7170.002550
152	Advances in Genetics	"1529"	4.6890.002430
153	Advances in Applied Microbiology	"1605"	4.6770.001640
154	JOURNAL OF MEDICAL INTERNET RESEARCH	"10875"	4.6710.027460
155	Cancer Biology & Medicine	8164.6070.002330
156	TRENDS IN CARDIOVASCULAR MEDICINE	"2588"	4.5980.004050
157	MOLECULAR PHARMACEUTICS	"15754"	4.5560.029060
158	CANCER EPIDEMIOLOGY BIOMARKERS & PREVENTION	"19976"	4.5540.029440
159	European Journal of Preventive Cardiology	"3478"	4.5420.013140
160	JMIR mHealth and uHealth	"1418"	4.5410.004640
161	ANNALS OF FAMILY MEDICINE	"4711"	4.5400.011470
162	CANADIAN JOURNAL OF CARDIOLOGY	"6035"	4.5240.017820
163	ATHEROSCLEROSIS	"23013"	4.4670.039130
164	DNA REPAIR	"6089"	4.4610.014940
165	Clinical Research in Cardiology	"2789"	4.4550.007260
166	Journal of the American Heart Association	"9057"	4.4500.047020
166	Travel Medicine and Infectious Disease	"1230"	4.4500.003610
168	Journal of Oral Microbiology	6034.4440.001370
169	BIOESSAYS	"9697"	4.4190.016870
170	EuroIntervention	"5742"	4.4170.019300
171	MOLECULAR PHYLOGENETICS AND EVOLUTION	"18604"	4.4120.029450
172	CELLULAR MICROBIOLOGY	"8989"	4.4100.015220
173	INDOOR AIR	"4382"	4.3960.004930
174	AMERICAN JOURNAL OF PUBLIC HEALTH	"37368"	4.3800.066160
174	AMERICAN JOURNAL OF PUBLIC HEALTH	"37368"	4.3800.066160
176	Environmental Health	"4486"	4.3760.010670
177	ANGIOGENESIS	"2712"	4.3510.004870
178	AMERICAN JOURNAL OF EPIDEMIOLOGY	"37181"	4.3220.042240
179	AMERICAN STATISTICIAN	"5299"	4.3020.004240
179	JOURNAL OF CELLULAR AND MOLECULAR MEDICINE	"10939"	4.3020.015770
181	NICOTINE & TOBACCO RESEARCH	"8477"	4.2930.022100
181	NICOTINE & TOBACCO RESEARCH	"8477"	4.2930.022100
183	JOURNAL OF THE AMERICAN MEDICAL INFORMATICS ASSOCIATION	"8713"	4.2700.017570
184	LABORATORY INVESTIGATION	"10464"	4.2630.010480
185	ANTIMICROBIAL AGENTS AND CHEMOTHERAPY	"61813"	4.2560.087630
186	INTERNATIONAL JOURNAL OF ANTIMICROBIAL AGENTS	"10395"	4.2530.016610
187	JOURNAL OF CLINICAL EPIDEMIOLOGY	"24063"	4.2450.027220
188	HUMAN GENE THERAPY	"5559"	4.2410.007690
189	MEDICAL JOURNAL OF AUSTRALIA	"11255"	4.2270.013820
190	Journal of Translational Medicine	"9947"	4.1970.023620
191	Journal of Global Health	7544.1950.003290
191	Journal of Global Health	7544.1950.003290
193	CURRENT PROBLEMS IN CARDIOLOGY	5694.1900.001040
194	AMERICAN HEART JOURNAL	"21762"	4.1710.035530
194	Current Opinion in Insect Science	"1150"	4.1710.005020
196	Geobiology	"2038"	4.1580.004150
197	Frontiers in Genetics	"6378"	4.1510.028830
197	TOBACCO CONTROL	"6643"	4.1510.015540
197	TOBACCO CONTROL	"6643"	4.1510.015540
200	npj Biofilms and Microbiomes	1834.1280.000700
201	AMERICAN JOURNAL OF PREVENTIVE MEDICINE	"20455"	4.1270.039330
202	HELICOBACTER	"2862"	4.1230.004320
203	HEART FAILURE REVIEWS	"2288"	4.1040.005300
204	JOURNAL OF HYPERTENSION	"16924"	4.0990.025290
205	JOURNAL OF ADOLESCENT HEALTH	"14174"	4.0980.026410
205	JOURNAL OF ADOLESCENT HEALTH	"14174"	4.0980.026410
207	JOURNAL OF INHERITED METABOLIC DISEASE	"5683"	4.0920.009470
208	FOOD MICROBIOLOGY	"9325"	4.0900.012490
209	GENETICS	"42809"	4.0750.053650
210	Journal of Genetics and Genomics	"1811"	4.0660.004120
211	JOURNAL OF CLINICAL MICROBIOLOGY	"53067"	4.0540.059270
212	AMYLOID-JOURNAL OF PROTEIN FOLDING DISORDERS	"1262"	4.0480.002430
213	CANCER GENE THERAPY	"2928"	4.0440.003610
214	AIDS PATIENT CARE AND STDS	"3622"	4.0410.006750
215	INTERNATIONAL JOURNAL OF CARDIOLOGY	"27788"	4.0340.077990
216	CHROMOSOMA	"3527"	4.0210.005850
217	Frontiers in Microbiology	"25111"	4.0190.084910
218	JOURNAL OF NUCLEAR CARDIOLOGY	"3508"	4.0110.004130
219	JOURNAL OF GENERAL INTERNAL MEDICINE	"17822"	4.0050.028510
220	CYTOTHERAPY	"5589"	3.9930.009010
221	Cold Spring Harbor Perspectives in Medicine	"4979"	3.9790.022450
222	EXPERT OPINION ON BIOLOGICAL THERAPY	"4426"	3.9740.008370
223	JOURNAL OF EPIDEMIOLOGY AND COMMUNITY HEALTH	"13779"	3.9730.018360
223	JOURNAL OF EPIDEMIOLOGY AND COMMUNITY HEALTH	"13779"	3.9730.018360
225	OCCUPATIONAL AND ENVIRONMENTAL MEDICINE	"8486"	3.9650.010310
226	Virulence	"2944"	3.9470.008450
227	JOURNAL OF CARDIAC FAILURE	"5177"	3.9420.010440
228	Genome Biology and Evolution	"5746"	3.9400.024680
229	HUMAN GENETICS	"8757"	3.9300.015560
229	THEORETICAL AND APPLIED GENETICS	"19565"	3.9300.015860
231	Microbial Biotechnology	"2744"	3.9130.005610
232	JOURNAL OF BIOLOGICAL RHYTHMS	"3031"	3.9060.003440
233	EPMA Journal	6473.9000.000910
234	SYSTEMATIC AND APPLIED MICROBIOLOGY	"5083"	3.8990.005450
235	Deutsches Arzteblatt International	"3673"	3.8900.006940
236	FUNCTIONAL & INTEGRATIVE GENOMICS	"1857"	3.8890.002680
237	EUROPEAN JOURNAL OF VASCULAR AND ENDOVASCULAR SURGERY	"8352"	3.8770.012910
238	HEREDITY	"9830"	3.8720.012060
239	EXPERT REVIEWS IN MOLECULAR MEDICINE	"1790"	3.8650.001620
240	International Journal of Stroke	"3825"	3.8590.014890
241	CURRENT OPINION IN LIPIDOLOGY	"3849"	3.8530.006110
242	IEEE Journal of Biomedical and Health Informatics	"2922"	3.8500.008100
243	JOURNAL OF IMMUNOTHERAPY	"3093"	3.8260.004590
244	AMERICAN JOURNAL OF MEDICAL GENETICS PART C-SEMINARS IN MEDICAL GENETICS	"1917"	3.8220.004190
245	EVOLUTION	"32227"	3.8180.032210
246	MOLECULAR MICROBIOLOGY	"35698"	3.8160.036140
247	PHARMACOGENOMICS JOURNAL	"2600"	3.8120.004890
248	Experimental Neurobiology	7043.8100.002320
249	Clinical Epidemiology	"2200"	3.7990.009690
250	BIOELECTROCHEMISTRY	"4076"	3.7890.004420
251	Briefings in Functional Genomics	"1557"	3.7830.004130
252	ANNALS OF THORACIC SURGERY	"34007"	3.7800.043550
252	PALLIATIVE MEDICINE	"4636"	3.7800.008570
254	MOLECULAR GENETICS AND METABOLISM	"7103"	3.7740.012370
255	Journal of Occupational Health Psychology	"3320"	3.7660.004650
256	ECONOMETRICA	"32128"	3.7500.051840
257	GENETICS SELECTION EVOLUTION	"2701"	3.7430.004870
258	BMC GENOMICS	"37516"	3.7300.099650
259	Wiley Interdisciplinary Reviews-Systems Biology and Medicine	"1009"	3.7090.002930
260	NEUROEPIDEMIOLOGY	"3261"	3.6970.005650
261	MULTIVARIATE BEHAVIORAL RESEARCH	"5881"	3.6910.006420
262	Molecular Therapy-Oncolytics	2543.6900.000830
263	Molecular Therapy-Methods & Clinical Development	6653.6810.002830
264	ARCHIVES OF PATHOLOGY & LABORATORY MEDICINE	"9834"	3.6580.011610
265	DRUG SAFETY	"4856"	3.6430.006600
266	EUROPEAN JOURNAL OF HUMAN GENETICS	"9453"	3.6360.024040
267	APPLIED AND ENVIRONMENTAL MICROBIOLOGY	"100091"	3.6330.071910
268	MICROBIAL ECOLOGY	"9672"	3.6140.011930
269	Stem Cell Reviews and Reports	"2167"	3.6120.004640
270	ASTROBIOLOGY	"3015"	3.6100.005740
271	Emergencias	7943.6080.001170
272	Orphanet Journal of Rare Diseases	"5680"	3.6070.015800
273	mSphere	7073.5750.002720
274	CURRENT GENETICS	"3106"	3.5740.003080
275	AMERICAN JOURNAL OF PHYSIOLOGY-HEART AND CIRCULATORY PHYSIOLOGY	"28039"	3.5690.027580
276	Antimicrobial Resistance and Infection Control	8203.5680.003260
277	Biology of Sex Differences	8553.5430.003530
278	Frontiers in Cellular and Infection Microbiology	"3778"	3.5200.013730
279	CLINICAL GENETICS	"6816"	3.5120.014730
280	EUROPEAN JOURNAL OF CARDIO-THORACIC SURGERY	"15001"	3.5040.026110
281	Human Genomics	"1056"	3.5000.001940
282	FEMS MICROBIOLOGY ECOLOGY	"13859"	3.4950.017310
283	PREVENTIVE MEDICINE	"14479"	3.4830.027410
284	FUNGAL GENETICS AND BIOLOGY	"5327"	3.4760.007200
285	npj Genomic Medicine	1283.4670.000670
286	JOURNAL OF BIOMEDICAL SCIENCE	"3521"	3.4660.005370
287	BIOMEDICINE & PHARMACOTHERAPY	"8649"	3.4570.010440
288	Advances in Microbial Physiology	"1009"	3.4550.000820
289	INTERNATIONAL JOURNAL OF FOOD MICROBIOLOGY	"23973"	3.4510.020390
290	HYPERTENSION RESEARCH	"5064"	3.4390.006260
291	Drug Delivery and Translational Research	9633.3950.002270
292	PPAR Research	"1200"	3.3860.001790
293	CURRENT OPINION IN NEPHROLOGY AND HYPERTENSION	"3324"	3.3700.006500
294	GENES CHROMOSOMES & CANCER	"5116"	3.3620.006970
295	BRITISH MEDICAL BULLETIN	"4242"	3.3560.003660
296	JOURNAL OF HOSPITAL INFECTION	"7523"	3.3540.010430
297	Biology Letters	"9425"	3.3450.021620
297	SEMINARS IN THROMBOSIS AND HEMOSTASIS	"3876"	3.3450.006270
299	Diabetes & Vascular Disease Research	"1253"	3.3400.003320
299	MOLECULAR MEDICINE	"5000"	3.3400.007140
301	MEDICAL CARE	"18853"	3.3380.022590
302	NUTRITION METABOLISM AND CARDIOVASCULAR DISEASES	"5131"	3.3180.010000
303	BMC Medical Genomics	"2528"	3.3170.006780
304	STEM CELLS AND DEVELOPMENT	"7589"	3.3150.016430
305	Conflict and Health	5433.3050.002020
305	Conflict and Health	5433.3050.002020
307	INTERNATIONAL JOURNAL OF MEDICAL MICROBIOLOGY	"3914"	3.2980.007380
308	JOURNAL OF VASCULAR SURGERY	"24792"	3.2940.030290
309	Annual Review of Statistics and Its Application	2283.2900.002280
310	VACCINE	"38718"	3.2850.073600
311	European Journal of Internal Medicine	"4068"	3.2820.008900
312	BRITISH JOURNAL OF GENERAL PRACTICE	"5766"	3.2610.008830
313	ENVIRONMENTAL AND MOLECULAR MUTAGENESIS	"3516"	3.2540.003980
314	JOURNAL OF PAIN AND SYMPTOM MANAGEMENT	"9734"	3.2490.013960
315	CURRENT HYPERTENSION REPORTS	"2564"	3.2340.006250
315	LIFE SCIENCES	"20781"	3.2340.017140
317	RESPIRATORY MEDICINE	"11147"	3.2300.015430
318	MITOCHONDRION	"3337"	3.2260.006770
319	JOURNAL OF BACTERIOLOGY	"64701"	3.2190.038700
320	Genes and Nutrition	"1533"	3.2110.002770
321	QJM-AN INTERNATIONAL JOURNAL OF MEDICINE	"5821"	3.2040.005050
322	GENE THERAPY	"7733"	3.2030.007690
323	MEDICAL MICROBIOLOGY AND IMMUNOLOGY	"1880"	3.2020.003030
324	World Journal of Emergency Surgery	9973.1980.002760
325	Genes	"1577"	3.1910.004990
326	Future Microbiology	"3755"	3.1900.008890
327	JOURNAL OF EXPERIMENTAL BIOLOGY	"32317"	3.1790.034510
328	AMERICAN JOURNAL OF CARDIOLOGY	"37736"	3.1710.049030
329	Interface Focus	"1685"	3.1650.005120
330	Annals of Clinical Microbiology and Antimicrobials	"1270"	3.1550.002850
331	npj Vaccines	613.1430.000390
332	SAUDI JOURNAL OF BIOLOGICAL SCIENCES	"1787"	3.1380.003470
333	MELANOMA RESEARCH	"2356"	3.1350.004620
334	AMERICAN JOURNAL OF CHINESE MEDICINE	"2983"	3.1200.002770
335	Journal of Cardiovascular Computed Tomography	"1608"	3.0950.004280
336	NEUROGENETICS	"1199"	3.0900.002770
337	EUROPEAN JOURNAL OF CLINICAL INVESTIGATION	"6089"	3.0860.007930
338	ADVANCES IN THERAPY	"2616"	3.0850.005370
338	Science China-Life Sciences	"2018"	3.0850.005170
340	INFECTION CONTROL AND HOSPITAL EPIDEMIOLOGY	"10374"	3.0840.019420
341	Journal of Exposure Science and Environmental Epidemiology	"3391"	3.0830.004840
342	ATHEROSCLEROSIS SUPPLEMENTS	6883.0780.000690
343	American Journal of Translational Research	"3677"	3.0610.008470
344	AMERICAN JOURNAL OF HYPERTENSION	"8561"	3.0460.011540
345	Journal of Atherosclerosis and Thrombosis	"3081"	3.0420.004930
346	Globalization and Health	"1516"	3.0310.004670
346	Globalization and Health	"1516"	3.0310.004670
348	BMC EVOLUTIONARY BIOLOGY	"12388"	3.0270.023830
349	ANGIOLOGY	"2879"	3.0220.003510
350	AIDS AND BEHAVIOR	"8831"	3.0170.021670
351	AMERICAN JOURNAL OF MEDICAL GENETICS PART B-NEUROPSYCHIATRIC GENETICS	"4061"	3.0160.006140
352	MEDICAL DECISION MAKING	"4718"	3.0120.009240
353	ANNALS OF MEDICINE	"4276"	3.0070.005650
353	SOCIAL SCIENCE & MEDICINE	"40645"	3.0070.051950
353	SOCIAL SCIENCE & MEDICINE	"40645"	3.0070.051950
356	SHOCK	"7437"	3.0050.011660
357	HEALTH & PLACE	"5894"	3.0000.011380
357	HEALTH & PLACE	"5894"	3.0000.011380
357	KIDNEY & BLOOD PRESSURE RESEARCH	"1524"	3.0000.002640
360	ENVIRONMENTAL GEOCHEMISTRY AND HEALTH	"2841"	2.9940.003110
361	Cardiovascular Toxicology	"1119"	2.9890.001660
362	INTERNATIONAL JOURNAL OF MEDICAL INFORMATICS	"4584"	2.9570.006590
363	WOUND REPAIR AND REGENERATION	"5625"	2.9520.006300
364	DISEASE MARKERS	"3183"	2.9490.007020
365	JOURNAL OF HUMAN GENETICS	"3864"	2.9420.007670
366	JOURNAL OF CARDIOVASCULAR PHARMACOLOGY AND THERAPEUTICS	"1194"	2.9360.003030
367	CEREBROVASCULAR DISEASES	"5911"	2.9310.009520
368	MICROBES AND INFECTION	"6655"	2.9240.006120
369	Plant Genome	"1238"	2.9230.003030
370	Journal of Cardiology	"2894"	2.9180.006250
371	Comparative Biochemistry and Physiology D-Genomics & Proteomics	8912.9130.001530
372	GENOMICS	"8930"	2.9100.008140
373	CHROMOSOME RESEARCH	"2629"	2.9090.003350
374	RISK ANALYSIS	"8510"	2.8980.010930
375	CIRCULATION JOURNAL	"9358"	2.8950.019280
376	JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES B-STATISTICAL METHODOLOGY	"22476"	2.8940.013590
377	Cancer Epidemiology	"2796"	2.8880.009460
378	CELL TRANSPLANTATION	"5255"	2.8850.009410
378	Environmental Microbiology Reports	"2780"	2.8850.007280
378	Journal of Diabetes Research	"2650"	2.8850.008780
381	JOURNAL OF BIOMEDICAL INFORMATICS	"5871"	2.8820.008350
382	ARTIFICIAL INTELLIGENCE IN MEDICINE	"2097"	2.8790.002870
383	JOURNAL OF CARDIOVASCULAR ELECTROPHYSIOLOGY	"7676"	2.8730.014360
384	Clinical and Vaccine Immunology	"5741"	2.8720.011430
385	MINERVA MEDICA	7262.8630.000910
386	Molecular Oral Microbiology	9192.8530.002150
387	MUTAGENESIS	"3554"	2.8400.003130
388	BMC MICROBIOLOGY	"9703"	2.8290.018030
389	Administration and Policy in Mental Health and Mental Health Services Research	"2320"	2.8210.003940
390	TRANSACTIONS OF THE ROYAL SOCIETY OF TROPICAL MEDICINE AND HYGIENE	"8744"	2.8200.006100
391	Gut Pathogens	8642.8090.001930
392	ANNALS OF EPIDEMIOLOGY	"6531"	2.8040.010330
393	MICROCIRCULATION	"2444"	2.7970.003610
394	SCANDINAVIAN JOURNAL OF WORK ENVIRONMENT & HEALTH	"4874"	2.7920.004840
394	SCANDINAVIAN JOURNAL OF WORK ENVIRONMENT & HEALTH	"4874"	2.7920.004840
396	JOURNAL OF ASSISTED REPRODUCTION AND GENETICS	"4406"	2.7880.010180
397	CLINICAL AND EXPERIMENTAL MEDICINE	"1134"	2.7870.001970
398	PATIENT EDUCATION AND COUNSELING	"11990"	2.7850.016310
399	INTERNATIONAL JOURNAL OF MOLECULAR MEDICINE	"8674"	2.7840.014310
400	EUROPEAN JOURNAL OF PUBLIC HEALTH	"5511"	2.7820.013350
400	EUROPEAN JOURNAL OF PUBLIC HEALTH	"5511"	2.7820.013350
400	PAIN MEDICINE	"6123"	2.7820.012240
400	PHYSIOLOGICAL GENOMICS	"4519"	2.7820.005360
404	PRENATAL DIAGNOSIS	"6071"	2.7790.011160
404	THROMBOSIS RESEARCH	"10486"	2.7790.021650
406	MICROBIOLOGICAL RESEARCH	"3611"	2.7770.005690
407	Journal of Transport & Health	6212.7740.001450
407	NEUROMODULATION	"2148"	2.7740.004860
409	CARDIOVASCULAR DRUGS AND THERAPY	"1942"	2.7710.003340
410	JOURNAL OF VASCULAR AND INTERVENTIONAL RADIOLOGY	"9021"	2.7580.012460
411	ANAEROBE	"3511"	2.7420.005810
411	G3-Genes Genomes Genetics	"4497"	2.7420.021190
413	American Journal of Cardiovascular Drugs	"1063"	2.7410.001860
414	MOLECULAR GENETICS AND GENOMICS	"3999"	2.7340.005830
415	CLINICAL CARDIOLOGY	"3819"	2.7330.006310
416	JOURNAL OF ENDOVASCULAR THERAPY	"3458"	2.7320.006300
417	CANCER CAUSES & CONTROL	"7748"	2.7280.013250
418	TUBERCULOSIS	"3201"	2.7270.006160
419	Molecular Diagnosis & Therapy	9262.7160.002010
420	Clinical Trials	"1965"	2.7070.008110
421	JOURNAL OF TOXICOLOGY AND ENVIRONMENTAL HEALTH-PART A-CURRENT ISSUES	"4136"	2.7060.003640
422	PROTIST	"1976"	2.7020.003270
