Journal name	ISSN	eISSN	Category	Total Citations	2020 JIF	JIF Quartile	2020 JCI	% of OA Gold
HUMAN GENE THERAPY	1043-03421557-7422	"GENETICS & HEREDITY - SCIE"	"7074"	5.695	"Q1"	1.277.47%	
MUTATION RESEARCH-REVIEWS IN MUTATION RESEARCH	1383-57421388-2139	"GENETICS & HEREDITY - SCIE"	"4185"	5.657	"Q1"	0.847.37%	
CURRENT OPINION IN GENETICS & DEVELOPMENT	0959-437X	1879-0380	"GENETICS & HEREDITY - SCIE"	"8648"	5.578	"Q1"	0.7211.03%	
Genes and Nutrition	1555-89321865-3499	"GENETICS & HEREDITY - SCIE"	"2090"	5.523	"Q1"	0.86100.00%	
Environmental Microbiome	N/A	2524-6372	"GENETICS & HEREDITY - SCIE"	"56"	5.286	"Q1"	1.27100.00%	
GENE THERAPY	0969-71281476-5462	"GENETICS & HEREDITY - SCIE"	"8112"	5.250	"Q1"	0.9618.13%	
CHROMOSOME RESEARCH	0967-38491573-6849	"GENETICS & HEREDITY - SCIE"	"2752"	5.239	"Q1"	0.8013.89%	
Microbial Genomics	2057-58582057-5858	"GENETICS & HEREDITY - SCIE"	"1939"	5.237	"Q1"	n/a	100.00%	
Biology of Sex Differences	N/A	2042-6410	"GENETICS & HEREDITY - SCIE"	"2153"	5.027	"Q1"	1.00100.00%	
GENES CHROMOSOMES & CANCER	1045-22571098-2264	"GENETICS & HEREDITY - SCIE"	"6108"	5.006	"Q1"	0.9515.49%	
JOURNAL OF INHERITED METABOLIC DISEASE	0141-89551573-2665	"GENETICS & HEREDITY - SCIE"	"8207"	4.982	"Q1"	1.2040.31%	
Epigenetics & Chromatin	N/A	1756-8935	"GENETICS & HEREDITY - SCIE"	"2461"	4.954	"Q1"	1.15100.00%	
DNA REPAIR	1568-78641568-7856	"GENETICS & HEREDITY - SCIE"	"7382"	4.913	"Q1"	0.9213.62%	
Forensic Science International-Genetics	1872-49731878-0326	"GENETICS & HEREDITY - SCIE"	"6013"	4.882	"Q1"	1.7610.00%	
HUMAN MUTATION	1059-77941098-1004	"GENETICS & HEREDITY - SCIE"	"16381"	4.878	"Q2"	1.1620.47%	
MOLECULAR GENETICS AND METABOLISM	1096-71921096-7206	"GENETICS & HEREDITY - SCIE"	"9612"	4.797	"Q2"	0.9620.21%	
Epigenomics	1750-19111750-192X	"GENETICS & HEREDITY - SCIE"	"3848"	4.778	"Q2"	1.0316.98%	
Human Genomics	1473-95421479-7364	"GENETICS & HEREDITY - SCIE"	"2039"	4.639	"Q2"	0.83100.00%	
Frontiers in Genetics	N/A	1664-8021	"GENETICS & HEREDITY - SCIE"	"18705"	4.599	"Q2"	0.92100.00%	
JOURNAL OF MOLECULAR MEDICINE-JMM	0946-27161432-1440	"GENETICS & HEREDITY - SCIE"	"9445"	4.599	"Q2"	1.1226.49%	
JOURNAL OF GENE MEDICINE	1099-498X	1521-2254	"GENETICS & HEREDITY - SCIE"	"2294"	4.565	"Q2"	0.735.86%	
GENETICS	0016-67311943-2631	"GENETICS & HEREDITY - SCIE"	"46408"	4.562	"Q2"	1.0817.05%	
Epigenetics	1559-22941559-2308	"GENETICS & HEREDITY - SCIE"	"6347"	4.528	"Q2"	1.0113.90%	
DNA RESEARCH	1340-28381756-1663	"GENETICS & HEREDITY - SCIE"	"3726"	4.458	"Q2"	1.12100.00%	
CLINICAL GENETICS	0009-91631399-0004	"GENETICS & HEREDITY - SCIE"	"9278"	4.438	"Q2"	0.9210.70%	
CURRENT GENE THERAPY	1566-52321875-5631	"GENETICS & HEREDITY - SCIE"	"1576"	4.391	"Q2"	0.500.00%	
CHROMOSOMA	0009-59151432-0886	"GENETICS & HEREDITY - SCIE"	"3633"	4.316	"Q2"	0.7126.00%	
GENETICS SELECTION EVOLUTION	0999-193X	1297-9686	"GENETICS & HEREDITY - SCIE"	"4473"	4.297	"Q2"	1.60100.00%	
MOLECULAR PHYLOGENETICS AND EVOLUTION	1055-79031095-9513	"GENETICS & HEREDITY - SCIE"	"22497"	4.286	"Q2"	1.053.87%	
Journal of Genetics and Genomics	1673-85271873-5533	"GENETICS & HEREDITY - SCIE"	"2754"	4.275	"Q2"	0.6610.32%	
EUROPEAN JOURNAL OF HUMAN GENETICS	1018-48131476-5438	"GENETICS & HEREDITY - SCIE"	"12623"	4.246	"Q2"	0.9128.68%	
Briefings in Functional Genomics	2041-26492041-2657	"GENETICS & HEREDITY - SCIE"	"2186"	4.241	"Q2"	0.8422.13%	
MITOCHONDRION	1567-72491872-8278	"GENETICS & HEREDITY - SCIE"	"4982"	4.160	"Q2"	0.819.94%	
HUMAN GENETICS	0340-67171432-1203	"GENETICS & HEREDITY - SCIE"	"10191"	4.132	"Q2"	1.0925.51%	
Orphanet Journal of Rare Diseases	N/A	1750-1172	"GENETICS & HEREDITY - SCIE"	"10742"	4.123	"Q2"	0.92100.00%	
Genes	N/A	2073-4425	"GENETICS & HEREDITY - SCIE"	"11556"	4.096	"Q2"	0.78100.00%	
Plant Genome	N/A	1940-3372	"GENETICS & HEREDITY - SCIE"	"2353"	4.089	"Q2"	1.17100.00%	
Molecular Diagnosis & Therapy	1177-10621179-2000	"GENETICS & HEREDITY - SCIE"	"1598"	4.074	"Q2"	0.8212.37%	
Cancer Genomics & Proteomics	1109-65351790-6245	"GENETICS & HEREDITY - SCIE"	"1541"	4.069	"Q2"	0.780.00%	
Mobile DNA	1759-87531759-8753	"GENETICS & HEREDITY - SCIE"	"1212"	4.060	"Q2"	0.86100.00%	
BMC GENOMICS	1471-21641471-2164	"GENETICS & HEREDITY - SCIE"	"51069"	3.969	"Q2"	0.99100.00%	
AMERICAN JOURNAL OF MEDICAL GENETICS PART C-SEMINARS IN MEDICAL GENETICS	1552-48681552-4876	"GENETICS & HEREDITY - SCIE"	"3067"	3.908	"Q2"	1.1110.95%	
CURRENT GENETICS	0172-80831432-0983	"GENETICS & HEREDITY - SCIE"	"4615"	3.886	"Q2"	0.6715.33%	
HEREDITY	0018-067X	1365-2540	"GENETICS & HEREDITY - SCIE"	"10968"	3.821	"Q2"	0.9828.77%	
EVOLUTION	0014-38201558-5646	"GENETICS & HEREDITY - SCIE"	"33940"	3.694	"Q2"	1.0216.45%	
GENE	0378-11191879-0038	"GENETICS & HEREDITY - SCIE"	"33228"	3.688	"Q2"	0.880.98%	
AMERICAN JOURNAL OF MEDICAL GENETICS PART B-NEUROPSYCHIATRIC GENETICS	1552-48411552-485X	"GENETICS & HEREDITY - SCIE"	"4408"	3.568	"Q2"	0.9118.29%	
PHARMACOGENOMICS JOURNAL	1470-269X	1473-1150	"GENETICS & HEREDITY - SCIE"	"3275"	3.550	"Q2"	0.9814.34%	
FUNGAL GENETICS AND BIOLOGY	1087-18451096-0937	"GENETICS & HEREDITY - SCIE"	"6678"	3.495	"Q2"	0.9614.59%	
Neurology-Genetics	2376-78392376-7839	"GENETICS & HEREDITY - SCIE"	"1218"	3.485	"Q2"	0.90100.00%	
PLASMID	0147-619X	1095-9890	"GENETICS & HEREDITY - SCIE"	"1956"	3.466	"Q2"	0.637.61%	
DISEASE MARKERS	0278-02401875-8630	"GENETICS & HEREDITY - SCIE"	"5699"	3.434	"Q2"	0.77100.00%	
Genome Biology and Evolution	1759-66531759-6653	"GENETICS & HEREDITY - SCIE"	"8785"	3.416	"Q2"	0.8899.87%	
JOURNAL OF ASSISTED REPRODUCTION AND GENETICS	1058-04681573-7330	"GENETICS & HEREDITY - SCIE"	"7604"	3.412	"Q2"	0.959.90%	
FUNCTIONAL & INTEGRATIVE GENOMICS	1438-793X	1438-7948	"GENETICS & HEREDITY - SCIE"	"2453"	3.410	"Q2"	0.8810.22%	
OMICS-A JOURNAL OF INTEGRATIVE BIOLOGY	1536-23101557-8100	"GENETICS & HEREDITY - SCIE"	"4250"	3.374	"Q2"	0.584.83%	
DNA AND CELL BIOLOGY	1044-54981557-7430	"GENETICS & HEREDITY - SCIE"	"4750"	3.311	"Q2"	0.742.06%	
MOLECULAR GENETICS AND GENOMICS	1617-46151617-4623	"GENETICS & HEREDITY - SCIE"	"5509"	3.291	"Q2"	0.7610.05%	
HEREDITAS	1601-52231601-5223	"GENETICS & HEREDITY - SCIE"	"1955"	3.271	"Q3"	0.64100.00%	
BMC EVOLUTIONARY BIOLOGY	1471-21481471-2148	"GENETICS & HEREDITY - SCIE"	"14888"	3.260	"Q3"	0.83100.00%	
JOURNAL OF APPLIED GENETICS	1234-19832190-3883	"GENETICS & HEREDITY - SCIE"	"1878"	3.240	"Q3"	0.5842.69%	
ENVIRONMENTAL AND MOLECULAR MUTAGENESIS	0893-66921098-2280	"GENETICS & HEREDITY - SCIE"	"4142"	3.216	"Q3"	0.7612.50%	
JOURNAL OF HUMAN GENETICS	1434-51611435-232X	"GENETICS & HEREDITY - SCIE"	"5269"	3.172	"Q3"	0.778.16%	
ANIMAL GENETICS	0268-91461365-2052	"GENETICS & HEREDITY - SCIE"	"4848"	3.169	"Q3"	1.0912.96%	
G3-Genes Genomes Genetics	2160-18362160-1836	"GENETICS & HEREDITY - SCIE"	"8340"	3.154	"Q3"	0.80100.00%	
PHYSIOLOGICAL GENOMICS	1094-83411531-2267	"GENETICS & HEREDITY - SCIE"	"5242"	3.107	"Q3"	0.619.91%	
BMC Medical Genomics	N/A	1755-8794	"GENETICS & HEREDITY - SCIE"	"3830"	3.063	"Q3"	0.77100.00%	
PRENATAL DIAGNOSIS	0197-38511097-0223	"GENETICS & HEREDITY - SCIE"	"7537"	3.050	"Q3"	0.8612.30%	
MUTAGENESIS	0267-83571464-3804	"GENETICS & HEREDITY - SCIE"	"3982"	3.000	"Q3"	0.855.98%	
MAMMALIAN GENOME	0938-89901432-1777	"GENETICS & HEREDITY - SCIE"	"3060"	2.957	"Q3"	0.5333.88%	
MUTATION RESEARCH-GENETIC TOXICOLOGY AND ENVIRONMENTAL MUTAGENESIS	1383-57181879-3592	"GENETICS & HEREDITY - SCIE"	"7037"	2.873	"Q3"	0.739.30%	
IMMUNOGENETICS	0093-77111432-1211	"GENETICS & HEREDITY - SCIE"	"3776"	2.846	"Q3"	0.6025.75%	
BEHAVIOR GENETICS	0001-82441573-3297	"GENETICS & HEREDITY - SCIE"	"3306"	2.805	"Q3"	0.8130.89%	
AMERICAN JOURNAL OF MEDICAL GENETICS PART A	1552-48251552-4833	"GENETICS & HEREDITY - SCIE"	"15065"	2.802	"Q3"	0.617.73%	
Molecular Genetics and Metabolism Reports	N/A	2214-4269	"GENETICS & HEREDITY - SCIE"	"1066"	2.797	"Q3"	0.58100.00%	
BMC GENETICS	1471-21561471-2156	"GENETICS & HEREDITY - SCIE"	"5363"	2.797	"Q3"	0.69100.00%	
EVOLUTIONARY ECOLOGY	0269-76531573-8477	"GENETICS & HEREDITY - SCIE"	"4056"	2.717	"Q3"	0.6114.11%	
European Journal of Medical Genetics	1769-72121878-0849	"GENETICS & HEREDITY - SCIE"	"3301"	2.708	"Q3"	0.625.43%	
GENES AND IMMUNITY	1466-48791476-5470	"GENETICS & HEREDITY - SCIE"	"3029"	2.676	"Q3"	0.7816.82%	
Comparative Biochemistry and Physiology D-Genomics & Proteomics	1744-117X	1878-0407	"GENETICS & HEREDITY - SCIE"	"1466"	2.674	"Q3"	0.713.65%	
NEUROGENETICS	1364-67451364-6753	"GENETICS & HEREDITY - SCIE"	"1390"	2.660	"Q3"	0.7913.95%	
JOURNAL OF HEREDITY	0022-15031465-7333	"GENETICS & HEREDITY - SCIE"	"6842"	2.645	"Q3"	0.7112.81%	
MOLECULAR BREEDING	1380-37431572-9788	"GENETICS & HEREDITY - SCIE"	"6948"	2.589	"Q3"	0.8810.71%	
CONSERVATION GENETICS	1566-06211572-9737	"GENETICS & HEREDITY - SCIE"	"4547"	2.538	"Q3"	0.6217.46%	
Journal of Genetic Counseling	1059-77001573-3599	"GENETICS & HEREDITY - SCIE"	"3064"	2.537	"Q3"	0.878.43%	
Cancer Genetics	2210-77622210-7770	"GENETICS & HEREDITY - SCIE"	"1569"	2.523	"Q3"	0.617.77%	
GENESIS	1526-954X	1526-968X	"GENETICS & HEREDITY - SCIE"	"4396"	2.487	"Q3"	0.4312.10%	
PSYCHIATRIC GENETICS	0955-88291473-5873	"GENETICS & HEREDITY - SCIE"	"1003"	2.458	"Q3"	0.401.39%	
MUTATION RESEARCH-FUNDAMENTAL AND MOLECULAR MECHANISMS OF MUTAGENESIS	1386-19641873-135X	"GENETICS & HEREDITY - SCIE"	"7739"	2.433	"Q3"	0.522.17%	
JOURNAL OF EVOLUTIONARY BIOLOGY	1010-061X	1420-9101	"GENETICS & HEREDITY - SCIE"	"11780"	2.411	"Q3"	0.6718.86%	
Human Gene Therapy Methods	1946-65361946-6544	"GENETICS & HEREDITY - SCIE"	"688"	2.396	"Q3"	0.6512.50%	
JOURNAL OF MOLECULAR EVOLUTION	0022-28441432-1432	"GENETICS & HEREDITY - SCIE"	"8871"	2.395	"Q3"	0.4716.41%	
Familial Cancer	1389-96001573-7292	"GENETICS & HEREDITY - SCIE"	"2174"	2.375	"Q3"	0.5220.49%	
VIRUS GENES	0920-85691572-994X	"GENETICS & HEREDITY - SCIE"	"3101"	2.332	"Q3"	0.539.36%	
International Journal of Genomics	2314-436X	2314-4378	"GENETICS & HEREDITY - SCIE"	"1224"	2.326	"Q3"	0.46100.00%	
Tree Genetics & Genomes	1614-29421614-2950	"GENETICS & HEREDITY - SCIE"	"3336"	2.297	"Q3"	0.8210.73%	
CURRENT GENOMICS	1389-20291875-5488	"GENETICS & HEREDITY - SCIE"	"2721"	2.236	"Q3"	0.380.00%	
NEW GENETICS AND SOCIETY	1463-67781469-9915	"GENETICS & HEREDITY - SCIE"	"491"	2.189	"Q3"	0.8917.57%	
Molecular Genetics & Genomic Medicine	2324-92692324-9269	"GENETICS & HEREDITY - SCIE"	"2408"	2.183	"Q3"	0.55100.00%	
GENOME	0831-27961480-3321	"GENETICS & HEREDITY - SCIE"	"4699"	2.166	"Q3"	0.561.42%	
GENETIC EPIDEMIOLOGY	0741-03951098-2272	"GENETICS & HEREDITY - SCIE"	"3316"	2.135	"Q3"	0.5918.64%	
BMC Medical Genetics	N/A	1471-2350	"GENETICS & HEREDITY - SCIE"	"4080"	2.103	"Q3"	0.47100.00%	
Pharmacogenetics and Genomics	1744-68721744-6880	"GENETICS & HEREDITY - SCIE"	"3514"	2.089	"Q4"	0.764.82%	
Genes and Environment	1880-70461880-7062	"GENETICS & HEREDITY - SCIE"	"389"	2.085	"Q4"	0.48100.00%	
Lifestyle Genomics	2504-31612504-3188	"GENETICS & HEREDITY - SCIE"	"62"	2.083	"Q4"	0.3091.30%	
Molecular Cytogenetics	N/A	1755-8166	"GENETICS & HEREDITY - SCIE"	"1029"	2.009	"Q4"	0.36100.00%	
Public Health Genomics	1662-42461662-8063	"GENETICS & HEREDITY - SCIE"	"914"	2.000	"Q4"	0.487.94%	
Cellular Reprogramming	2152-49712152-4998	"GENETICS & HEREDITY - SCIE"	"806"	1.987	"Q4"	0.456.19%	
Advances in Genetics	0065-2660	N/A	"GENETICS & HEREDITY - SCIE"	"1773"	1.944	"Q4"	n/a	0.00%	
EVOLUTION & DEVELOPMENT	1520-541X	1525-142X	"GENETICS & HEREDITY - SCIE"	"2032"	1.930	"Q4"	0.5211.90%	
GENES TO CELLS	1356-95971365-2443	"GENETICS & HEREDITY - SCIE"	"4416"	1.891	"Q4"	0.3812.28%	
BIOCHEMICAL GENETICS	0006-29281573-4927	"GENETICS & HEREDITY - SCIE"	"1488"	1.890	"Q4"	0.465.75%	
Genes & Genomics	1976-95712092-9293	"GENETICS & HEREDITY - SCIE"	"1201"	1.839	"Q4"	0.364.41%	
CRITICAL REVIEWS IN EUKARYOTIC GENE EXPRESSION	1045-44032162-6502	"GENETICS & HEREDITY - SCIE"	"1282"	1.807	"Q4"	0.460.00%	
OPHTHALMIC GENETICS	1381-68101744-5094	"GENETICS & HEREDITY - SCIE"	"1372"	1.803	"Q4"	0.451.83%	
Comparative Cytogenetics	1993-07711993-078X	"GENETICS & HEREDITY - SCIE"	"494"	1.800	"Q4"	0.54100.00%	
Genetic Testing and Molecular Biomarkers	1945-02651945-0257	"GENETICS & HEREDITY - SCIE"	"1808"	1.795	"Q4"	0.362.75%	
GENETICS AND MOLECULAR BIOLOGY	1415-47571678-4685	"GENETICS & HEREDITY - SCIE"	"3263"	1.771	"Q4"	0.38100.00%	
Medizinische Genetik	0936-59311863-5490	"GENETICS & HEREDITY - SCIE"	"136"	1.724	"Q4"	0.2553.49%	
Marine Genomics	1874-77871876-7478	"GENETICS & HEREDITY - SCIE"	"1306"	1.710	"Q4"	0.5410.10%	
ANNALS OF HUMAN GENETICS	0003-48001469-1809	"GENETICS & HEREDITY - SCIE"	"2029"	1.670	"Q4"	0.419.30%	
CYTOGENETIC AND GENOME RESEARCH	1424-85811424-859X	"GENETICS & HEREDITY - SCIE"	"3330"	1.636	"Q4"	0.301.55%	
Molecular Syndromology	1661-87691661-8777	"GENETICS & HEREDITY - SCIE"	"875"	1.631	"Q4"	0.305.30%	
Genetics Research	0016-67231469-5073	"GENETICS & HEREDITY - SCIE"	"2126"	1.588	"Q4"	0.2669.57%	
Twin Research and Human Genetics	1832-42741839-2628	"GENETICS & HEREDITY - SCIE"	"2101"	1.587	"Q4"	0.4724.89%	
THEORETICAL POPULATION BIOLOGY	0040-58091096-0325	"GENETICS & HEREDITY - SCIE"	"4374"	1.570	"Q4"	0.4610.37%	
GENES & GENETIC SYSTEMS	1341-75681880-5779	"GENETICS & HEREDITY - SCIE"	"880"	1.517	"Q4"	0.241.15%	
Mitochondrial DNA Part A	2470-13942470-1408	"GENETICS & HEREDITY - SCIE"	"1680"	1.514	"Q4"	0.340.69%	
International Journal of Immunogenetics	1744-31211744-313X	"GENETICS & HEREDITY - SCIE"	"791"	1.466	"Q4"	0.336.02%	
JOURNAL OF NEUROGENETICS	0167-70631563-5260	"GENETICS & HEREDITY - SCIE"	"807"	1.250	"Q4"	0.3213.39%	
GENE EXPRESSION PATTERNS	1567-133X	1872-7298	"GENETICS & HEREDITY - SCIE"	"1536"	1.224	"Q4"	0.339.45%	
JOURNAL OF GENETICS	0022-13330973-7731	"GENETICS & HEREDITY - SCIE"	"2232"	1.166	"Q4"	0.250.00%	
GENETICA	0016-67071573-6857	"GENETICS & HEREDITY - SCIE"	"2983"	1.082	"Q4"	0.312.68%	
Conservation Genetics Resources	1877-72521877-7260	"GENETICS & HEREDITY - SCIE"	"2398"	0.973	"Q4"	0.305.57%	
CARYOLOGIA	0008-71142165-5391	"GENETICS & HEREDITY - SCIE"	"953"	0.918	"Q4"	0.2454.69%	
CLINICAL DYSMORPHOLOGY	0962-88271473-5717	"GENETICS & HEREDITY - SCIE"	"633"	0.816	"Q4"	0.180.74%	
SILVAE GENETICA	0037-53492509-8934	"GENETICS & HEREDITY - SCIE"	"986"	0.795	"Q4"	0.2972.88%	
CYTOLOGIA	0011-4545	N/A	"GENETICS & HEREDITY - SCIE"	"1071"	0.791	"Q4"	0.160.00%	
Genetika-Belgrade	0534-00121820-6069	"GENETICS & HEREDITY - SCIE"	"547"	0.761	"Q4"	0.20100.00%	
Mitochondrial DNA Part B-Resources	N/A	2380-2359	"GENETICS & HEREDITY - SCIE"	"2584"	0.658	"Q4"	0.210.07%	
RUSSIAN JOURNAL OF GENETICS	1022-79541608-3369	"GENETICS & HEREDITY - SCIE"	"1850"	0.581	"Q4"	0.120.00%	
Cytology and Genetics	0095-45271934-9440	"GENETICS & HEREDITY - SCIE"	"376"	0.579	"Q4"	0.130.00%	
HUMAN BIOLOGY	0018-71431534-6617	"GENETICS & HEREDITY - SCIE"	"1866"	0.553	"Q4"	0.200.00%	
Balkan Journal of Medical Genetics	1311-01601311-0160	"GENETICS & HEREDITY - SCIE"	"210"	0.519	"Q4"	0.13100.00%	
HUMAN HEREDITY	0001-56521423-0062	"GENETICS & HEREDITY - SCIE"	"975"	0.444	"Q4"	0.130.00%	
INTERNATIONAL JOURNAL OF HUMAN GENETICS	0972-37572456-6330	"GENETICS & HEREDITY - SCIE"	"152"	0.226	"Q4"	0.040.00%	
Meta Gene	N/A	2214-5400	"GENETICS & HEREDITY - ESCI"	"722"	n/a	"n/a"	0.151.14%	
Epigenomes	N/A	2075-4655	"GENETICS & HEREDITY - ESCI"	"129"	n/a	"n/a"	0.32100.00%	
Gene Reports	N/A	2452-0144	"GENETICS & HEREDITY - ESCI"	"616"	n/a	"n/a"	0.180.40%	
AIMS Genetics	2377-11432377-1143	"GENETICS & HEREDITY - ESCI"	"116"	n/a	"n/a"	0.30100.00%	
Epigenetics Insights	2516-86572516-8657	"GENETICS & HEREDITY - ESCI"	"49"	n/a	"n/a"	0.44100.00%	
Human Genome Variation	N/A	2054-345X	"GENETICS & HEREDITY - ESCI"	"434"	n/a	"n/a"	0.43100.00%	
International Journal of Neonatal Screening	N/A	2409-515X	"GENETICS & HEREDITY - ESCI"	"251"	n/a	"n/a"	0.58100.00%	
Environmental Epigenetics	2058-58882058-5888	"GENETICS & HEREDITY - ESCI"	"461"	n/a	"n/a"	0.95100.00%	
Journal of Community Genetics	1868-310X	1868-6001	"GENETICS & HEREDITY - ESCI"	"840"	n/a	"n/a"	0.5939.74%	
GENETICS AND MOLECULAR RESEARCH	N/A	1676-5680	"GENETICS & HEREDITY - ESCI"	"7706"	n/a	"n/a"	0.160.00%	
Application of Clinical Genetics	N/A	1178-704X	"GENETICS & HEREDITY - ESCI"	"673"	n/a	"n/a"	0.45100.00%	
Current Genetic Medicine Reports	N/A	2167-4876	"GENETICS & HEREDITY - ESCI"	"257"	n/a	"n/a"	0.4133.87%	
Global Medical Genetics	2699-94042699-9404	"GENETICS & HEREDITY - ESCI"	"3"	n/a	"n/a"	n/a	75.00%	
