Journal name,ISSN,eISSN,Category,Total Citations,2020 JIF,JIF Quartile,2020 JCI,% of OA Gold
Cardiovascular Toxicology,1530-7905,1559-0259,"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","1,772",3.231,"Q2",0.72,4.43%,
Heart Failure Clinics,1551-7136,N/A,"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","1,324",3.179,"Q2",0.62,0.68%,
Journal of Cardiology,0914-5087,1876-4738,"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","4,161",3.159,"Q2",0.64,5.49%,
Kardiologia Polska,0022-9032,1897-4279,"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","2,307",3.108,"Q2",0.46,3.57%,
JOURNAL OF CARDIOVASCULAR PHARMACOLOGY,0160-2446,1533-4023,"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","6,305",3.105,"Q2",0.74,7.65%,
Cardiovascular Therapeutics,1755-5914,1755-5922,"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","1,723",3.023,"Q3",0.62,60.81%,
Pulmonary Circulation,2045-8932,2045-8940,"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","2,397",3.017,"Q3",0.59,98.56%,
CIRCULATION JOURNAL,1346-9843,1347-4820,"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","11,622",2.993,"Q3",0.69,9.96%,
Heart Lung and Circulation,1443-9506,1444-2892,"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","4,050",2.975,"Q3",0.54,1.74%,
Current Cardiology Reports,1523-3782,1534-3170,"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","3,221",2.931,"Q3",0.48,9.00%,
Reviews in Cardiovascular Medicine,1530-6550,2153-8174,"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","464",2.930,"Q3",0.31,100.00%,
CLINICAL CARDIOLOGY,0160-9289,1932-8737,"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","5,571",2.882,"Q3",0.62,63.88%,
Cardiovascular Diagnosis and Therapy,2223-3652,2223-3660,"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","1,785",2.845,"Q3",0.53,83.19%,
AMERICAN JOURNAL OF CARDIOLOGY,0002-9149,1879-1913,"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","40,641",2.778,"Q3",0.68,4.77%,
CARDIOVASCULAR AND INTERVENTIONAL RADIOLOGY,0174-1551,1432-086X,"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","7,145",2.740,"Q3",0.64,13.80%,
Cardiology Journal,1897-5593,1898-018X,"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","1,603",2.737,"Q3",0.47,100.00%,
CATHETERIZATION AND CARDIOVASCULAR INTERVENTIONS,1522-1946,1522-726X,"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","11,415",2.692,"Q3",0.62,7.13%,
Acta Cardiologica Sinica,1011-6842,N/A,"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","836",2.672,"Q3",0.51,0.00%,
Cardiology in Review,1061-5377,1538-4683,"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","1,384",2.644,"Q3",0.44,2.22%,
JOURNAL OF CARDIOTHORACIC AND VASCULAR ANESTHESIA,1053-0770,1532-8422,"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","7,080",2.628,"Q3",0.58,2.07%,
Cardiovascular Engineering and Technology,1869-408X,1869-4098,"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","783",2.495,"Q3",0.51,15.03%,
JOURNAL OF CARDIOVASCULAR PHARMACOLOGY AND THERAPEUTICS,1074-2484,1940-4034,"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","1,644",2.457,"Q3",0.59,5.80%,
Netherlands Heart Journal,1568-5888,1876-6250,"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","1,745",2.380,"Q3",0.54,97.88%,
INTERNATIONAL JOURNAL OF CARDIOVASCULAR IMAGING,1569-5794,1573-0743,"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","4,056",2.357,"Q3",0.62,16.92%,
Archives of Cardiovascular Diseases,1875-2136,1875-2128,"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","2,077",2.340,"Q3",0.51,1.35%,
JOURNAL OF THROMBOSIS AND THROMBOLYSIS,0929-5305,1573-742X,"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","4,446",2.300,"Q3",0.53,12.81%,
BMC Cardiovascular Disorders,1471-2261,1471-2261,"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","5,150",2.298,"Q3",0.51,100.00%,
JOURNAL OF INTERVENTIONAL CARDIOLOGY,0896-4327,1540-8183,"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","1,653",2.279,"Q3",0.48,56.76%,
Annals of Thoracic Medicine,1817-1737,1998-3557,"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","1,050",2.219,"Q3",0.47,100.00%,
CARDIOLOGY CLINICS,0733-8651,1558-2264,"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","1,478",2.213,"Q3",0.57,0.00%,
HEART & LUNG,0147-9563,1527-3288,"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","3,080",2.210,"Q3",0.76,2.80%,
CARDIOVASCULAR PATHOLOGY,1054-8807,1879-1336,"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","2,501",2.185,"Q3",0.59,6.18%,
CURRENT OPINION IN CARDIOLOGY,0268-4705,1531-7080,"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","2,496",2.161,"Q3",0.41,1.05%,
Journal of Cardiovascular Medicine,1558-2027,1558-2035,"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","2,073",2.160,"Q3",0.34,1.15%,
Journal of Cardiovascular Nursing,0889-4655,1550-5049,"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","2,462",2.083,"Q3",0.92,3.95%,
Journal of Cardiopulmonary Rehabilitation and Prevention,1932-7501,1932-751X,"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","2,097",2.081,"Q3",0.41,0.44%,
Cardiovascular Ultrasound,N/A,1476-7120,"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","1,327",2.062,"Q3",0.50,100.00%,
CardioRenal Medicine,1664-3828,1664-5502,"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","652",2.041,"Q3",0.52,8.94%,
HEART AND VESSELS,0910-8327,1615-2573,"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","2,953",2.037,"Q3",0.47,10.25%,
JOURNAL OF INVASIVE CARDIOLOGY,1042-3931,1557-2501,"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","2,124",2.022,"Q3",0.36,0.00%,
Congenital Heart Disease,1747-079X,1747-0803,"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","2,153",2.007,"Q4",0.47,14.80%,
Seminars in Thoracic and Cardiovascular Surgery,1043-0679,1532-9488,"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","1,828",2.006,"Q4",0.50,4.17%,
Arquivos Brasileiros de Cardiologia,0066-782X,N/A,"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","3,975",2.000,"Q4",0.42,100.00%,
PACE-PACING AND CLINICAL ELECTROPHYSIOLOGY,0147-8389,1540-8159,"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","6,080",1.976,"Q4",0.40,8.10%,
PERFUSION-UK,0267-6591,1477-111X,"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","1,949",1.972,"Q4",0.41,5.79%,
Interactive Cardiovascular and Thoracic Surgery,1569-9293,1569-9285,"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","6,701",1.905,"Q4",0.54,0.36%,
JOURNAL OF INTERVENTIONAL CARDIAC ELECTROPHYSIOLOGY,1383-875X,1572-8595,"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","2,285",1.900,"Q4",0.41,9.07%,
JOURNAL OF CARDIOVASCULAR SURGERY,0021-9509,1827-191X,"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","2,091",1.888,"Q4",0.40,0.00%,
CARDIOLOGY,0008-6312,1421-9751,"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","2,852",1.869,"Q4",0.42,6.20%,
Cardiology Research and Practice,2090-8016,2090-0597,"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","1,119",1.866,"Q4",0.37,100.00%,
International Heart Journal,1349-2365,1349-3299,"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","2,247",1.862,"Q4",0.45,0.00%,
THORACIC AND CARDIOVASCULAR SURGEON,0171-6425,1439-1902,"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","2,225",1.827,"Q4",0.41,2.22%,
EUROPEAN HEART JOURNAL SUPPLEMENTS,1520-765X,1554-2815,"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","874",1.803,"Q4",0.39,92.97%,
ECHOCARDIOGRAPHY-A JOURNAL OF CARDIOVASCULAR ULTRASOUND AND ALLIED TECHNIQUES,0742-2822,1540-8175,"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","4,061",1.724,"Q4",0.34,3.90%,
ACTA CARDIOLOGICA,0001-5385,1784-973X,"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","1,229",1.718,"Q4",0.33,0.36%,
PEDIATRIC CARDIOLOGY,0172-0643,1432-1971,"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","5,507",1.655,"Q4",0.59,8.36%,
Journal of Cardiothoracic Surgery,N/A,1749-8090,"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","2,757",1.637,"Q4",0.48,100.00%,
JOURNAL OF CARDIAC SURGERY,0886-0440,1540-8191,"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","3,035",1.620,"Q4",0.46,7.78%,
Anatolian Journal of Cardiology,2149-2263,2149-2271,"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","1,635",1.596,"Q4",0.35,100.00%,
SCANDINAVIAN CARDIOVASCULAR JOURNAL,1401-7431,1651-2006,"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","1,030",1.589,"Q4",0.35,18.38%,
Annals of Thoracic and Cardiovascular Surgery,1341-1098,2186-1005,"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","1,322",1.520,"Q4",0.48,99.33%,
General Thoracic and Cardiovascular Surgery,1863-6705,1863-6713,"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","1,831",1.517,"Q4",0.42,5.97%,
ANNALS OF NONINVASIVE ELECTROCARDIOLOGY,1082-720X,1542-474X,"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","1,666",1.468,"Q4",0.31,37.67%,
TEXAS HEART INSTITUTE JOURNAL,0730-2347,1526-6702,"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","2,217",1.455,"Q4",0.24,0.00%,
HERZ,0340-9937,1615-6692,"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","1,529",1.443,"Q4",0.30,8.53%,
CORONARY ARTERY DISEASE,0954-6928,1473-5830,"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","1,943",1.439,"Q4",0.33,4.14%,
JOURNAL OF ELECTROCARDIOLOGY,0022-0736,1532-8430,"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","3,308",1.438,"Q4",0.31,3.43%,
Postepy w Kardiologii Interwencyjnej,1734-9338,1897-4295,"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","403",1.426,"Q4",0.25,100.00%,
Revista Portuguesa de Cardiologia,0870-2551,0304-4750,"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","1,022",1.374,"Q4",0.30,100.00%,
MINERVA CARDIOANGIOLOGICA,0026-4725,1827-1618,"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","593",1.347,"Q4",0.20,0.00%,
Brazilian Journal of Cardiovascular Surgery,0102-7638,1678-9741,"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","1,136",1.312,"Q4",0.59,100.00%,
Cardiovascular Journal of Africa,1995-1892,1680-0745,"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","1,331",1.167,"Q4",0.24,0.00%,
CARDIOLOGY IN THE YOUNG,1047-9511,1467-1107,"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","3,295",1.093,"Q4",0.35,3.66%,
HEART SURGERY FORUM,1098-3511,1522-6662,"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","696",0.676,"Q4",0.17,0.00%,
KARDIOLOGIYA,0022-9040,N/A,"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","585",0.395,"Q4",0.08,88.10%,
Iranian Heart Journal,1735-7306,1735-7306,"CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI","32",n/a,"n/a",0.04,0.00%,
Journal of Arrhythmia,1880-4276,1883-2148,"CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI","879",n/a,"n/a",0.29,100.00%,
Cardiology and Therapy,2193-8261,2193-6544,"CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI","337",n/a,"n/a",0.49,100.00%,
Egyptian Heart Journal,1110-2608,2090-911X,"CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI","257",n/a,"n/a",0.16,100.00%,
Insuficiencia Cardiaca,1850-1044,1852-3862,"CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI","29",n/a,"n/a",0.01,0.00%,
Journal fur Hypertonie,1028-2327,1680-9378,"CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI","6",n/a,"n/a",0.02,0.00%,
Nepalese Heart Journal,2091-2978,2091-2978,"CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI","44",n/a,"n/a",0.05,95.24%,
Pakistan Heart Journal,0048-2706,2227-9199,"CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI","59",n/a,"n/a",0.02,100.00%,
IJC Heart & Vasculature,N/A,2352-9067,"CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI","984",n/a,"n/a",0.64,100.00%,
Journal fur Kardiologie,1024-0098,1680-936X,"CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI","53",n/a,"n/a",0.03,0.00%,
CURRENT CARDIOLOGY REVIEWS,1573-403X,1875-6557,"CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI","1,607",n/a,"n/a",0.41,0.00%,
Case Reports in Cardiology,2090-6404,2090-6412,"CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI","488",n/a,"n/a",0.13,100.00%,
Echo Research and Practice,2055-0464,2055-0464,"CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI","382",n/a,"n/a",0.33,100.00%,
European Cardiology Review,1758-3756,1758-3756,"CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI","433",n/a,"n/a",0.76,76.25%,
JRSM Cardiovascular Disease,N/A,2048-0040,"CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI","325",n/a,"n/a",0.35,100.00%,
Journal of Echocardiography,1349-0222,1880-344X,"CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI","241",n/a,"n/a",0.37,13.54%,
World Journal of Cardiology,1949-8462,1949-8462,"CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI","1,775",n/a,"n/a",0.36,97.17%,
Annals of Pediatric Cardiology,0974-2069,0974-5149,"CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI","630",n/a,"n/a",0.21,100.00%,
Giornale Italiano di Cardiologia,1827-6806,1972-6481,"CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI","553",n/a,"n/a",0.10,0.00%,
Current Cardiovascular Risk Reports,1932-9520,1932-9563,"CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI","482",n/a,"n/a",0.14,7.29%,
Journal of Cardiovascular Echography,2211-4122,2347-193X,"CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI","159",n/a,"n/a",0.12,0.00%,
Open Cardiovascular Medicine Journal,N/A,1874-1924,"CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI","374",n/a,"n/a",0.27,100.00%,
