Rank	Full Journal Title	Total Cites	Journal Impact Factor	Eigenfactor Score
73	JOURNAL OF HYPERTENSION	"16940"	4.171	0.02017
74	JOURNAL OF THROMBOSIS AND HAEMOSTASIS	"17598"	4.157	0.02519
75	AMERICAN HEART JOURNAL	"19814"	4.153	0.02681
76	JOURNAL OF MOLECULAR AND CELLULAR CARDIOLOGY	"14031"	4.133	0.01796
77	CARDIOVASCULAR DRUGS AND THERAPY	"2114"	4.069	0.00334
78	Circulation-Genomic and Precision Medicine	375	4.063	0.00222
79	Hellenic Journal of Cardiology	987	4.047	0.001
80	EUROPACE	"9973"	4.045	0.02475
81	EuroIntervention	"5542"	3.993	0.01659
82	ATHEROSCLEROSIS SUPPLEMENTS	767	3.968	0.00122
83	ATHEROSCLEROSIS	"24587"	3.919	0.03659
84	Frontiers in Cardiovascular Medicine	"1303"	3.915	0.00402
85	ESC Heart Failure	"1276"	3.902	0.00412
86	Frontiers in Medicine	"3034"	3.9	0.00987
87	Journal of Atherosclerosis and Thrombosis	"3426"	3.876	0.00519
88	AMERICAN JOURNAL OF PHYSIOLOGY-HEART AND CIRCULATORY PHYSIOLOGY	"26114"	3.864	0.0204
89	Global Heart	"1074"	3.862	0.00318
90	CURRENT HYPERTENSION REPORTS	"3143"	3.856	0.00594
91	European Heart Journal-Acute Cardiovascular Care	"1555"	3.813	0.00543
92	PREVENTIVE MEDICINE	"17316"	3.788	0.03008
93	PALLIATIVE MEDICINE	"5413"	3.739	0.00846
94	NUTRITION METABOLISM AND CARDIOVASCULAR DISEASES	"6026"	3.7	0.00882
95	AMERICAN JOURNAL OF CHINESE MEDICINE	"3531"	3.682	0.00297
96	ANNALS OF THORACIC SURGERY	"35221"	3.639	0.04038
97	HEART FAILURE REVIEWS	"2697"	3.538	0.00513
98	MEDICAL CLINICS OF NORTH AMERICA	"3161"	3.529	0.00408
99	EUROPEAN JOURNAL OF CARDIO-THORACIC SURGERY	"16682"	3.486	0.02582
100	EUROPEAN JOURNAL OF CLINICAL INVESTIGATION	"6344"	3.481	0.00659
101	PANMINERVA MEDICA	806	3.467	0.00066
102	JOURNAL OF CARDIAC FAILURE	"4983"	3.435	0.00873
103	JOURNAL OF VASCULAR SURGERY	"26553"	3.405	0.02498
104	JOURNAL OF NUCLEAR CARDIOLOGY	"3600"	3.366	0.00457
105	Journal of Cardiovascular Translational Research	"1656"	3.312	0.00314
106	Journal of Clinical Medicine	"5214"	3.303	0.01094
107	ANNALS OF MEDICINE	"4510"	3.243	0.00519
108	INTERNATIONAL JOURNAL OF CARDIOLOGY	"31193"	3.229	0.06816
109	Journal of Vascular Surgery-Venous and Lymphatic Disorders	"1115"	3.137	0.00226
110	CANADIAN FAMILY PHYSICIAN	"3833"	3.112	0.00515
111	Diagnostics	850	3.11	0.00186
112	JOURNAL OF ENDOVASCULAR THERAPY	"3651"	3.102	0.00511
113	RESPIRATORY MEDICINE	"11934"	3.095	0.01349
114	JOURNAL OF PAIN AND SYMPTOM MANAGEMENT	"10897"	3.077	0.01484
115	Annals of Cardiothoracic Surgery	"1828"	3.058	0.00506
116	JOURNAL OF VASCULAR AND INTERVENTIONAL RADIOLOGY	"9045"	3.037	0.00979
117	MINERVA MEDICA	880	3.031	0.00093
118	JOURNAL OF THE FORMOSAN MEDICAL ASSOCIATION	"3929"	3.008	0.00451
119	Polish Archives of Internal Medicine-Polskie Archiwum Medycyny Wewnetrznej	"1337"	3.007	0.0019
120	CURRENT PROBLEMS IN CARDIOLOGY	567	2.966	0.00074
121	SHOCK	"7919"	2.96	0.01037
122	HYPERTENSION RESEARCH	"5169"	2.941	0.00533
123	Journal of Cardiovascular Computed Tomography	"1809"	2.892	0.00485
123	SEMINARS IN THROMBOSIS AND HEMOSTASIS	"4074"	2.892	0.00526
125	THROMBOSIS RESEARCH	"10616"	2.869	0.01741
126	AMERICAN FAMILY PHYSICIAN	"6879"	2.852	0.00539
127	BRITISH MEDICAL BULLETIN	"4462"	2.835	0.00268
128	Archives of Medical Science	"3012"	2.807	0.00503
129	KOREAN JOURNAL OF INTERNAL MEDICINE	"2236"	2.751	0.00376
130	MICROVASCULAR RESEARCH	"4028"	2.73	0.00314
131	Journal of Clinical Hypertension	"3983"	2.719	0.00698
132	Diabetes & Vascular Disease Research	"1520"	2.707	0.00317
133	CEREBROVASCULAR DISEASES	"5699"	2.698	0.0058
134	American Journal of Cardiovascular Drugs	"1063"	2.674	0.00158
135	Current Vascular Pharmacology	"1786"	2.672	0.0022
136	AMERICAN JOURNAL OF HYPERTENSION	"8915"	2.669	0.01084
137	Journal of the American Board of Family Medicine	"3588"	2.661	0.00619
138	Cardiovascular Diagnosis and Therapy	"1081"	2.615	0.00305
139	JOURNAL OF CARDIOVASCULAR PHARMACOLOGY	"5340"	2.598	0.00381
140	AMERICAN JOURNAL OF CARDIOLOGY	"35187"	2.57	0.03949
141	CIRCULATION JOURNAL	"9860"	2.54	0.01478
142	CURRENT OPINION IN NEPHROLOGY AND HYPERTENSION	"3281"	2.539	0.00474
143	Cardiovascular Therapeutics	"1351"	2.538	0.00212
144	QJM-AN INTERNATIONAL JOURNAL OF MEDICINE	"5621"	2.529	0.0041
145	International Journal of Medical Sciences	"3979"	2.523	0.00551
146	PAIN MEDICINE	"7432"	2.513	0.013
147	VASCULAR MEDICINE	"1770"	2.509	0.00256
148	BMJ Open	"35626"	2.496	0.12547
149	Journal of Geriatric Cardiology	"1231"	2.491	0.00327
150	Systematic Reviews	"5540"	2.479	0.01905
151	European Journal of General Practice	750	2.478	0.00126
152	POSTGRADUATE MEDICINE	"2414"	2.464	0.00367
153	INTERNATIONAL JOURNAL OF CLINICAL PRACTICE	"5203"	2.444	0.00492
154	Archives of Cardiovascular Diseases	"1628"	2.434	0.00357
154	Current Cardiology Reports	"2127"	2.434	0.00599
156	JOURNAL OF CARDIOVASCULAR ELECTROPHYSIOLOGY	"6886"	2.424	0.01011
157	JOURNAL OF URBAN HEALTH-BULLETIN OF THE NEW YORK ACADEMY OF MEDICINE	"4268"	2.356	0.00559
158	Heart Failure Clinics	"1020"	2.327	0.00233
159	Military Medical Research	386	2.325	0.001
160	Internal and Emergency Medicine	"2115"	2.322	0.00458
160	JOURNAL OF CARDIOVASCULAR PHARMACOLOGY AND THERAPEUTICS	"1358"	2.322	0.00214
160	Korean Circulation Journal	"1335"	2.322	0.00243
163	JOURNAL OF INVESTIGATIVE MEDICINE	"1885"	2.304	0.00291
164	European Journal of Cardiovascular Nursing	"1723"	2.296	0.0027
165	Thrombosis Journal	773	2.295	0.00189
166	Cardiovascular Toxicology	"1272"	2.284	0.00173
167	CURRENT MEDICAL RESEARCH AND OPINION	"6983"	2.271	0.00908
168	JOURNAL OF HUMAN HYPERTENSION	"4372"	2.26	0.00464
169	JOURNAL OF CARDIOTHORACIC AND VASCULAR ANESTHESIA	"5371"	2.258	0.00731
170	ANGIOLOGY	"3063"	2.255	0.00342
171	CLINICAL CARDIOLOGY	"4233"	2.248	0.00862
172	Journal of Cardiology	"3243"	2.246	0.00609
173	Pulmonary Circulation	"1651"	2.205	0.00429
174	Heart Lung and Circulation	"2889"	2.194	0.00649
174	Journal of Hospital Medicine	"3237"	2.194	0.00841
176	Journal of the Chinese Medical Association	"2153"	2.17	0.00287
177	BLOOD PRESSURE	"1180"	2.169	0.00192
178	SCANDINAVIAN JOURNAL OF PRIMARY HEALTH CARE	"1509"	2.16	0.00182
179	CURRENT OPINION IN CARDIOLOGY	"2051"	2.149	0.00353
180	Seminars in Thoracic and Cardiovascular Surgery	"1320"	2.133	0.00221
181	MICROCIRCULATION	"2462"	2.11	0.0027
182	Pregnancy Hypertension-An International Journal of Womens Cardiovascular Health	"1286"	2.095	0.00381
183	INTERNATIONAL ANGIOLOGY	"1331"	2.08	0.00132
184	BMC Cardiovascular Disorders	"3684"	2.078	0.00895
185	JOURNAL OF THROMBOSIS AND THROMBOLYSIS	"2794"	2.054	0.00574
186	Cardiovascular Ultrasound	"1112"	2.051	0.00149
187	CATHETERIZATION AND CARDIOVASCULAR INTERVENTIONS	"8295"	2.044	0.01523
188	FAMILY PRACTICE	"4598"	2.038	0.00499
189	CARDIOVASCULAR AND INTERVENTIONAL RADIOLOGY	"5675"	2.034	0.00734
190	BMC Family Practice	"4296"	2.022	0.00848
191	PRIMARY CARE	"1263"	2.01	0.00151
192	INTERNATIONAL JOURNAL OF CARDIOVASCULAR IMAGING	"3176"	1.969	0.00673
193	JOURNAL OF MEDICAL ECONOMICS	"2093"	1.958	0.00478
194	UPSALA JOURNAL OF MEDICAL SCIENCES	"1205"	1.955	0.00228
195	Patient Preference and Adherence	"3332"	1.946	0.00795
196	JOURNAL OF WOMENS HEALTH	"5370"	1.933	0.01048
196	Netherlands Heart Journal	"1233"	1.933	0.00195
198	International Journal of Evidence-Based Healthcare	"1013"	1.93	0.00241
199	International Journal of General Medicine	"1227"	1.927	0.00183
200	Sexual Medicine	401	1.923	0.00108
201	PHLEBOLOGY	"1438"	1.914	0.00185
201	YONSEI MEDICAL JOURNAL	"3996"	1.914	0.00547
203	AMERICAN JOURNAL OF THE MEDICAL SCIENCES	"5317"	1.911	0.00527
203	POSTGRADUATE MEDICAL JOURNAL	"5875"	1.911	0.00447
205	International Heart Journal	"1942"	1.906	0.00267
206	KIDNEY & BLOOD PRESSURE RESEARCH	"1903"	1.898	0.00313
207	Seminars in Vascular Surgery	720	1.889	0.00074
208	CLINICAL MEDICINE	"1881"	1.883	0.00301
209	Kardiologia Polska	"1665"	1.874	0.00257
210	Vasa-European Journal of Vascular Medicine	"1008"	1.831	0.00143
211	SWISS MEDICAL WEEKLY	"3060"	1.822	0.00439
212	Cardiology in Review	"1080"	1.816	0.00151
213	CARDIOLOGY CLINICS	"1086"	1.811	0.00203
214	DM DISEASE-A-MONTH	694	1.81	0.00057
215	CARDIOLOGY	"2359"	1.791	0.00252
216	CLINICAL AND EXPERIMENTAL HYPERTENSION	"1887"	1.789	0.00242
217	HYPERTENSION IN PREGNANCY	"1314"	1.787	0.00145
217	Journal of Stroke & Cerebrovascular Diseases	"6838"	1.787	0.0168
219	Cardiovascular Engineering and Technology	504	1.771	0.00109
220	JOURNAL OF INTERVENTIONAL CARDIOLOGY	"1309"	1.758	0.0024
221	CARDIOVASCULAR PATHOLOGY	"1998"	1.756	0.00236
222	CardioRenal Medicine	485	1.754	0.0011
223	Journal of Research in Medical Sciences	"2566"	1.746	0.0035
224	CLINICAL HEMORHEOLOGY AND MICROCIRCULATION	"2147"	1.741	0.00218
225	JOURNAL OF VASCULAR RESEARCH	"1551"	1.725	0.00115
226	JOURNAL OF KOREAN MEDICAL SCIENCE	"6359"	1.705	0.00885
227	JOURNAL OF EVALUATION IN CLINICAL PRACTICE	"4009"	1.681	0.00499
228	AMERICAN JOURNAL OF MANAGED CARE	"4380"	1.679	0.00733
228	HONG KONG MEDICAL JOURNAL	"1562"	1.679	0.00175
230	INTERNAL MEDICINE JOURNAL	"3825"	1.677	0.00671
231	Interactive Cardiovascular and Thoracic Surgery	"5684"	1.675	0.00911
231	Journal of Cardiovascular Nursing	"1795"	1.675	0.00222
233	Cardiology Journal	"1164"	1.669	0.00195
234	Congenital Heart Disease	"1648"	1.663	0.004
235	EUROPEAN HEART JOURNAL SUPPLEMENTS	551	1.655	0.00081
236	MEDICINA CLINICA	"2605"	1.635	0.00221
237	HEART & LUNG	"2351"	1.63	0.00302
238	HEART AND VESSELS	"2176"	1.618	0.00367
239	CHINESE MEDICAL JOURNAL	"7462"	1.585	0.00975
240	Annals of Thoracic and Cardiovascular Surgery	"1087"	1.584	0.00137
241	PEDIATRIC CARDIOLOGY	"4344"	1.564	0.00671
242	CLEVELAND CLINIC JOURNAL OF MEDICINE	"1607"	1.552	0.00154
242	MEDICINE	"33320"	1.552	0.08555
244	ANNALS ACADEMY OF MEDICINE SINGAPORE	"2508"	1.533	0.00111
244	Balkan Medical Journal	622	1.533	0.0013
246	Journal of Cardiothoracic Surgery	"2089"	1.506	0.00421
247	INDIAN JOURNAL OF MEDICAL RESEARCH	"6214"	1.503	0.00516
248	JOURNAL OF CARDIAC SURGERY	"2054"	1.49	0.003
249	Annals of Thoracic Medicine	735	1.456	0.00099
250	JOURNAL OF INVASIVE CARDIOLOGY	"1593"	1.453	0.00242
251	Arquivos Brasileiros de Cardiologia	"3065"	1.45	0.00285
252	FAMILY MEDICINE	"2765"	1.443	0.00216
253	TOHOKU JOURNAL OF EXPERIMENTAL MEDICINE	"2971"	1.441	0.00286
254	Clinics	"3646"	1.435	0.00292
255	JOURNAL OF THE RENIN-ANGIOTENSIN-ALDOSTERONE SYSTEM	918	1.417	0.00116
256	JOURNAL OF CARDIOVASCULAR SURGERY	"1825"	1.415	0.00213
257	ECHOCARDIOGRAPHY-A JOURNAL OF CARDIOVASCULAR ULTRASOUND AND ALLIED TECHNIQUES	"3173"	1.393	0.00578
258	PRESSE MEDICALE	"2193"	1.388	0.00243
259	Journal of Cardiopulmonary Rehabilitation and Prevention	"1706"	1.383	0.00184
260	CLINICAL AND APPLIED THROMBOSIS-HEMOSTASIS	"1945"	1.374	0.0034
261	SINGAPORE MEDICAL JOURNAL	"3312"	1.359	0.00248
262	Postepy w Kardiologii Interwencyjnej	311	1.347	0.00062
263	CORONARY ARTERY DISEASE	"1637"	1.335	0.0022
264	WIENER KLINISCHE WOCHENSCHRIFT	"2126"	1.323	0.00244
265	Vascular	926	1.315	0.00175
266	REVISTA CLINICA ESPANOLA	650	1.304	0.00072
267	PACE-PACING AND CLINICAL ELECTROPHYSIOLOGY	"5012"	1.303	0.00572
268	MEDICAL PRINCIPLES AND PRACTICE	"1924"	1.295	0.00239
269	Libyan Journal of Medicine	370	1.294	0.00041
270	Cardiology Research and Practice	833	1.292	0.00136
271	SAMJ SOUTH AFRICAN MEDICAL JOURNAL	"4300"	1.285	0.00503
272	JOURNAL OF INTERVENTIONAL CARDIAC ELECTROPHYSIOLOGY	"1507"	1.277	0.00323
273	CROATIAN MEDICAL JOURNAL	"1619"	1.247	0.0012
274	PERFUSION-UK	"1271"	1.234	0.00176
275	Journal of Cardiovascular Medicine	"1667"	1.225	0.00297
276	Anatolian Journal of Cardiology	"1203"	1.223	0.00194
276	Journal of Vascular Access	"1197"	1.223	0.00242
278	Australian Family Physician	"1787"	1.22	0.00197
279	THORACIC AND CARDIOVASCULAR SURGEON	"1812"	1.209	0.00244
280	ACTA CARDIOLOGICA	960	1.208	0.00155
280	International Journal of Osteopathic Medicine	259	1.208	0.00027
282	Medicina-Lithuania	"1446"	1.205	0.00117
283	Open Medicine	424	1.204	0.001
284	Bratislava Medical Journal-Bratislavske Lekarske Listy	"1251"	1.2	0.00129
285	SAUDI MEDICAL JOURNAL	"3575"	1.195	0.00305
286	Revista de Investigacion Clinica-Clinical and Translational Investigation	618	1.192	0.00065
287	Journal of Postgraduate Medicine	"1289"	1.167	0.00086
288	International Journal of Hypertension	789	1.132	0.00071
289	ANNALS OF NONINVASIVE ELECTROCARDIOLOGY	"1206"	1.131	0.00175
290	ANNALS OF VASCULAR SURGERY	"5310"	1.125	0.0088
291	ACTA CLINICA BELGICA	941	1.111	0.00137
292	IRISH JOURNAL OF MEDICAL SCIENCE	"1537"	1.1	0.00231
293	BLOOD PRESSURE MONITORING	"1378"	1.092	0.00147
294	General Thoracic and Cardiovascular Surgery	"1432"	1.088	0.0024
295	Atencion Primaria	"1249"	1.087	0.00097
296	SCANDINAVIAN CARDIOVASCULAR JOURNAL	804	1.084	0.00124
297	Brazilian Journal of Cardiovascular Surgery	849	1.053	0.00113
298	Sao Paulo Medical Journal	"1148"	1.044	0.00135
299	HERZ	"1083"	1.033	0.0014
300	JOURNAL OF THE NATIONAL MEDICAL ASSOCIATION	"2773"	1.03	0.0007
301	MILITARY MEDICINE	"4954"	1.025	0.00698
301	Medizinische Klinik-Intensivmedizin und Notfallmedizin	413	1.025	0.00054
303	TEXAS HEART INSTITUTE JOURNAL	"1891"	1.023	0.00131
304	World Journal of Clinical Cases	"1082"	1.013	0.00297
305	INTERNAL MEDICINE	"6537"	1.005	0.00744
306	CARDIOLOGY IN THE YOUNG	"2641"	1	0.00466
306	Colombia Medica	413	1	0.0005
308	Archives of Iranian Medicine	"2139"	0.996	0.00277
309	Journal of the Royal Army Medical Corps	785	0.994	0.00122
310	NETHERLANDS JOURNAL OF MEDICINE	"1456"	0.967	0.00126
311	Revista Portuguesa de Cardiologia	819	0.96	0.00091
312	JOURNAL OF ELECTROCARDIOLOGY	"2518"	0.944	0.00326
313	ANNALS OF SAUDI MEDICINE	"1783"	0.917	0.001
313	Danish Medical Journal	"1158"	0.917	0.00288
315	Revista da Associacao Medica Brasileira	"1530"	0.915	0.0017
316	Cardiovascular Journal of Africa	953	0.897	0.00182
317	Vascular and Endovascular Surgery	"1325"	0.872	0.00168
318	ISRAEL MEDICAL ASSOCIATION JOURNAL	"2288"	0.86	0.00214
319	JOURNAL OF NIPPON MEDICAL SCHOOL	667	0.826	0.00053
320	SOUTHERN MEDICAL JOURNAL	"3944"	0.808	0.0021
321	REVUE DE MEDECINE INTERNE	"1138"	0.783	0.00119
322	Pakistan Journal of Medical Sciences	"2365"	0.754	0.00378
323	Australian Journal of General Practice	143	0.723	0.00028
324	Turkish Journal Of Medical Sciences	"1538"	0.717	0.00271
325	MINERVA CARDIOANGIOLOGICA	371	0.713	0.00047
326	JOURNAL OF FAMILY PRACTICE	"1979"	0.694	0.00108
327	African Health Sciences	"2174"	0.69	0.00261
328	JAAPA-Journal of the American Academy of Physician Assistants	416	0.66	0.00079
329	Reviews in Cardiovascular Medicine	245	0.659	0.00037
330	Nigerian Journal of Clinical Practice	"1278"	0.634	0.0021
331	Acta Medica Portuguesa	783	0.628	0.00102
332	Gaceta Medica de Mexico	567	0.581	0.00059
333	JOURNAL OF THE PAKISTAN MEDICAL ASSOCIATION	"3336"	0.573	0.003
334	DEUTSCHE MEDIZINISCHE WOCHENSCHRIFT	"1872"	0.569	0.00124
335	SCOTTISH MEDICAL JOURNAL	540	0.537	0.00041
336	NATIONAL MEDICAL JOURNAL OF INDIA	709	0.534	0.00047
337	Acta Clinica Croatica	512	0.532	0.00072
338	REVISTA MEDICA DE CHILE	"1919"	0.531	0.0014
339	Artery Research	239	0.519	0.00037
340	ORVOSI HETILAP	"1085"	0.497	0.00071
341	MEDICINA-BUENOS AIRES	637	0.46	0.00044
342	INTERNIST	397	0.432	0.00042
343	BRITISH JOURNAL OF HOSPITAL MEDICINE	634	0.429	0.00082
344	Iranian Red Crescent Medical Journal	"2057"	0.427	0.00325
345	JCPSP-Journal of the College of Physicians and Surgeons Pakistan	"1892"	0.426	0.00193
346	MEDICAL PROBLEMS OF PERFORMING ARTISTS	665	0.418	0.00047
347	TERAPEVTICHESKII ARKHIV	688	0.409	0.00058
348	MEDICINA DELLO SPORT	250	0.406	0.00015
349	HEART SURGERY FORUM	518	0.404	0.00052
350	Journal of Nepal Medical Association	321	0.287	0.00032
351	KARDIOLOGIYA	522	0.264	0.00024
352	Acta Medica Mediterranea	407	0.249	0.00075
353	Hippokratia	953	0.246	0.0006
354	Laeknabladid	158	0.197	0.00017
355	Vojnosanitetski Pregled	719	0.152	0.00082
356	Srpski Arhiv za Celokupno Lekarstvo	475	0.142	0.00047
357	Kuwait Medical Journal	81	0.113	0.00008
358	WEST INDIAN MEDICAL JOURNAL	838	0.098	0.00066
359	BULLETIN DE L ACADEMIE NATIONALE DE MEDECINE	459	0.075	0.00014
