Rank	Full Journal Title	Total Cites	Journal Impact Factor	Eigenfactor Score
103	MUTATION RESEARCH-GENETIC TOXICOLOGY AND ENVIRONMENTAL MUTAGENESIS	"6325"	2.5060.003080
104	MUTATION RESEARCH-FUNDAMENTAL AND MOLECULAR MECHANISMS OF MUTAGENESIS	"6786"	2.4630.002700
105	Human Gene Therapy Methods	5232.4460.001520
106	CURRENT GENE THERAPY	"1161"	2.4310.001500
107	PRENATAL DIAGNOSIS	"5618"	2.4250.008650
108	International Journal of Genomics	9472.4140.002470
109	HEREDITAS	"1567"	2.4120.000580
110	European Journal of Medical Genetics	"2312"	2.3680.005900
111	MAMMALIAN GENOME	"2693"	2.2870.003490
112	BEHAVIOR GENETICS	"3016"	2.2310.003200
113	CRITICAL REVIEWS IN EUKARYOTIC GENE EXPRESSION	"1025"	2.1560.000810
114	Journal of Genetic Counseling	"2235"	2.1490.005020
114	MOLECULAR BREEDING	"5756"	2.1490.007200
116	AMERICAN JOURNAL OF MEDICAL GENETICS PART A	"11825"	2.1250.020000
116	Journal of Nutrigenetics and Nutrigenomics	3592.1250.000500
118	Tree Genetics & Genomes	"2827"	2.0810.004440
119	GENOME	"4431"	2.0370.003130
120	BIOCHEMICAL GENETICS	"1232"	2.0270.000900
120	JOURNAL OF APPLIED GENETICS	"1356"	2.0270.001760
122	Molecular Genetics and Metabolism Reports	6652.0220.001990
123	Molecular Genetics & Genomic Medicine	"1108"	1.9950.003750
124	VIRUS GENES	"2702"	1.9910.003990
125	GENETIC EPIDEMIOLOGY	"2951"	1.9540.006730
126	EVOLUTION & DEVELOPMENT	"1703"	1.9250.001410
127	CONSERVATION GENETICS	"4117"	1.9170.004300
128	GENETICS AND MOLECULAR BIOLOGY	"2552"	1.8760.002660
129	Genes and Environment	2781.8720.000610
130	Advances in Genetics	"1515"	1.8620.001790
131	JOURNAL OF MOLECULAR EVOLUTION	"7986"	1.8210.002100
132	EVOLUTIONARY ECOLOGY	"3549"	1.8000.002610
133	Familial Cancer	"1704"	1.7600.003110
133	GENESIS	"3915"	1.7600.003700
135	Cellular Reprogramming	6871.7020.000960
136	Marine Genomics	"1100"	1.6720.002810
137	GENES TO CELLS	"3781"	1.6550.003650
138	BMC Medical Genetics	"3020"	1.5850.005020
139	Public Health Genomics	6821.5180.001130
140	Lifestyle Genomics	161.5000.000040
141	THEORETICAL POPULATION BIOLOGY	"3776"	1.4540.002350
142	JOURNAL OF NEUROGENETICS	6311.4380.001040
143	ANNALS OF HUMAN GENETICS	"1776"	1.3680.001280
144	Genetic Testing and Molecular Biomarkers	"1575"	1.3460.002240
145	Standards in Genomic Sciences	"1329"	1.3390.002710
146	Twin Research and Human Genetics	"2060"	1.3190.002250
147	OPHTHALMIC GENETICS	"1022"	1.3080.002180
148	PSYCHIATRIC GENETICS	8261.2670.001100
149	NEW GENETICS AND SOCIETY	3431.2570.000570
150	Molecular Cytogenetics	8451.2330.001800
151	Molecular Syndromology	6561.1980.001550
152	Genes & Genomics	8131.1880.001460
153	GENETICA	"2863"	1.1860.001320
154	Genetics Research	"2084"	1.1670.000260
155	International Journal of Immunogenetics	7671.1300.000800
156	CYTOGENETIC AND GENOME RESEARCH	"2719"	1.1140.002150
157	SILVAE GENETICA	9771.1110.000220
158	Conservation Genetics Resources	"2012"	1.1070.001920
159	EVOLUTIONARY ECOLOGY RESEARCH	"1824"	1.0940.000860
160	Mitochondrial DNA Part A	"1640"	1.0730.003850
161	Comparative Cytogenetics	3371.0360.000580
162	JOURNAL OF GENETICS	"1817"	0.9930.002130
163	Medizinische Genetik	760.9640.000220
164	GENES & GENETIC SYSTEMS	7650.9170.000640
165	GENE EXPRESSION PATTERNS	"1328"	0.8970.001040
166	Mitochondrial DNA Part B-Resources	"1698"	0.8850.001940
167	CYTOLOGIA	9220.7950.000290
168	HUMAN BIOLOGY	"1688"	0.6290.000450
169	CARYOLOGIA	7400.6210.000320
170	CLINICAL DYSMORPHOLOGY	4320.5210.000430
171	Cytology and Genetics	3220.4750.000280
172	RUSSIAN JOURNAL OF GENETICS	"1514"	0.4660.001020
173	HUMAN HEREDITY	8280.4440.001090
174	Genetika-Belgrade	3790.4030.000370
175	Balkan Journal of Medical Genetics	1360.4000.000220
176	INTERNATIONAL JOURNAL OF HUMAN GENETICS	1330.1720.000060
177	Environmental Microbiome	3	Not Available	0.000000
