Journal name,JCR Abbreviation,ISSN,eISSN,Category,2022 JIF,2022 JCI,5 Year JIF,JIF Rank,JCI Rank
"Digital Health","DIGIT HEALTH","2055-2076","2055-2076","MEDICAL INFORMATICS - SCIE","3.9","0.92","4.4"," 15/31 "," 16/42 "
"MEDICAL DECISION MAKING","MED DECIS MAKING","0272-989X","1552-681X","MEDICAL INFORMATICS - SCIE","3.6","0.88","3.3"," 16/31 "," 18/42 "
"BMC Medical Informatics and Decision Making","BMC MED INFORM DECIS","N/A","1472-6947","MEDICAL INFORMATICS - SCIE","3.5","0.74","3.9"," 17/31 "," 21/42 "
"MEDICAL & BIOLOGICAL ENGINEERING & COMPUTING","MED BIOL ENG COMPUT","0140-0118","1741-0444","MEDICAL INFORMATICS - SCIE","3.2","0.7","3.1"," 18/31 "," 23/42 "
"JMIR Medical Informatics","JMIR MED INF","N/A","2291-9694","MEDICAL INFORMATICS - SCIE","3.2","0.67","3.6"," 18/31 "," 26/42 "
"Health Information Management Journal","HEALTH INF MANAG J","1833-3583","1833-3575","MEDICAL INFORMATICS - SCIE","3.2","0.66","3.2"," 18/31 "," 27/42 "
"INTERNATIONAL JOURNAL OF TECHNOLOGY ASSESSMENT IN HEALTH CARE","INT J TECHNOL ASSESS","0266-4623","1471-6348","MEDICAL INFORMATICS - SCIE","3.2","0.52","2.6"," 18/31 "," 34/42 "
"Health Informatics Journal","HEALTH INFORM J","1460-4582","1741-2811","MEDICAL INFORMATICS - SCIE","3","0.76","3"," 22/31 "," 19/42 "
"Applied Clinical Informatics","APPL CLIN INFORM","1869-0327","1869-0327","MEDICAL INFORMATICS - SCIE","2.9","0.61","3"," 23/31 "," 29/42 "
"Informatics for Health & Social Care","INFORM HEALTH SOC CA","1753-8157","1753-8165","MEDICAL INFORMATICS - SCIE","2.4","0.59","2.9"," 24/31 "," 30/42 "
"JOURNAL OF EVALUATION IN CLINICAL PRACTICE","J EVAL CLIN PRACT","1356-1294","1365-2753","MEDICAL INFORMATICS - SCIE","2.4","0.58","2.5"," 24/31 "," 31/42 "
"STATISTICAL METHODS IN MEDICAL RESEARCH","STAT METHODS MED RES","0962-2802","1477-0334","MEDICAL INFORMATICS - SCIE","2.3","0.74","3.2"," 26/31 "," 21/42 "
"STATISTICS IN MEDICINE","STAT MED","0277-6715","1097-0258","MEDICAL INFORMATICS - SCIE","2","0.64","2.7"," 27/31 "," 28/42 "
"METHODS OF INFORMATION IN MEDICINE","METHOD INFORM MED","0026-1270","2511-705X","MEDICAL INFORMATICS - SCIE","1.7","0.4","2.5"," 28/31 "," 38/42 "
"Biomedical Engineering-Biomedizinische Technik","BIOMED ENG-BIOMED TE","0013-5585","1862-278X","MEDICAL INFORMATICS - SCIE","1.7","0.3","1.6"," 28/31 "," 40/42 "
"Therapeutic Innovation & Regulatory Science","THER INNOV REGUL SCI","2168-4790","2168-4804","MEDICAL INFORMATICS - SCIE","1.5","0.3","1.5"," 30/31 "," 40/42 "
"CIN-COMPUTERS INFORMATICS NURSING","CIN-COMPUT INFORM NU","1538-2931","1538-9774","MEDICAL INFORMATICS - SCIE","1.3","0.42","2"," 31/31 "," 37/42 "
