"Journal Data Filtered By:  Selected Categories: CARDIAC & CARDIOVASCULAR SYSTEMS Selected Editions: SCIE;SSCI;AHCI;ESCI Selected JCR Year: 2021 Selected Category Schema: WOS Selected Open Access: N Indicator: Default"

Journal name,JCR Abbreviation,ISSN,eISSN,Category,Total Citations,2021 JIF,JIF Quartile,2021 JCI,% of OA Gold
"Journal of Cardiovascular Development and Disease","J CARDIOVASC DEV DIS","N/A","2308-3425","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","1,001","4.415","Q2","0.63","96.01"%,
"CardioRenal Medicine","CARDIORENAL MED","1664-3828","1664-5502","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","937","4.36","Q2","1.22","22.02"%,
"INTERNATIONAL JOURNAL OF CARDIOLOGY","INT J CARDIOL","0167-5273","1874-1754","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","38,678","4.039","Q2","0.92","11.3"%,
"CARDIOVASCULAR PATHOLOGY","CARDIOVASC PATHOL","1054-8807","1879-1336","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","2,916","3.975","Q2","0.81","6.7"%,
"Current Cardiology Reports","CURR CARDIOL REP","1523-3782","1534-3170","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","3,973","3.955","Q2","0.54","10.63"%,
"CARDIOVASCULAR DRUGS AND THERAPY","CARDIOVASC DRUG THER","0920-3206","1573-7241","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","3,411","3.947","Q2","0.85","23.82"%,
"JOURNAL OF NUCLEAR CARDIOLOGY","J NUCL CARDIOL","1071-3581","1532-6551","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","5,958","3.872","Q2","0.91","16.41"%,
"Journal of Cardiovascular Computed Tomography","J CARDIOVASC COMPUT","1934-5925","1934-5925","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","2,923","3.814","Q2","0.9","8"%,
"Kardiologia Polska","KARDIOL POL","0022-9032","1897-4279","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","4,018","3.71","Q2","1.42","98.44"%,
"Journal of Cardiopulmonary Rehabilitation and Prevention","J CARDIOPULM REHABIL","1932-7501","1932-751X","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","2,540","3.646","Q2","0.53","1.83"%,
"ESC Heart Failure","ESC HEART FAIL","2055-5822","2055-5822","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","4,202","3.612","Q2","0.76","93.17"%,
"European Journal of Cardiovascular Nursing","EUR J CARDIOVASC NUR","1474-5151","1873-1953","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","2,644","3.593","Q2","1.11","13.49"%,
"Cardiology Journal","CARDIOL J","1897-5593","1898-018X","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","1,843","3.487","Q2","0.57","99.6"%,
"Cardiovascular Therapeutics","CARDIOVASC THER","1755-5914","1755-5922","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","1,767","3.368","Q2","0.64","100"%,
"CIRCULATION JOURNAL","CIRC J","1346-9843","1347-4820","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","11,925","3.35","Q3","0.65","99.54"%,
"CLINICAL CARDIOLOGY","CLIN CARDIOL","0160-9289","1932-8737","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","5,989","3.287","Q3","0.6","92.5"%,
"American Journal of Cardiovascular Drugs","AM J CARDIOVASC DRUG","1175-3277","1179-187X","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","1,538","3.283","Q3","0.75","14.87"%,
"JOURNAL OF CARDIOVASCULAR PHARMACOLOGY","J CARDIOVASC PHARM","0160-2446","1533-4023","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","6,581","3.271","Q3","0.73","10.33"%,
"Global Heart","GLOB HEART","2211-8160","2211-8179","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","1,770","3.218","Q3","1.79","98.9"%,
"Journal of Cardiovascular Translational Research","J CARDIOVASC TRANSL","1937-5387","1937-5395","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","2,405","3.216","Q3","0.68","18.35"%,
"Archives of Cardiovascular Diseases","ARCH CARDIOVASC DIS","1875-2136","1875-2128","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","2,296","3.196","Q3","0.52","1.36"%,
"Journal of Geriatric Cardiology","J GERIATR CARDIOL","1671-5411","N/A","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","2,155","3.189","Q3","0.47","0"%,
"HEART & LUNG","HEART LUNG","0147-9563","1527-3288","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","3,521","3.149","Q3","0.75","6.36"%,
"AMERICAN JOURNAL OF CARDIOLOGY","AM J CARDIOL","0002-9149","1879-1913","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","41,140","3.133","Q3","0.64","6.07"%,
"Cardiology in Review","CARDIOL REV","1061-5377","1538-4683","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","1,469","3.109","Q3","0.47","1.42"%,
"Korean Circulation Journal","KOREAN CIRC J","1738-5520","1738-5555","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","1,969","3.101","Q3","0.62","50.7"%,
"Journal of Cardiology","J CARDIOL","0914-5087","1876-4738","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","4,534","2.974","Q3","0.61","7.96"%,
"JOURNAL OF CARDIOVASCULAR ELECTROPHYSIOLOGY","J CARDIOVASC ELECTR","1045-3873","1540-8167","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","9,318","2.942","Q3","0.62","9.78"%,
"JOURNAL OF CARDIOTHORACIC AND VASCULAR ANESTHESIA","J CARDIOTHOR VASC AN","1053-0770","1532-8422","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","8,025","2.894","Q3","0.62","3.37"%,
"Pulmonary Circulation","PULM CIRC","2045-8932","2045-8940","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","2,740","2.886","Q3","0.54","90.19"%,
"Netherlands Heart Journal","NETH HEART J","1568-5888","1876-6250","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","1,950","2.854","Q3","0.57","98.78"%,
"Heart Lung and Circulation","HEART LUNG CIRC","1443-9506","1444-2892","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","4,576","2.838","Q3","0.58","2.71"%,
"Heart Failure Clinics","HEART FAIL CLIN","1551-7136","N/A","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","1,383","2.828","Q3","0.64","2.4"%,
"JOURNAL OF CARDIOVASCULAR PHARMACOLOGY AND THERAPEUTICS","J CARDIOVASC PHARM T","1074-2484","1940-4034","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","1,804","2.807","Q3","0.53","7.45"%,
"CARDIOVASCULAR AND INTERVENTIONAL RADIOLOGY","CARDIOVASC INTER RAD","0174-1551","1432-086X","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","7,948","2.797","Q3","0.64","18.99"%,
"Cardiovascular Toxicology","CARDIOVASC TOXICOL","1530-7905","1559-0259","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","1,938","2.755","Q3","0.68","6.58"%,
"Arquivos Brasileiros de Cardiologia","ARQ BRAS CARDIOL","0066-782X","N/A","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","4,432","2.667","Q3","0.46","95.38"%,
"CATHETERIZATION AND CARDIOVASCULAR INTERVENTIONS","CATHETER CARDIO INTE","1522-1946","1522-726X","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","11,897","2.585","Q3","0.59","9.69"%,
"Cardiovascular Diagnosis and Therapy","CARDIOVASC DIAGN THE","2223-3652","2223-3660","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","2,381","2.552","Q3","0.46","87.41"%,
"Annals of Thoracic Medicine","ANN THORAC MED","1817-1737","1998-3557","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","1,165","2.535","Q3","0.45","95.24"%,
"Journal of Cardiovascular Nursing","J CARDIOVASC NURS","0889-4655","1550-5049","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","2,516","2.468","Q3","0.81","6.73"%,
"Journal of Cardiovascular Medicine","J CARDIOVASC MED","1558-2027","1558-2035","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","2,460","2.43","Q3","0.41","1.16"%,
"Congenital Heart Disease","CONGENIT HEART DIS","1747-079X","1747-0803","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","2,335","2.419","Q3","0.46","38.65"%,
"CARDIOLOGY CLINICS","CARDIOL CLIN","0733-8651","1558-2264","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","1,550","2.41","Q3","0.46","1.22"%,
"Seminars in Thoracic and Cardiovascular Surgery","SEMIN THORAC CARDIOV","1043-0679","1532-9488","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","2,333","2.41","Q3","0.56","4.31"%,
"CARDIOLOGY","CARDIOLOGY","0008-6312","1421-9751","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","2,938","2.342","Q3","0.42","8.9"%,
"INTERNATIONAL JOURNAL OF CARDIOVASCULAR IMAGING","INT J CARDIOVAS IMAG","1569-5794","1573-0743","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","4,746","2.316","Q3","0.54","20.07"%,
"Cardiovascular Engineering and Technology","CARDIOVASC ENG TECHN","1869-408X","1869-4098","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","990","2.305","Q3","0.52","19.8"%,
"Minerva Cardiology and Angiology","MINERVA CARDIOL ANGI","2724-5683","2724-5772","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","698","2.269","Q3","N/A","0"%,
"Cardiovascular Ultrasound","CARDIOVASC ULTRASOUN","N/A","1476-7120","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","1,440","2.263","Q3","0.43","99.13"%,
"BMC Cardiovascular Disorders","BMC CARDIOVASC DISOR","1471-2261","1471-2261","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","6,554","2.174","Q4","0.46","99.72"%,
"CURRENT OPINION IN CARDIOLOGY","CURR OPIN CARDIOL","0268-4705","1531-7080","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","2,806","2.108","Q4","0.34","1.68"%,
"SCANDINAVIAN CARDIOVASCULAR JOURNAL","SCAND CARDIOVASC J","1401-7431","1651-2006","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","1,095","1.992","Q4","0.34","22.44"%,
"Cardiology Research and Practice","CARDIOL RES PRACT","2090-8016","2090-0597","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","1,290","1.99","Q4","0.35","100"%,
"Interactive Cardiovascular and Thoracic Surgery","INTERACT CARDIOV TH","1569-9293","1569-9285","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","7,151","1.978","Q4","0.52","2.61"%,
"PACE-PACING AND CLINICAL ELECTROPHYSIOLOGY","PACE","0147-8389","1540-8159","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","6,123","1.912","Q4","0.35","11.48"%,
"Annals of Thoracic and Cardiovascular Surgery","ANN THORAC CARDIOVAS","1341-1098","2186-1005","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","1,449","1.889","Q4","0.49","100"%,
"ECHOCARDIOGRAPHY-A JOURNAL OF CARDIOVASCULAR ULTRASOUND AND ALLIED TECHNIQUES","ECHOCARDIOGR-J CARD","0742-2822","1540-8175","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","4,259","1.874","Q4","0.34","6.47"%,
"PEDIATRIC CARDIOLOGY","PEDIATR CARDIOL","0172-0643","1432-1971","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","6,020","1.838","Q4","0.55","10.41"%,
"International Heart Journal","INT HEART J","1349-2365","1349-3299","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","2,487","1.823","Q4","0.4","100"%,
"HEART AND VESSELS","HEART VESSELS","0910-8327","1615-2573","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","3,213","1.814","Q4","0.41","10.05"%,
"Acta Cardiologica Sinica","ACTA CARDIOL SIN","1011-6842","N/A","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","824","1.8","Q4","0.42","0"%,
"JOURNAL OF CARDIAC SURGERY","J CARDIAC SURG","0886-0440","1540-8191","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","3,874","1.778","Q4","0.44","9.47"%,
"JOURNAL OF INTERVENTIONAL CARDIOLOGY","J INTERV CARDIOL","0896-4327","1540-8183","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","1,652","1.776","Q4","0.42","98.21"%,
"JOURNAL OF INTERVENTIONAL CARDIAC ELECTROPHYSIOLOGY","J INTERV CARD ELECTR","1383-875X","1572-8595","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","2,411","1.759","Q4","0.39","12.66"%,
"THORACIC AND CARDIOVASCULAR SURGEON","THORAC CARDIOV SURG","0171-6425","1439-1902","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","2,415","1.756","Q4","0.45","5.54"%,
"HERZ","HERZ","0340-9937","1615-6692","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","1,573","1.74","Q4","0.29","11.11"%,
"ACTA CARDIOLOGICA","ACTA CARDIOL","0001-5385","1784-973X","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","1,371","1.738","Q4","0.33","2.11"%,
"CORONARY ARTERY DISEASE","CORONARY ARTERY DIS","0954-6928","1473-5830","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","2,108","1.717","Q4","0.35","4.66"%,
"JOURNAL OF INVASIVE CARDIOLOGY","J INVASIVE CARDIOL","1042-3931","1557-2501","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","2,076","1.711","Q4","0.38","0"%,
"Revista Portuguesa de Cardiologia","REV PORT CARDIOL","0870-2551","0304-4750","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","1,198","1.651","Q4","0.31","100"%,
"EUROPEAN HEART JOURNAL SUPPLEMENTS","EUR HEART J SUPPL","1520-765X","1554-2815","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","1,000","1.624","Q4","0.33","98.02"%,
"JOURNAL OF CARDIOVASCULAR SURGERY","J CARDIOVASC SURG","0021-9509","1827-191X","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","2,255","1.595","Q4","0.39","0"%,
"PERFUSION-UK","PERFUSION-UK","0267-6591","1477-111X","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","2,016","1.581","Q4","0.33","8.19"%,
"Journal of Cardiothoracic Surgery","J CARDIOTHORAC SURG","N/A","1749-8090","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","3,372","1.522","Q4","0.44","99.89"%,
"ANNALS OF NONINVASIVE ELECTROCARDIOLOGY","ANN NONINVAS ELECTRO","1082-720X","1542-474X","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","1,768","1.485","Q4","0.31","61.22"%,
"Anatolian Journal of Cardiology","ANATOL J CARDIOL","2149-2263","2149-2271","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","1,833","1.475","Q4","0.34","85.71"%,
"JOURNAL OF ELECTROCARDIOLOGY","J ELECTROCARDIOL","0022-0736","1532-8430","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","3,370","1.38","Q4","0.31","5.99"%,
"Brazilian Journal of Cardiovascular Surgery","BRAZ J CARDIOV SURG","0102-7638","1678-9741","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","1,327","1.283","Q4","0.32","93.03"%,
"General Thoracic and Cardiovascular Surgery","GEN THORAC CARDIOVAS","1863-6705","1863-6713","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","2,236","1.227","Q4","0.37","7.32"%,
"TEXAS HEART INSTITUTE JOURNAL","TEX HEART I J","0730-2347","1526-6702","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","2,377","1.103","Q4","0.23","92.59"%,
