"Journal Data Filtered By:  Selected Categories: GENETICS & HEREDITY Selected Editions: SCIE Selected JCR Year: 2021 Selected Category Schema: WOS Selected Open Access: N Indicator: Default"

Journal name,JCR Abbreviation,ISSN,eISSN,Category,Total Citations,2021 JIF,JIF Quartile,2021 JCI,% of OA Gold
"Forensic Science International-Genetics","FORENSIC SCI INT-GEN","1872-4973","1878-0326","GENETICS & HEREDITY - SCIE","6,614","4.453","Q2","1.57","14.73"%,
"Genes and Nutrition","GENES NUTR","1555-8932","1865-3499","GENETICS & HEREDITY - SCIE","2,086","4.423","Q2","0.8","100"%,
"GENETICS","GENETICS","0016-6731","1943-2631","GENETICS & HEREDITY - SCIE","46,415","4.402","Q2","1","12.37"%,
"Epigenomics","EPIGENOMICS-UK","1750-1911","1750-192X","GENETICS & HEREDITY - SCIE","4,443","4.357","Q2","0.93","17.29"%,
"DNA REPAIR","DNA REPAIR","1568-7864","1568-7856","GENETICS & HEREDITY - SCIE","7,855","4.354","Q2","0.91","15.95"%,
"CRISPR Journal","CRISPR J","2573-1599","2573-1602","GENETICS & HEREDITY - SCIE","650","4.321","Q2","0.99","19.33"%,
"GENOMICS","GENOMICS","0888-7543","1089-8646","GENETICS & HEREDITY - SCIE","13,483","4.31","Q2","1.21","14.96"%,
"Orphanet Journal of Rare Diseases","ORPHANET J RARE DIS","N/A","1750-1172","GENETICS & HEREDITY - SCIE","12,485","4.303","Q2","0.83","99.91"%,
"PHYSIOLOGICAL GENOMICS","PHYSIOL GENOMICS","1094-8341","1531-2267","GENETICS & HEREDITY - SCIE","5,608","4.297","Q2","0.63","6.79"%,
"CLINICAL GENETICS","CLIN GENET","0009-9163","1399-0004","GENETICS & HEREDITY - SCIE","9,952","4.296","Q2","0.8","13.71"%,
"GENES CHROMOSOMES & CANCER","GENE CHROMOSOME CANC","1045-2257","1098-2264","GENETICS & HEREDITY - SCIE","6,079","4.263","Q2","0.82","21.2"%,
"GENES AND IMMUNITY","GENES IMMUN","1466-4879","1476-5470","GENETICS & HEREDITY - SCIE","3,348","4.248","Q2","0.72","22.14"%,
"Plant Genome","PLANT GENOME-US","N/A","1940-3372","GENETICS & HEREDITY - SCIE","3,083","4.219","Q2","1.02","80.23"%,
"MOLECULAR GENETICS AND METABOLISM","MOL GENET METAB","1096-7192","1096-7206","GENETICS & HEREDITY - SCIE","9,417","4.204","Q2","0.83","23.29"%,
"Biotechnology & Genetic Engineering Reviews","BIOTECHNOL GENET ENG","0264-8725","2046-5556","GENETICS & HEREDITY - SCIE","726","4.2","Q2","0.42","10"%,
"GENE THERAPY","GENE THER","0969-7128","1476-5462","GENETICS & HEREDITY - SCIE","8,563","4.184","Q2","0.91","30.23"%,
"EVOLUTION","EVOLUTION","0014-3820","1558-5646","GENETICS & HEREDITY - SCIE","33,634","4.171","Q2","0.93","23"%,
"JOURNAL OF GENE MEDICINE","J GENE MED","1099-498X","1521-2254","GENETICS & HEREDITY - SCIE","3,033","4.152","Q2","0.72","9.7"%,
"Genes","GENES-BASEL","N/A","2073-4425","GENETICS & HEREDITY - SCIE","18,611","4.141","Q2","0.79","96.2"%,
"Genome Biology and Evolution","GENOME BIOL EVOL","1759-6653","1759-6653","GENETICS & HEREDITY - SCIE","9,971","4.065","Q2","0.87","99.87"%,
"OMICS-A JOURNAL OF INTEGRATIVE BIOLOGY","OMICS","1536-2310","1557-8100","GENETICS & HEREDITY - SCIE","5,947","3.978","Q2","0.62","6.15"%,
"JOURNAL OF MOLECULAR EVOLUTION","J MOL EVOL","0022-2844","1432-1432","GENETICS & HEREDITY - SCIE","8,997","3.973","Q2","0.52","27.13"%,
"GENE","GENE","0378-1119","1879-0038","GENETICS & HEREDITY - SCIE","34,570","3.913","Q2","0.84","3.07"%,
"FUNGAL GENETICS AND BIOLOGY","FUNGAL GENET BIOL","1087-1845","1096-0937","GENETICS & HEREDITY - SCIE","7,062","3.883","Q2","0.9","18.25"%,
"Advances in Genetics","ADV GENET","0065-2660","N/A","GENETICS & HEREDITY - SCIE","1,864","3.88","Q2","0.26","0"%,
"HEREDITY","HEREDITY","0018-067X","1365-2540","GENETICS & HEREDITY - SCIE","11,502","3.832","Q2","0.92","33.33"%,
"JOURNAL OF HUMAN GENETICS","J HUM GENET","1434-5161","1435-232X","GENETICS & HEREDITY - SCIE","5,893","3.755","Q2","0.81","12.12"%,
"FUNCTIONAL & INTEGRATIVE GENOMICS","FUNCT INTEGR GENOMIC","1438-793X","1438-7948","GENETICS & HEREDITY - SCIE","2,746","3.674","Q2","0.86","9.57"%,
"Neurology-Genetics","NEUROL-GENET","2376-7839","2376-7839","GENETICS & HEREDITY - SCIE","1,641","3.663","Q2","0.84","98.35"%,
"BMC Medical Genomics","BMC MED GENOMICS","N/A","1755-8794","GENETICS & HEREDITY - SCIE","4,636","3.622","Q2","0.77","99.56"%,
"ENVIRONMENTAL AND MOLECULAR MUTAGENESIS","ENVIRON MOL MUTAGEN","0893-6692","1098-2280","GENETICS & HEREDITY - SCIE","4,066","3.579","Q2","0.66","17.75"%,
"DNA AND CELL BIOLOGY","DNA CELL BIOL","1044-5498","1557-7430","GENETICS & HEREDITY - SCIE","5,176","3.55","Q2","0.59","4.66"%,
"G3-Genes Genomes Genetics","G3-GENES GENOM GENET","2160-1836","2160-1836","GENETICS & HEREDITY - SCIE","9,935","3.542","Q2","0.8","99.23"%,
"DISEASE MARKERS","DIS MARKERS","0278-0240","1875-8630","GENETICS & HEREDITY - SCIE","6,587","3.464","Q2","0.72","98.83"%,
"BMC EVOLUTIONARY BIOLOGY","BMC EVOL BIOL","1471-2148","1471-2148","GENETICS & HEREDITY - SCIE","15,425","3.436","Q3","0.76","99.74"%,
"Cancer Genomics & Proteomics","CANCER GENOM PROTEOM","1109-6535","1790-6245","GENETICS & HEREDITY - SCIE","1,640","3.395","Q3","0.73","98.95"%,
"AMERICAN JOURNAL OF MEDICAL GENETICS PART C-SEMINARS IN MEDICAL GENETICS","AM J MED GENET C","1552-4868","1552-4876","GENETICS & HEREDITY - SCIE","3,471","3.359","Q3","0.59","11.16"%,
"AMERICAN JOURNAL OF MEDICAL GENETICS PART B-NEUROPSYCHIATRIC GENETICS","AM J MED GENET B","1552-4841","1552-485X","GENETICS & HEREDITY - SCIE","4,378","3.358","Q3","0.75","21.37"%,
"JOURNAL OF ASSISTED REPRODUCTION AND GENETICS","J ASSIST REPROD GEN","1058-0468","1573-7330","GENETICS & HEREDITY - SCIE","8,954","3.357","Q3","0.92","11.27"%,
"IMMUNOGENETICS","IMMUNOGENETICS","0093-7711","1432-1211","GENETICS & HEREDITY - SCIE","3,635","3.33","Q3","0.52","20.55"%,
"Comparative Biochemistry and Physiology D-Genomics & Proteomics","COMP BIOCHEM PHYS D","1744-117X","1878-0407","GENETICS & HEREDITY - SCIE","1,799","3.306","Q3","0.66","4.26"%,
"MOLECULAR BREEDING","MOL BREEDING","1380-3743","1572-9788","GENETICS & HEREDITY - SCIE","7,075","3.297","Q3","0.88","10.43"%,
"PHARMACOGENOMICS JOURNAL","PHARMACOGENOMICS J","1470-269X","1473-1150","GENETICS & HEREDITY - SCIE","3,340","3.245","Q3","0.89","15.07"%,
"PRENATAL DIAGNOSIS","PRENATAL DIAG","0197-3851","1097-0223","GENETICS & HEREDITY - SCIE","7,598","3.242","Q3","0.8","16.7"%,
"MAMMALIAN GENOME","MAMM GENOME","0938-8990","1432-1777","GENETICS & HEREDITY - SCIE","3,151","3.224","Q3","0.49","44.12"%,
"MUTATION RESEARCH-GENETIC TOXICOLOGY AND ENVIRONMENTAL MUTAGENESIS","MUTAT RES-GEN TOX EN","1383-5718","1879-3592","GENETICS & HEREDITY - SCIE","7,016","3.189","Q3","0.66","13.38"%,
"MUTATION RESEARCH-FUNDAMENTAL AND MOLECULAR MECHANISMS OF MUTAGENESIS","MUTAT RES-FUND MOL M","0027-5107","1873-135X","GENETICS & HEREDITY - SCIE","7,305","3.151","Q3","0.58","5.63"%,
"CONSERVATION GENETICS","CONSERV GENET","1566-0621","1572-9737","GENETICS & HEREDITY - SCIE","4,937","3.092","Q3","0.64","22.73"%,
"PLASMID","PLASMID","0147-619X","1095-9890","GENETICS & HEREDITY - SCIE","2,045","3.085","Q3","0.62","10.34"%,
"NEUROGENETICS","NEUROGENETICS","1364-6745","1364-6753","GENETICS & HEREDITY - SCIE","1,601","3.017","Q3","0.76","23.23"%,
"MOLECULAR GENETICS AND GENOMICS","MOL GENET GENOMICS","1617-4615","1617-4623","GENETICS & HEREDITY - SCIE","5,782","2.98","Q3","0.64","9.2"%,
"BEHAVIOR GENETICS","BEHAV GENET","0001-8244","1573-3297","GENETICS & HEREDITY - SCIE","3,506","2.965","Q3","0.88","27.61"%,
"MUTAGENESIS","MUTAGENESIS","0267-8357","1464-3804","GENETICS & HEREDITY - SCIE","3,734","2.954","Q3","0.7","14.5"%,
"CHROMOSOMA","CHROMOSOMA","0009-5915","1432-0886","GENETICS & HEREDITY - SCIE","3,935","2.919","Q3","0.66","32.91"%,
"ANIMAL GENETICS","ANIM GENET","0268-9146","1365-2052","GENETICS & HEREDITY - SCIE","4,756","2.884","Q3","0.89","15.3"%,
"EVOLUTION & DEVELOPMENT","EVOL DEV","1520-541X","1525-142X","GENETICS & HEREDITY - SCIE","1,999","2.839","Q3","0.53","16.47"%,
"BMC GENETICS","BMC GENET","1471-2156","1471-2156","GENETICS & HEREDITY - SCIE","5,545","2.759","Q3","0.66","99.59"%,
"International Journal of Genomics","INT J GENOMICS","2314-436X","2314-4378","GENETICS & HEREDITY - SCIE","1,588","2.758","Q3","0.47","99.38"%,
"Journal of Genetic Counseling","J GENET COUNS","1059-7700","1573-3599","GENETICS & HEREDITY - SCIE","3,886","2.717","Q3","0.75","6.04"%,
"CURRENT GENETICS","CURR GENET","0172-8083","1432-0983","GENETICS & HEREDITY - SCIE","4,355","2.695","Q3","0.53","18.26"%,
"CURRENT GENOMICS","CURR GENOMICS","1389-2029","1875-5488","GENETICS & HEREDITY - SCIE","2,984","2.689","Q3","0.39","0"%,
"JOURNAL OF HEREDITY","J HERED","0022-1503","1465-7333","GENETICS & HEREDITY - SCIE","7,024","2.679","Q3","0.69","24.75"%,
"JOURNAL OF APPLIED GENETICS","J APPL GENET","1234-1983","2190-3883","GENETICS & HEREDITY - SCIE","2,091","2.653","Q3","0.49","40.74"%,
"Genes and Environment","GENES ENVIRON","1880-7046","1880-7062","GENETICS & HEREDITY - SCIE","488","2.627","Q3","0.49","100"%,
"HEREDITAS","HEREDITAS","1601-5223","1601-5223","GENETICS & HEREDITY - SCIE","2,086","2.595","Q3","0.55","100"%,
"AMERICAN JOURNAL OF MEDICAL GENETICS PART A","AM J MED GENET A","1552-4825","1552-4833","GENETICS & HEREDITY - SCIE","16,156","2.578","Q3","0.53","11.06"%,
"PSYCHIATRIC GENETICS","PSYCHIAT GENET","0955-8829","1473-5873","GENETICS & HEREDITY - SCIE","1,020","2.574","Q3","0.38","4.82"%,
"JOURNAL OF EVOLUTIONARY BIOLOGY","J EVOLUTION BIOL","1010-061X","1420-9101","GENETICS & HEREDITY - SCIE","11,610","2.516","Q3","0.6","25.94"%,
"Molecular Genetics & Genomic Medicine","MOL GENET GENOM MED","2324-9269","2324-9269","GENETICS & HEREDITY - SCIE","3,642","2.473","Q3","0.51","97.89"%,
"Twin Research and Human Genetics","TWIN RES HUM GENET","1832-4274","1839-2628","GENETICS & HEREDITY - SCIE","2,320","2.47","Q3","0.57","26.6"%,
"European Journal of Medical Genetics","EUR J MED GENET","1769-7212","1878-0849","GENETICS & HEREDITY - SCIE","3,706","2.465","Q3","0.6","8.36"%,
"GENOME","GENOME","0831-2796","1480-3321","GENETICS & HEREDITY - SCIE","4,878","2.449","Q3","0.54","6.37"%,
"Familial Cancer","FAM CANCER","1389-9600","1573-7292","GENETICS & HEREDITY - SCIE","2,257","2.446","Q3","0.44","26.09"%,
"Tree Genetics & Genomes","TREE GENET GENOMES","1614-2942","1614-2950","GENETICS & HEREDITY - SCIE","3,463","2.398","Q3","0.76","10.28"%,
"GENESIS","GENESIS","1526-954X","1526-968X","GENETICS & HEREDITY - SCIE","4,488","2.389","Q3","0.39","15.15"%,
"International Journal of Immunogenetics","INT J IMMUNOGENET","1744-3121","1744-313X","GENETICS & HEREDITY - SCIE","882","2.385","Q3","0.36","9.02"%,
"GENETIC EPIDEMIOLOGY","GENET EPIDEMIOL","0741-0395","1098-2272","GENETICS & HEREDITY - SCIE","3,514","2.344","Q3","0.56","19.8"%,
"GENES TO CELLS","GENES CELLS","1356-9597","1365-2443","GENETICS & HEREDITY - SCIE","4,547","2.3","Q3","0.36","14.01"%,
"Cellular Reprogramming","CELL REPROGRAM","2152-4971","2152-4998","GENETICS & HEREDITY - SCIE","880","2.257","Q4","0.44","6.06"%,
"BIOCHEMICAL GENETICS","BIOCHEM GENET","0006-2928","1573-4927","GENETICS & HEREDITY - SCIE","1,583","2.22","Q4","0.41","5.22"%,
"VIRUS GENES","VIRUS GENES","0920-8569","1572-994X","GENETICS & HEREDITY - SCIE","3,082","2.198","Q4","0.44","12.99"%,
"ANNALS OF HUMAN GENETICS","ANN HUM GENET","0003-4800","1469-1809","GENETICS & HEREDITY - SCIE","1,979","2.18","Q4","0.44","10.56"%,
"Cancer Genetics","CANCER GENET-NY","2210-7762","2210-7770","GENETICS & HEREDITY - SCIE","1,563","2.169","Q4","0.51","10.71"%,
"Genes & Genomics","GENES GENOM","1976-9571","2092-9293","GENETICS & HEREDITY - SCIE","1,542","2.164","Q4","0.41","6.77"%,
"Marine Genomics","MAR GENOM","1874-7787","1876-7478","GENETICS & HEREDITY - SCIE","1,422","2.143","Q4","0.57","8.98"%,
"Public Health Genomics","PUBLIC HEALTH GENOM","1662-4246","1662-8063","GENETICS & HEREDITY - SCIE","933","2.132","Q4","0.51","29.63"%,
"GENETICS AND MOLECULAR BIOLOGY","GENET MOL BIOL","1415-4757","1678-4685","GENETICS & HEREDITY - SCIE","3,607","2.087","Q4","0.37","97.66"%,
"Molecular Genetics and Metabolism Reports","MOL GENET METAB REP","N/A","2214-4269","GENETICS & HEREDITY - SCIE","1,230","2.082","Q4","0.55","99.13"%,
"EVOLUTIONARY ECOLOGY","EVOL ECOL","0269-7653","1573-8477","GENETICS & HEREDITY - SCIE","3,932","2.074","Q4","0.49","12.57"%,
"Lifestyle Genomics","LIFESTYLE GENOM","2504-3161","2504-3188","GENETICS & HEREDITY - SCIE","96","2.063","Q4","0.37","97.62"%,
"BMC Medical Genetics","BMC MED GENET","N/A","1471-2350","GENETICS & HEREDITY - SCIE","4,383","2.023","Q4","0.46","99.08"%,
"Pharmacogenetics and Genomics","PHARMACOGENET GENOM","1744-6872","1744-6880","GENETICS & HEREDITY - SCIE","3,274","2","Q4","0.51","7.5"%,
"CYTOGENETIC AND GENOME RESEARCH","CYTOGENET GENOME RES","1424-8581","1424-859X","GENETICS & HEREDITY - SCIE","3,491","1.941","Q4","0.29","3.57"%,
"Molecular Cytogenetics","MOL CYTOGENET","N/A","1755-8166","GENETICS & HEREDITY - SCIE","1,066","1.904","Q4","0.35","100"%,
"NEW GENETICS AND SOCIETY","NEW GENET SOC","1463-6778","1469-9915","GENETICS & HEREDITY - SCIE","484","1.839","Q4","0.76","33.33"%,
"Genetic Testing and Molecular Biomarkers","GENET TEST MOL BIOMA","1945-0265","1945-0257","GENETICS & HEREDITY - SCIE","2,030","1.736","Q4","0.32","4.36"%,
"JOURNAL OF NEUROGENETICS","J NEUROGENET","0167-7063","1563-5260","GENETICS & HEREDITY - SCIE","879","1.696","Q4","0.35","16.67"%,
"Mitochondrial DNA Part A","MITOCHONDRIAL DNA A","2470-1394","2470-1408","GENETICS & HEREDITY - SCIE","1,626","1.695","Q4","0.37","0.72"%,
"GENETICA","GENETICA","0016-6707","1573-6857","GENETICS & HEREDITY - SCIE","3,220","1.633","Q4","0.3","4.3"%,
"THEORETICAL POPULATION BIOLOGY","THEOR POPUL BIOL","0040-5809","1096-0325","GENETICS & HEREDITY - SCIE","4,282","1.514","Q4","0.4","15"%,
"JOURNAL OF GENETICS","J GENET","0022-1333","0973-7731","GENETICS & HEREDITY - SCIE","2,412","1.508","Q4","0.28","0"%,
"Molecular Syndromology","MOL SYNDROMOL","1661-8769","1661-8777","GENETICS & HEREDITY - SCIE","972","1.494","Q4","0.27","6.49"%,
"GENE EXPRESSION PATTERNS","GENE EXPR PATTERNS","1567-133X","1872-7298","GENETICS & HEREDITY - SCIE","1,553","1.488","Q4","0.33","9.4"%,
"HUMAN HEREDITY","HUM HERED","0001-5652","1423-0062","GENETICS & HEREDITY - SCIE","891","1.455","Q4","0.26","7.89"%,
"CRITICAL REVIEWS IN EUKARYOTIC GENE EXPRESSION","CRIT REV EUKAR GENE","1045-4403","2162-6502","GENETICS & HEREDITY - SCIE","1,407","1.406","Q4","0.31","0"%,
"Genetics Research","GENET RES","0016-6723","1469-5073","GENETICS & HEREDITY - SCIE","2,142","1.375","Q4","0.22","100"%,
"HUMAN BIOLOGY","HUM BIOL","0018-7143","1534-6617","GENETICS & HEREDITY - SCIE","1,849","1.371","Q4","0.27","0"%,
"SILVAE GENETICA","SILVAE GENET","0037-5349","2509-8934","GENETICS & HEREDITY - SCIE","1,043","1.282","Q4","0.32","100"%,
"OPHTHALMIC GENETICS","OPHTHALMIC GENET","1381-6810","1744-5094","GENETICS & HEREDITY - SCIE","1,497","1.274","Q4","0.4","7.12"%,
"GENES & GENETIC SYSTEMS","GENES GENET SYST","1341-7568","1880-5779","GENETICS & HEREDITY - SCIE","965","1.258","Q4","0.22","100"%,
"Comparative Cytogenetics","COMP CYTOGENET","1993-0771","1993-078X","GENETICS & HEREDITY - SCIE","553","1.182","Q4","0.49","97.96"%,
"CYTOLOGIA","CYTOLOGIA","0011-4545","0011-4545","GENETICS & HEREDITY - SCIE","1,092","1.027","Q4","0.16","0"%,
"Conservation Genetics Resources","CONSERV GENET RESOUR","1877-7252","1877-7260","GENETICS & HEREDITY - SCIE","2,188","0.991","Q4","0.3","11.11"%,
"CLINICAL DYSMORPHOLOGY","CLIN DYSMORPHOL","0962-8827","1473-5717","GENETICS & HEREDITY - SCIE","669","0.884","Q4","0.18","0.7"%,
"Medizinische Genetik","MED GENET-BERLIN","0936-5931","1863-5490","GENETICS & HEREDITY - SCIE","193","0.836","Q4","0.31","79.22"%,
"Balkan Journal of Medical Genetics","BALK J MED GENET","1311-0160","1311-0160","GENETICS & HEREDITY - SCIE","233","0.81","Q4","0.13","100"%,
"Genetika-Belgrade","GENETIKA-BELGRADE","0534-0012","1820-6069","GENETICS & HEREDITY - SCIE","674","0.753","Q4","0.24","98.94"%,
"RUSSIAN JOURNAL OF GENETICS","RUSS J GENET+","1022-7954","1608-3369","GENETICS & HEREDITY - SCIE","2,015","0.691","Q4","0.13","0"%,
"CARYOLOGIA","CARYOLOGIA","0008-7114","2165-5391","GENETICS & HEREDITY - SCIE","1,180","0.69","Q4","0.23","26.42"%,
"Cytology and Genetics","CYTOL GENET+","0095-4527","1934-9440","GENETICS & HEREDITY - SCIE","469","0.643","Q4","0.16","0"%,
