Journal name,JCR Abbreviation,ISSN,eISSN,Category,Total Citations,2022 JIF,JIF Quartile,2022 JCI,% of OA Gold
"Circulation-Cardiovascular Imaging","CIRC-CARDIOVASC IMAG","1941-9651","1942-0080","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","8,076","7.5","Q1","1.6","12.57"%,
"Circulation-Genomic and Precision Medicine","CIRC-GENOM PRECIS ME","2574-8300","2574-8300","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","2,029","7.4","Q1","1.49","24.31"%,
"European Heart Journal-Cardiovascular Pharmacotherapy","EUR HEART J-CARD PHA","2055-6837","2055-6845","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","1,667","7.1","Q1","1.72","18.18"%,
"JACC-Clinical Electrophysiology","JACC-CLIN ELECTROPHY","2405-500X","2405-5018","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","4,828","7","Q1","1.5","12.15"%,
"Circulation-Cardiovascular Quality and Outcomes","CIRC-CARDIOVASC QUAL","1941-7705","1941-7713","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","7,370","6.9","Q1","1.34","6.82"%,
"JOURNAL OF THE AMERICAN SOCIETY OF ECHOCARDIOGRAPHY","J AM SOC ECHOCARDIOG","0894-7317","N/A","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","14,082","6.5","Q1","1.42","8.83"%,
"JOURNAL OF CARDIOVASCULAR MAGNETIC RESONANCE","J CARDIOVASC MAGN R","1097-6647","1532-429X","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","7,533","6.4","Q1","1.44","99.66"%,
"Echo Research and Practice","ECHO RES PRACT","2055-0464","2055-0464","CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI","504","6.3","N/A","0.59","100"%,
"European Heart Journal-Cardiovascular Imaging","EUR HEART J-CARD IMG","2047-2404","2047-2412","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","10,828","6.2","Q1","1.76","16.85"%,
"EuroIntervention","EUROINTERVENTION","1774-024X","1969-6213","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","7,133","6.2","Q1","1.67","0.27"%,
"CANADIAN JOURNAL OF CARDIOLOGY","CAN J CARDIOL","0828-282X","1916-7075","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","9,531","6.2","Q1","1.23","8.16"%,
"EUROPACE","EUROPACE","1099-5129","1532-2092","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","13,779","6.1","Q1","1.44","27.54"%,
"JOURNAL OF THORACIC AND CARDIOVASCULAR SURGERY","J THORAC CARDIOV SUR","0022-5223","1097-685X","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","33,963","6","Q1","1.78","5.56"%,
"JOURNAL OF CARDIAC FAILURE","J CARD FAIL","1071-9164","1532-8414","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","7,229","6","Q1","1.17","10.03"%,
"REVISTA ESPANOLA DE CARDIOLOGIA","REV ESP CARDIOL","1885-5857","1579-2242","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","4,600","5.9","Q1","1.61","1.22"%,
"HEART","HEART","1355-6037","1468-201X","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","21,979","5.7","Q2","1.42","25.97"%,
"Circulation-Cardiovascular Interventions","CIRC-CARDIOVASC INTE","1941-7640","1941-7632","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","7,151","5.6","Q2","1.38","10.71"%,
"HEART RHYTHM","HEART RHYTHM","1547-5271","1556-3871","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","15,922","5.5","Q2","1.42","15.72"%,
"Journal of Cardiovascular Computed Tomography","J CARDIOVASC COMPUT","1934-5925","1934-5925","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","2,968","5.4","Q2","1.41","12.37"%,
"Journal of the American Heart Association","J AM HEART ASSOC","N/A","2047-9980","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","37,864","5.4","Q2","1.23","95.62"%,
"ATHEROSCLEROSIS","ATHEROSCLEROSIS","0021-9150","1879-1484","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","27,552","5.3","Q2","1.26","23.63"%,
"European Heart Journal-Quality of Care and Clinical Outcomes","EUR HEART J-QUAL CAR","2058-5225","2058-1742","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","1,583","5.2","Q2","1.37","21.91"%,
"Clinical Research in Cardiology","CLIN RES CARDIOL","1861-0684","1861-0692","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","5,218","5","Q2","1.17","58"%,
"JOURNAL OF MOLECULAR AND CELLULAR CARDIOLOGY","J MOL CELL CARDIOL","0022-2828","1095-8584","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","16,125","5","Q2","0.96","22.83"%,
"AMERICAN JOURNAL OF PHYSIOLOGY-HEART AND CIRCULATORY PHYSIOLOGY","AM J PHYSIOL-HEART C","0363-6135","1522-1539","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","29,226","4.8","Q2","1.22","5.23"%,
"AMERICAN HEART JOURNAL","AM HEART J","0002-8703","1097-6744","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","20,472","4.8","Q2","1.19","18.35"%,
"ANNALS OF THORACIC SURGERY","ANN THORAC SURG","0003-4975","1552-6259","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","41,422","4.6","Q2","1.32","1.98"%,
"HEART FAILURE REVIEWS","HEART FAIL REV","1382-4147","1573-7322","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","4,999","4.6","Q2","0.96","19.1"%,
"RESPIRATORY MEDICINE","RESP MED","0954-6111","1532-3064","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","14,440","4.3","Q2","0.99","14.34"%,
"CURRENT PROBLEMS IN CARDIOLOGY","CURR PROB CARDIOLOGY","0146-2806","1535-6280","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","1,875","4.2","Q2","0.95","5.05"%,
"European Heart Journal-Acute Cardiovascular Care","EUR HEART J-ACUTE CA","2048-8726","2048-8734","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","2,779","4.1","Q2","0.94","13.39"%,
"Hellenic Journal of Cardiology","HELL J CARDIOL","1109-9666","2241-5955","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","1,042","4.1","Q2","0.76","95.97"%,
"American Journal of Preventive Cardiology","AM J PREVENT CARDIOL","2666-6677","2666-6677","CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI","492","4.1","N/A","0.66","91.62"%,
"JOURNAL OF THROMBOSIS AND THROMBOLYSIS","J THROMB THROMBOLYS","0929-5305","1573-742X","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","5,377","4","Q2","0.84","14.46"%,
"NUTRITION METABOLISM AND CARDIOVASCULAR DISEASES","NUTR METAB CARDIOVAS","0939-4753","1590-3729","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","9,381","3.9","Q2","0.91","10.86"%,
"CardioRenal Medicine","CARDIORENAL MED","1664-3828","1664-5502","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","825","3.8","Q2","1.05","48.42"%,
"ESC Heart Failure","ESC HEART FAIL","2055-5822","2055-5822","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","6,351","3.8","Q2","0.84","67.88"%,
"Journal of Cardiopulmonary Rehabilitation and Prevention","J CARDIOPULM REHABIL","1932-7501","1932-751X","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","2,680","3.8","Q2","0.7","2.5"%,
"CARDIOVASCULAR PATHOLOGY","CARDIOVASC PATHOL","1054-8807","1879-1336","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","2,385","3.7","Q2","1.01","13.04"%,
"Global Heart","GLOB HEART","2211-8160","2211-8179","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","1,952","3.7","Q2","0.62","98.25"%,
"Current Cardiology Reports","CURR CARDIOL REP","1523-3782","1534-3170","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","4,254","3.7","Q2","0.58","12.93"%,
"Frontiers in Cardiovascular Medicine","FRONT CARDIOVASC MED","2297-055X","2297-055X","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","13,623","3.6","Q2","0.77","99.3"%,
"International Journal of Cardiology","INT J CARDIOL","0167-5273","1874-1754","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","35,199","3.5","Q2","0.92","13.36"%,
"EUROPEAN JOURNAL OF CARDIO-THORACIC SURGERY","EUR J CARDIO-THORAC","1010-7940","1873-734X","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","19,366","3.4","Q2","1.27","9.35"%,
"CARDIOVASCULAR DRUGS AND THERAPY","CARDIOVASC DRUG THER","0920-3206","1573-7241","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","3,538","3.4","Q2","0.77","24.71"%,
"Heart Failure Clinics","HEART FAIL CLIN","1551-7136","N/A","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","1,671","3.4","Q2","0.77","3.03"%,
"Journal of Cardiovascular Translational Research","J CARDIOVASC TRANSL","1937-5387","1937-5395","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","2,590","3.4","Q2","0.64","19.4"%,
"Cardiology and Therapy","CARDIOL THER","2193-8261","2193-6544","CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI","593","3.4","N/A","0.57","100"%,
"CIRCULATION JOURNAL","CIRC J","1346-9843","1347-4820","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","11,461","3.3","Q2","0.73","98.27"%,
"Cardio-Oncology","CARDIO-ONCOLOGY","N/A","2057-3804","CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI","436","3.3","N/A","0.67","100"%,
"Kardiologia Polska","KARDIOL POL","0022-9032","1897-4279","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","3,678","3.3","Q2","0.56","98.17"%,
"Cardiovascular Toxicology","CARDIOVASC TOXICOL","1530-7905","1559-0259","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","2,089","3.2","Q2","0.73","8.09"%,
"Cardiovascular Intervention and Therapeutics","CARDIOVASC INTERV TH","1868-4300","1868-4297","CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI","897","3.2","N/A","0.57","20.51"%,
"Annals of Cardiothoracic Surgery","ANN CARDIOTHORAC SUR","2225-319X","2304-1021","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","2,668","3.1","Q2","0.91","99.37"%,
"Cardiovascular Therapeutics","CARDIOVASC THER","1755-5914","1755-5922","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","1,721","3.1","Q2","0.67","100"%,
"European Cardiology Review","EUR CARDIOL REV","1758-3756","1758-3756","CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI","880","3","N/A","0.99","98.18"%,
"JOURNAL OF CARDIOVASCULAR PHARMACOLOGY","J CARDIOVASC PHARM","0160-2446","1533-4023","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","6,333","3","Q3","0.71","12.45"%,
"American Journal of Cardiovascular Drugs","AM J CARDIOVASC DRUG","1175-3277","1179-187X","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","1,570","3","Q3","0.64","20.11"%,
"Arrhythmia & Electrophysiology Review","ARRHYTH ELECTROPHYSI","2050-3369","2050-3377","CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI","767","3","N/A","0.64","100"%,
"Archives of Cardiovascular Diseases","ARCH CARDIOVASC DIS","1875-2136","1875-2128","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","2,048","3","Q3","0.58","1.43"%,
"Journal of Cardiovascular Medicine","J CARDIOVASC MED","1558-2027","1558-2035","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","2,553","3","Q3","0.58","2.69"%,
"Clinical Medicine Insights-Cardiology","CLIN MED INSIGHTS-CA","1179-5468","1179-5468","CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI","612","3","N/A","0.49","90.2"%,
"European Journal of Cardiovascular Nursing","EUR J CARDIOVASC NUR","1474-5151","1873-1953","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","2,670","2.9","Q3","0.91","21.05"%,
"Cardiology Journal","CARDIOL J","1897-5593","1898-018X","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","2,005","2.9","Q3","0.68","96.28"%,
"Korean Circulation Journal","KOREAN CIRC J","1738-5520","1738-5555","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","1,886","2.9","Q3","0.67","15.54"%,
"CARDIOVASCULAR AND INTERVENTIONAL RADIOLOGY","CARDIOVASC INTER RAD","0174-1551","1432-086X","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","7,246","2.9","Q3","0.66","24.6"%,
"IJC Heart & Vasculature","IJC HEART VASC","N/A","2352-9067","CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI","2,005","2.9","N/A","0.61","96"%,
"HEART & LUNG","HEART LUNG","0147-9563","1527-3288","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","3,448","2.8","Q3","0.87","6.67"%,
"JOURNAL OF CARDIOTHORACIC AND VASCULAR ANESTHESIA","J CARDIOTHOR VASC AN","1053-0770","1532-8422","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","8,411","2.8","Q3","0.69","4.62"%,
"AMERICAN JOURNAL OF CARDIOLOGY","AM J CARDIOL","0002-9149","1879-1913","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","36,385","2.8","Q3","0.65","8.92"%,
"JOURNAL OF CARDIOVASCULAR ELECTROPHYSIOLOGY","J CARDIOVASC ELECTR","1045-3873","1540-8167","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","9,148","2.7","Q3","0.64","11.01"%,
"Open Heart","OPEN HEART","2053-3624","2053-3624","CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI","3,034","2.7","N/A","0.6","99.24"%,
"CLINICAL CARDIOLOGY","CLIN CARDIOL","0160-9289","1932-8737","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","5,778","2.7","Q3","0.58","67.73"%,
"Reviews in Cardiovascular Medicine","REV CARDIOVASC MED","1530-6550","2153-8174","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","1,176","2.7","Q3","0.46","98.58"%,
"Heart Lung and Circulation","HEART LUNG CIRC","1443-9506","1444-2892","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","4,644","2.6","Q3","0.59","3.66"%,
"Arquivos Brasileiros de Cardiologia","ARQ BRAS CARDIOL","0066-782X","1678-4170","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","4,270","2.6","Q3","0.57","95.19"%,
"JOURNAL OF CARDIOVASCULAR PHARMACOLOGY AND THERAPEUTICS","J CARDIOVASC PHARM T","1074-2484","1940-4034","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","1,671","2.6","Q3","0.53","22.29"%,
"Pulmonary Circulation","PULM CIRC","2045-8932","2045-8940","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","2,720","2.6","Q3","0.53","68.55"%,
"Journal of Cardiology","J CARDIOL","0914-5087","1876-4738","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","4,517","2.5","Q3","0.65","9.04"%,
"Seminars in Thoracic and Cardiovascular Surgery","SEMIN THORAC CARDIOV","1043-0679","1532-9488","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","2,293","2.5","Q3","0.64","4.3"%,
"Journal of Geriatric Cardiology","J GERIATR CARDIOL","1671-5411","N/A","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","2,203","2.5","Q3","0.45","0"%,
"JOURNAL OF NUCLEAR CARDIOLOGY","J NUCL CARDIOL","1071-3581","1532-6551","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","4,195","2.4","Q3","0.83","18.92"%,
"Journal of Cardiovascular Development and Disease","J CARDIOVASC DEV DIS","N/A","2308-3425","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","1,500","2.4","Q3","0.58","99.86"%,
"CARDIOLOGY CLINICS","CARDIOL CLIN","0733-8651","1558-2264","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","1,622","2.4","Q3","0.5","1.27"%,
"Cardiovascular Diagnosis and Therapy","CARDIOVASC DIAGN THE","2223-3652","2223-3660","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","2,442","2.4","Q3","0.47","93.43"%,
"CATHETERIZATION AND CARDIOVASCULAR INTERVENTIONS","CATHETER CARDIO INTE","1522-1946","1522-726X","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","11,261","2.3","Q3","0.57","10.35"%,
"Therapeutic Advances in Cardiovascular Disease","THER ADV CARDIO DIS","1753-9447","1753-9455","CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI","767","2.3","N/A","0.53","94.59"%,
"Annals of Thoracic Medicine","ANN THORAC MED","1817-1737","1998-3557","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","1,026","2.3","Q3","0.51","95.1"%,
"Cardiovascular Endocrinology & Metabolism","CARDIOVASC ENDOCR ME","2574-0954","2574-0954","CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI","200","2.3","N/A","0.45","32.31"%,
"CURRENT OPINION IN CARDIOLOGY","CURR OPIN CARDIOL","0268-4705","1531-7080","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","2,808","2.3","Q3","0.39","3.41"%,
"SCANDINAVIAN CARDIOVASCULAR JOURNAL","SCAND CARDIOVASC J","1401-7431","1651-2006","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","1,106","2.2","Q3","0.4","50.63"%,
"INTERNATIONAL JOURNAL OF CARDIOVASCULAR IMAGING","INT J CARDIOVAS IMAG","1569-5794","1875-8312","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","4,864","2.1","Q3","0.55","23.64"%,
"BMC Cardiovascular Disorders","BMC CARDIOVASC DISOR","1471-2261","1471-2261","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","7,287","2.1","Q3","0.49","99.7"%,
"Cardiology in Review","CARDIOL REV","1061-5377","1538-4683","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","1,438","2.1","Q3","0.48","2.19"%,
"JOURNAL OF INTERVENTIONAL CARDIOLOGY","J INTERV CARDIOL","0896-4327","1540-8183","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","1,801","2.1","Q3","0.42","99.24"%,
"Cardiology Research and Practice","CARDIOL RES PRACT","2090-8016","2090-0597","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","1,319","2.1","Q3","0.4","99.6"%,
"Journal of Cardiovascular Nursing","J CARDIOVASC NURS","0889-4655","1550-5049","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","2,603","2","Q3","0.78","6.33"%,
"Netherlands Heart Journal","NETH HEART J","1568-5888","1876-6250","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","1,747","2","Q3","0.53","99.14"%,
"Journal of Arrhythmia","J ARRYTHM","1880-4276","1883-2148","CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI","2,747","2","N/A","0.38","68.97"%,
"Expert Review of Cardiovascular Therapy","EXPERT REV CARDIOVAS","1477-9072","1744-8344","CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI","2,379","2","N/A","0.36","7.25"%,
"Cardiovascular Ultrasound","CARDIOVASC ULTRASOUN","N/A","1476-7120","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","1,344","1.9","Q4","0.45","100"%,
"CURRENT CARDIOLOGY REVIEWS","CURR CARDIOL REV","1573-403X","1875-6557","CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI","1,868","1.9","N/A","0.43","1.2"%,
"Heart Rhythm O2","HEART RHYTHM O2","2666-5018","2666-5018","CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI","339","1.9","N/A","0.42","91.95"%,
"CARDIOLOGY","CARDIOLOGY","0008-6312","1421-9751","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","2,696","1.9","Q4","0.41","15.73"%,
"ANNALS OF NONINVASIVE ELECTROCARDIOLOGY","ANN NONINVAS ELECTRO","1082-720X","1542-474X","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","1,776","1.9","Q4","0.39","60.54"%,
"Acta Cardiologica Sinica","ACTA CARDIOL SIN","1011-6842","1011-6842","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","900","1.9","Q4","0.38","0"%,
"Cardiology Research","CARDIOL RES","1923-2829","1923-2837","CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI","561","1.9","N/A","0.34","96.58"%,
"World Journal of Cardiology","WORLD J CARDIOL","1949-8462","1949-8462","CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI","1,835","1.9","N/A","0.33","100"%,
"Current Cardiovascular Risk Reports","CURR CARDIOVASC RISK","1932-9520","1932-9563","CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI","508","1.9","N/A","0.32","6.76"%,
"CORONARY ARTERY DISEASE","CORONARY ARTERY DIS","0954-6928","1473-5830","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","2,111","1.8","Q4","0.43","6.57"%,
"Cardiovascular Engineering and Technology","CARDIOVASC ENG TECHN","1869-408X","1869-4098","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","1,023","1.8","Q4","0.41","20.39"%,
"JOURNAL OF INTERVENTIONAL CARDIAC ELECTROPHYSIOLOGY","J INTERV CARD ELECTR","1383-875X","1572-8595","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","2,753","1.8","Q4","0.41","16.84"%,
"PACE-PACING AND CLINICAL ELECTROPHYSIOLOGY","PACE","0147-8389","1540-8159","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","5,812","1.8","Q4","0.39","10.68"%,
"Revista Portuguesa de Cardiologia","REV PORT CARDIOL","0870-2551","0304-4750","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","1,254","1.8","Q4","0.35","98.74"%,
"Cardiovascular Revascularization Medicine","CARDIOVASC REVASCULA","1553-8389","1878-0938","CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI","2,492","1.7","N/A","0.44","5.26"%,
"HERZ","HERZ","0340-9937","1615-6692","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","1,561","1.7","Q4","0.3","13.27"%,
"Future Cardiology","FUTUR CARDIOL","1479-6678","1744-8298","CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI","1,195","1.7","N/A","0.28","10.91"%,
"JTCVS Techniques","JTCVS TECHNIQUES","2666-2507","2666-2507","CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI","500","1.6","N/A","0.86","90.53"%,
"PEDIATRIC CARDIOLOGY","PEDIATR CARDIOL","0172-0643","1432-1971","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","5,999","1.6","Q4","0.54","11.49"%,
"JOURNAL OF CARDIAC SURGERY","J CARDIAC SURG","0886-0440","1540-8191","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","4,286","1.6","Q4","0.48","78.16"%,
